Time,Block,NR/2024/21573/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21141/A/27269,NR/2024/21113/A/27523,NR/2024/21076/A/27504,NR/2024/21146/A/27316,NR/2024/21089/A/27524,NR/2024/21148/A/27315,NR/2024/21594/C,NR/2024/20931/A/27491,NR/2024/20574/A/27566,NR/2024/21602/C,NR/2024/21604/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21210/A/27267,NR/2024/21574/C,NR/2024/21099/A/27270,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21062/A/27569,NR/2024/21087/A/27302,NR/2024/21186/A/27540,NR/2024/21339/A/27265,NR/2024/21496/A/27459,NR/2024/20688/A/27303,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/17072024/17072024/IEX_240717_01580,NR/2024/20573/A/27567,NR/2024/21227/A/27549,NR/2024/21183/A/27506,NR/2024/21588/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/31122025/SH-07,NR/2024/21160/A/27318,NR/2024/21156/A/27314,NR/2024/21158/A/27321,NR/2024/21159/A/27319,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21598/C,NR/2024/21601/C,NR/2024/21142/A/27268,NR/2024/21569/C,NR/2024/20966/A/27244,NR/2024/21150/A/27317,NR/2024/21199/A/27455,NR/2024/21636/C,NR/2024/21500/A/27140,NR/2024/21153/A/27313,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21075/A/27507,NR/2024/19779/A/27254,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21096/A/27551,NR/2024/21238/A/27508,NR/2024/21103/A/27550,NR/2024/21072/A/27525,NR/2024/21152/A/27243,NR/2024/21023/A/27457,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21108/A/27548,NR/2024/20711/A/27589,NR/2024/21144/A/27294,NR/2024/21592/C,NR/2024/21173/A/27301,NR/01072024/31072024/R2,NR/2024/21485/A/27588,Total
,,NVVNL,SECI_Trader,SECI_Trader,TPTCL,NVVNL,MANIKARAN,BAL184,NVVNL,BAL224,IEXL,AEL,PTC,HPXL,HPXL,TPTCL,TPTCL,NVVNL,TPTCL,APPCPL,PTC,GMRETL,NVVNL,TPTCL,APPCPL,GMRETL,TPTCL,TPDDL,IEXL,PTC,APPCPL,MANIKARAN,HPXL,INSTINCT,BAWANA_GAS,BMDRC,UHL,MSSH,MHIL,NDMC,MEJA,PXIL,HPXL,TPTCL,NVVNL,IEXL,BAL234,INSTINCT,HPXL,DIAPL,JHPL-DL,NDMC,MANIKARAN,ITCLH,PUNJAB,AEL,APPCPL,MANIKARAN,APPCPL,NVVNL,IEXL,INSTINCT,INSTINCT,DELHI,APPCPL,TPDDL,DTCP,IEXL,GMRETL,PTC,TPDDL,Total

,,NA,NA,NA,MAHARASHTRA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,KARNATAKA,KARNATAKA,NA,NA,NA,NA,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,MP,NA,KERALA,RAJASTHAN,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,MP,NA,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,GOA,ANDHRA PRADESH,DELHI,NA,KERALA,TAMIL NADU,UTTARAKHAND,NA,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,MANIPUR,NA,HIMACHAL PRADESH,KARNATAKA,ODISHA,NA,NA,
,,SOLAPUR_SOLAR,SBSRPC11PL_BKN,SBSRPC11PL_BKN,TPC MSEB,JPL-2,AEML,SHPPBPL,RKM_POWER,SHPPBPL,IEPLBELA2022,APL_Raigarh TPP,HP,FORTUNE5PROJKAR,TADASWIND_KAR,JITPL,SIMHAPURI,KAMENG,ACBIL,Arunachal_Ben,SEILP2,GBHHPL,JP BINA,JITPL,KSEB,RUVNL,MPL,CHANJUII,RGPPL-RLNG,HP,Nagaland_Ben,BLAPOWER_MP,BALCO,JPL_DHULE,BAWANA_GAS,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,SKS Raigarh,MEJA,SORANG_HEP,TADASWIND,HP-GOVT,TRN_ENERGY,A_A_Energy_MH_Bio,SHPPBPL,JPL_DHULE,GBHHPL,GBHHPL,SHPPBPL,JITPL,GOA_Beneficiary,ITCWIND,BAWANA_GAS,APL_Raigarh TPP,KSEB,MMS STEEL TN,UTTARAKHAND,RKM_POWER,NHCPL_HP,JPL,JPL,MSEB_Beneficiary,Manipur_Ben,JPL-2,SHPPBPL,PCKL,GMRKEL (STU),SEILP2,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BYPL,TPDDL,BYPL,NDMC,BYPL,BAL184,NDMC,BAL224,TPDDL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BYPL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,BYPL,BRPL,BRPL,BRPL,HARYANA,BMDRC,UHL,MSSH,MHIL,NDMC,DELHI,BRPL,BRPL,BRPL,NDMC,MES (Delhi),BAL234,BRPL,BYPL,DIAPL,JHPL-DL,NDMC,BRPL,ITCLH,PUNJAB,BRPL,BYPL,BRPL,BYPL,NDMC,MES (Delhi),BRPL,BRPL,TPDDL,BRPL,TPDDL,DTCP,BRPL,BRPL,BRPL,TPDDL,
,,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,South-West-North,South-West-North,East-North,South-West-North,North East-East-North,West-North,North East-East-North,South-East-North,North-North,West-North,East-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,South-West-North,North-North,West-North,South-West-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,South-East-West-North,East-North,South-West-North,North-North,
1,00:00-00:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,41.490000,48.210000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,12.930000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,33.810000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.620000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2275.78

2,00:15-00:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,41.300000,48.500000,96.040000,48.020000,163.510000,24.010000,38.420000,0.000000,24.010000,48.020000,0.000000,13.460000,66.450000,0.000000,10.810000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,76.830000,34.380000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,7.680000,1.580000,14.950000,11.670000,0.620000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2276.98
