Time,Block,NR/2023/18074/A/1855,NR/2023/18105/A/1831,NR/2023/18169/C,NR/2023/17270/A,NR/2023/18062/A/1832,NR/2023/17525/A,NER/2023/1749/C,WR/2023/20256/A/1931,WR/2023/19446/A,WR/2023/20577/A/1928,NR/2023/18170/C,Total
,,ITCLH,IEXL,TPDDL,GMRETL,IEXL,APPCPL,PXIL,MANIKARAN,MANIKARAN,APPCPL,NVVNL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,ITCWIND,BSHP,CHANJUII,BYPL,SNJSUGARLTDAP,BYPL,BYPL,BRPL,BYPL,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,RAJASTHAN,DELHI,HIMACHAL PRADESH,ARUNACHAL PRADESH,GOA,MAHARASHTRA,GOA,DELHI,
,,ITCLH,MES (Delhi),TPDDL,RUVNL,MES (Delhi),HP,Arunachal_Ben,GOA_Beneficiary,AEML,GOA_Beneficiary,MES (Delhi),
,,South-West-North,North-North,North-North,North-North,South-East-North,North-North,North-East-North East,North-West,North-West,North-West,West-North,
1,00:00-00:15,0.430000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.86

2,00:15-00:30,0.430000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.86

3,00:30-00:45,0.430000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.86

4,00:45-01:00,0.430000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.86

5,01:00-01:15,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

6,01:15-01:30,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

7,01:30-01:45,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

8,01:45-02:00,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

9,02:00-02:15,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

10,02:15-02:30,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

11,02:30-02:45,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

12,02:45-03:00,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

13,03:00-03:15,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

14,03:15-03:30,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

15,03:30-03:45,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

16,03:45-04:00,0.340000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.77

17,04:00-04:15,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

18,04:15-04:30,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

19,04:30-04:45,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

20,04:45-05:00,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,40.000000,0.000000,75.000000,0.000000,0,182.81

21,05:00-05:15,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,0.000000,0.000000,75.000000,0.000000,0,142.81

22,05:15-05:30,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,0.000000,0.000000,75.000000,0.000000,0,142.81

23,05:30-05:45,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,0.000000,0.000000,75.000000,0.000000,0,142.81

24,05:45-06:00,0.380000,0.960000,2.020000,0.000000,4.800000,59.650000,0.000000,0.000000,75.000000,0.000000,0,142.81

25,06:00-06:15,0.380000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.16

26,06:15-06:30,0.380000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.16

27,06:30-06:45,0.380000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.16

28,06:45-07:00,0.380000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.16

29,07:00-07:15,0.530000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.31

30,07:15-07:30,0.530000,0.960000,2.020000,100.000000,4.800000,0.000000,0.000000,0.000000,75.000000,0.000000,0,183.31

