Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/86275,NR/2025/30334/A/86217,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/8139,NR/2025/30918/C,NR/2025/30884/C,GNA/NR/2025/07/01/3109,NR/2025/30966/C,NR/2025/30909/C,NR/2025/30966/C/Alternate/1,NR/2025/30910/C,GNA/NR/2025/07/01/2997,NR/2025/30907/C,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/30924/C,NR/2025/30870/C,NR/2025/30967/C,NR/2025/30911/C,NR/2025/30960/C,NR/30092023/26122029/SH-06,NR/2025/30947/C,NR/2025/30938/C,NR/2025/30949/C,NR/2025/30951/C,NR/2025/30941/C,NR/2025/30952/C,NR/2025/30953/C,NR/2025/29992/A/86261,NR/2025/30217/A/86591,NR/2025/29353/A/86555,NR/2025/30067/A/86627,NR/2025/27970/A/86590,NR/2025/30083/A/86600,NR/2025/29628/A/86607,NR/2025/29915/A/86370,NR/2025/27968/A/86589,NR/2025/30969/C,NR/2025/30492/A/86252,NR/2025/29440/A/86163,NR/2025/29986/A/86277,NR/2025/30086/A/86598,NR/2025/27978/A/86723,NR/2025/27964/A/86588,NR/2025/30084/A/86599,NR/2025/27963/A/86586,NR/2025/29352/A/86557,NR/2025/27962/A/86585,NR/2025/30101/A/86722,NR/2025/26975/A/86613,NR/2025/30121/A/86222,NR/2025/30082/A/86663,NR/2025/29167/A/86371,NR/2025/28725/A/86592,NR/2025/29439/A/86262,NR/2025/30191/A/86219,NR/2025/30105/A/86593,NR/2025/29910/A/86605,Total
,,SECI_Trader,BRPL,IEXL,PTC,BAWANA_GAS,NDMC,PowerPulse,PowerPulse,PowerPulse,BYPL,HPXL,APPCPL,NVVNL,PowerPulse,NVVNL,PowerPulse,APPCPL,PowerPulse,MANIKARAN,DELHI,ITCLH,IEXL,NVVNL,PowerPulse,NVVNL,PUNJAB,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,BYPL,APPCPL,PTC,MANIKARAN,PowerPulse,APPCPL,APPCPL,TPTCL,PowerPulse,MES_Delhi,DIAPL,ITCLH,BRPL,APPCPL,NVVNL,PowerPulse,APPCPL,PowerPulse,PTC,PowerPulse,NVVNL,APPCPL,IEXL,HPXL,TPTCL,PowerPulse,IVPL_Trader,IEXL,APPCPL,APPCPL,
,,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,KERALA_State,NA,GOA_State,NA,NA,NA,NA,GOA_State,NA,MSEB_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,MP_State,DELHI_UT,NA,MSEB_State,NA,NA,KERALA_State,NA,NA,KERALA_State,NA,GoHP_NJPC_STATE,NA,NA,NA,MSEB_State,UTTARPRADESH_STATE,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,MP_State,Manipur_State,TAMILNADU_State,NA,MSEB_State,NA,MSEB_State,NA,NA,KERALA_State,
,,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,MEENAKSHI,BAWANA_GAS,JPL2,MAHAN_ENERGEN,APL_Raipur_TPP,APL_Raipur_TPP,KSEB,SKS_Raigarh,GOA_Beneficiary,Kameng,MAHAN_ENERGEN,Kameng,APL_Raigarh_TPP,GOA_Beneficiary,MAHAN_ENERGEN,AEML,CHANJUII,ITCWIND,IND_BHARAT,SORANG_HEP,APL_Raipur_TPP,JP_BINA,BAWANA_GAS,SKS_Raigarh,AEML,RKM_POWER,JIPL,KSEB,TRN_ENERGY,RKM_POWER,KSEB,TRN_ENERGY,GoHP_NJPC,MBMP,APL_Raigarh_TPP,SKS_Raigarh,AEML,PPGCL,APL_Raigarh_TPP,NTPCREL_PSS2_KPS2_S,GBHHPL,ITCWIND,DADRT2,RKM_POWER,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,RKM_POWER,MAHAN_ENERGEN,GoHP_Chamera1,APL_Raipur_TPP,JP_BINA,Manipur_Ben,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,MAHAN_ENERGEN,TPC_MSEB,IND_BHARAT,JIPL,KSEB,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,MES_Delhi,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,BRPL,BRPL,TPDDL,ITCLH,BRPL,TPDDL,TPDDL,TPDDL,PUNJAB,NDMC,BYPL,NDMC,NDMC,BYPL,NDMC,NDMC,BYPL,NDMC,BRPL,BRPL,TPDDL,NDMC,BYPL,BRPL,TPDDL,MES_Delhi,DIAPL,ITCLH,BRPL,NDMC,TPDDL,TPDDL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,BYPL,MES_Delhi,BRPL,BYPL,BRPL,BYPL,BRPL,NDMC,BYPL,
,,North-North,North-North,North-North,South-East-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North East-East-North,West-North,North East-East-West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,East-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,South-West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,South-West-North,West-North,West-North,West-North,West-North,East-North,East-North,South-West-North,
1,00:00-00:15,0,0,0,49.05,16.43,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,16.43,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.91,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2336.88

2,00:15-00:30,0,0,0,49.05,16.43,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,16.43,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.91,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2336.88

3,00:30-00:45,0,0,0,49.05,16.43,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,16.43,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.91,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2336.88

4,00:45-01:00,0,0,0,49.05,16.43,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,16.43,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.91,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2336.88

5,01:00-01:15,0,0,0,49.05,20.56,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,20.56,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.77,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2345

6,01:15-01:30,0,0,0,49.05,20.56,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,20.56,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.77,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2345

7,01:30-01:45,0,0,0,49.05,26.2,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,26.2,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.77,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2356.28

8,01:45-02:00,0,0,0,49.05,26.2,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,15,0,0,27.89,0,0,26.2,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.77,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,25.08,48.09,17.49,19.24,2356.28

9,02:00-02:15,0,0,0,49.05,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.49,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.67,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2335.07

10,02:15-02:30,0,0,0,49.05,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.49,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.67,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2335.07

11,02:30-02:45,0,0,0,49.05,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.49,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.67,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2335.07

12,02:45-03:00,0,0,0,49.05,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.49,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,204.38,0,8.74,105.8,20.44,144.27,0,12.5,0.67,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,26.45,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2335.07

13,03:00-03:15,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,161.92,0,1.83,0,15.24,0,20.75,17.4,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,144.27,0,12.5,0.63,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,5.77,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2011.17

14,03:15-03:30,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.03,0,0.71,0,15.24,0,20.75,17.4,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,144.27,0,12.5,0.63,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,5.77,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2011.16

15,03:30-03:45,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.4,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,144.27,0,12.5,0.63,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,5.77,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2011.17

16,03:45-04:00,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.4,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,144.27,0,12.5,0.63,134.65,26.23,0,0,26.23,144.27,28.61,96.18,32.7,5.77,6.73,48.09,54.1,143.07,0,48.09,17.49,19.24,2011.17

17,04:00-04:15,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.22,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,134.65,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,19.24,1668.3500000000004

18,04:15-04:30,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.22,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,134.65,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,19.24,1668.3500000000004

19,04:30-04:45,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.22,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,134.65,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,19.24,1668.3500000000004

20,04:45-05:00,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,163.75,0,0,0,15.24,0,20.75,17.22,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,134.65,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,19.24,1668.3500000000004

21,05:00-05:15,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.03,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1530.8500000000001

22,05:15-05:30,0,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.03,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,12.5,0.63,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1530.8500000000001

23,05:30-05:45,0.21,0,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.03,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,11.54,0.63,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1530.1

24,05:45-06:00,0.19,1,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,17.03,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,11.54,0.63,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1531.08

25,06:00-06:15,1.26,3,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,16.94,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,11.54,0.82,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1534.2499999999998

26,06:15-06:30,2.72,7,0,0,26.94,43.71,81.75,224.82,134.89,0,0,19.24,0,0,163.75,0,15.24,0,20.75,16.94,0,0,27.89,0,0,26.94,0,0,0,0,0,0,0,44.24,7.69,81.75,0,0,8.74,76.58,0,0,0,11.54,0.82,0,26.23,0,0,26.23,0,28.61,96.18,32.7,5.77,6.73,48.09,0,143.07,0,48.09,17.49,16.58,1539.7099999999998

