Block,Time,CHAMERA3,NLCIIST1,NNTPP,NTPL,RAMPUR,RSTPSU7,UNCHAHAR4,AURY_LF,DADRI_RF,KGSU1AND2,KGSU3AND4,RIHAND1,SALAL,TALA,TANAKPUR,CHAMERA2,FSTPP I & II,RAPPC,TEHRI,UNCHAHAR2,VALLURNTECL,JHAJJAR,KOLDAM,NLCTS2EXP,RAPPB,SIMHST1,TelanganaSTPP,ANTA_LF,DADRI_LF,BRBCL,BSIUL,DHAULIGNGA,KHSTPP-II,KISHANGANGA,MAPS,RSTPSU1TO6,SEWA2,SIMHST2,TANDA2,AURY_GF,DADRI_CRF,DADRI_GF,CHAMERA1,KKNP,KOTESHWR,NJPC,RIHAND2,TALST2,UNCHAHAR1,URI2,ANTA_CRF,ANTA_RF,DADRT2,KKNPPU2,NAPP,NLCIIST2,RIHAND3,SASAN,SINGRAULI,UNCHAHAR3,URI,ANTA_GF,AURY_CRF,DULHASTI,KHSTPP-I,KUDGI,NLCEXP,PARBATI3,SINGRAULI_HYDRO,AURY_RF
1,00:00-00:15,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.19,0,0,0,42.15,0,9.66,167.1,121.71,0,20.56,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,26.4,22.08,0,0,53.79,21.85,0,0,17.56,0,77.69

2,00:15-00:30,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.19,0,0,0,42.15,0,9.66,167.1,121.71,0,20.56,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,26.4,22.08,0,0,53.79,21.85,0,0,17.56,0,77.69

3,00:30-00:45,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.19,0,0,0,42.15,0,9.66,167.1,121.71,0,20.56,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,26.4,22.08,0,0,53.79,26.71,0,0,17.56,0,77.69

4,00:45-01:00,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.19,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,26.71,0,0,17.56,0,77.69

5,01:00-01:15,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,26.4,45.27,0,0,53.79,26.71,0,0,17.56,0,77.69

6,01:15-01:30,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,26.71,0,0,17.56,0,77.69

7,01:30-01:45,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.17,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,26.6,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,27.93,0,0,17.56,0,77.69

8,01:45-02:00,32.08,0,0,0,3.54,0,0,0,99.17,0,0,92.59,79.38,5.32,8.71,44.22,20.8,60.53,35.44,42.4,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,26.6,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,27.93,0,0,17.56,0,77.69

9,02:00-02:15,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,79.38,5.32,8.71,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,26.6,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,27.6,0,0,53.79,29.14,0,0,17.56,0,77.69

10,02:15-02:30,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,79.38,5.47,8.71,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,26.6,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,27.6,0,0,53.79,29.14,0,0,17.56,0,77.69

11,02:30-02:45,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,77.85,5.47,8.71,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,29.14,0,0,3.51,0,77.69

12,02:45-03:00,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,77.85,5.53,8.71,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,45.27,0,0,53.79,30.35,0,0,3.51,0,77.69

13,03:00-03:15,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,77.85,5.53,8.33,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,36.05,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,27.6,0,0,53.79,30.35,0,0,3.51,0,77.69

14,03:15-03:30,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,77.85,5.53,8.33,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,29.56,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,27.6,0,0,53.79,30.35,0,0,3.51,0,77.69

15,03:30-03:45,32.08,0,0,0,3.54,0,1.62,0,99.17,0,0,92.59,77.85,5.15,8.33,44.22,20.8,60.53,35.44,43.71,0,413.81,5.35,0,0,0,0,0,0,20.01,13.04,40.4,98.87,4.32,0,0,17.73,0,0.12,0,0,0,42.15,0,9.66,167.1,121.71,0,20.96,29.56,0,48.13,686.07,0,45.46,0,127.6,412.88,127.75,27.05,27.6,0,0,53.79,33.38,0,0,17.56,0,77.69

