Column1,Block,WR/2025/27350/A/65345,NR/2025/25945/A/65678,NR/2025/25947/A/65675,NR/2025/26048/C,NR/2025/25948/A/65671,NR/2025/26031/A/65594,NR/2025/25955/A/65669,WR/2025/27361/A/65705,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65248,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/6639,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,GNA/NR/2025/04/16/2341,Total
,,KEIPL,APPCPL,APPCPL,TPDDL,APPCPL,DIAPL,APPCPL,APPCPL,SECI_Trader,IEXL,HPXL,PowerPulse,HPXL,HPXL,DELHI,NDMC,IEXL,IEXL,HPXL,APPCPL,PXIL,IVPL_Trader,IEXL,IEXL,IEXL,IEXL,BAWANA_GAS,NDMC,PUNJAB,IEXL,
,,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,SIKKIM_STATE,CSEB_State,DELHI_UT,UTTARPRADESH_STATE,DELHI_UT,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,SIKKIM_STATE,DELHI_UT,NA,DELHI_UT,NA,
,,BYPL,RKM_POWER,RKM_POWER,JHAJJAR,TRN_ENERGY,GBHHPL,JIPL,BYPL,APSEPL_FTG,TPSL_BKN2,SIMHAPURI,APL_Raipur_TPP,JPL,JPL2,CHANJUII,SKS_Raigarh,KGEPL_HP,MEYONGCHU_HEP,MSPLTD,BYPL,LAPL_UP,BYPL,RHPPL_HP,LLHEP1234,RCHEP,Kalez_Khola_HEP,BAWANA_GAS,JPL2,BAWANA_GAS,JPNIGRIE_JNSTPP,
,,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,CSEB_Beneficiary,NDMC,NDMC,TPDDL,NDMC,DIAPL,NDMC,CSEB_Beneficiary,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,KSEB,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,HARYANA,NDMC,PUNJAB,BRPL,
,,North-West,West-North,West-North,North-North,West-North,North-North,East-North,North-West,North-North,North-North,South-East-North,West-North,West-North,West-North,North-North,West-North,North-North,East-North,West-North,North-West-South,North-North,North-West,North-North,East-North,East-North,East-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.56

2,00:15-00:30,0,26.24,26.24,252.12,8.75,3.85,17.49,24.06,0,0,28.87,96.23,72.17,72.17,13.17,8.75,9.62,2.89,9.62,52.5,48.12,0,1.92,9.62,2.89,2.89,30,22.13,30,19.25,891.56

