Column1,Time,GNA/NR/2024/10/03/7360,GNA/NR/2024/10/03/4066,GNA/NR/2024/10/03/4296,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/10/03/1276,GNA/NR/2024/10/01/4083,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/3642,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,299.58,45.42,0,202.94,0,54.36,31.29,16.78,100.68,37.33,7.57,12.45,0,37.33,5.38,5.67,16.78,0,4.5,12.45,37.33,115.54,0,273.25,87.17,0,19.34,59,0,0,0,22.5,22.5,0,67.5,0,59,0,14.01,0,0,0,0,0

2,00:15-00:30,299.58,48.32,0,202.94,0,54.36,31.29,16.78,100.68,37.33,7.57,12.45,0,37.33,5.38,5.67,16.78,0,4.5,12.45,37.33,115.54,0,273.25,87.17,0,19.66,60,0,0,0,23,23,0,69,0,60,0,13.21,0,0,0,0,0

3,00:30-00:45,299.58,50.25,0,202.94,0,54.36,31.29,16.78,100.68,37.33,7.57,12.45,0,37.33,5.38,5.67,16.78,0,4.5,12.45,37.33,115.54,0,273.25,87.17,0,19.66,61,0,0,0,23.34,23.33,0,70,0,61,0,11.81,0,0,0,0,0

4,00:45-01:00,299.58,52.19,0,202.94,0,54.36,31.29,16.78,100.68,37.33,7.57,12.45,0,37.33,5.38,5.67,16.78,0,4.5,12.45,37.33,115.54,0,273.25,87.17,0,19.66,62.67,0,0,0,23.66,23.67,0,71,0,62.67,0,11,0,0,0,0,0

5,01:00-01:15,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.47,12.45,0,37.33,5.23,5.67,16.78,0,4.37,12.45,37.33,115.54,0,273.25,87.17,0,20,63,0,0,0,23.84,23.83,0,71.5,0,63,0,10.4,0,0,0,0,0

6,01:15-01:30,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.47,12.45,0,37.33,5.23,5.67,16.78,0,4.37,12.45,37.33,115.54,0,273.25,87.17,0,20.34,62.67,0,0,0,23.84,23.83,0,71.5,0,62.67,0,9.4,0,0,0,0,0

7,01:30-01:45,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.47,12.45,0,37.33,5.23,5.67,16.78,0,4.37,12.45,37.33,115.54,0,273.25,87.17,0,15.66,66.67,0,0,0,23.84,23.83,0,71.5,0,66.67,0,11,0,0,0,0,0

8,01:45-02:00,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.47,12.45,0,37.33,5.23,5.67,16.78,0,4.37,12.45,37.33,115.54,0,273.25,87.17,0,15.66,66.67,0,0,0,23.84,23.83,0,71.5,0,66.67,0,10.6,0,0,0,0,0

9,02:00-02:15,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.38,12.45,0,37.33,5.07,5.44,16.78,0,4.37,12.45,37.33,115.54,0,273.25,87.17,0,15.34,66.67,0,0,0,23.84,23.83,0,71.5,0,66.67,0,10.2,0,0,0,0,0

10,02:15-02:30,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.38,12.45,0,37.33,5.07,5.44,16.78,0,4.37,12.45,37.33,107.02,0,273.25,87.17,0,15,66.67,0,0,0,23.84,23.83,0,71.5,0,66.67,0,9.6,0,0,0,0,0

11,02:30-02:45,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.38,12.45,0,37.33,5.07,5.13,16.78,0,4.37,12.45,37.33,98.5,0,273.25,87.17,0,14.66,66.67,0,0,0,23.34,23.33,0,70,0,66.67,0,9,0,0,0,0,0

12,02:45-03:00,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.38,12.45,0,37.33,5.07,5.13,16.78,0,4.37,12.45,37.33,94.71,0,273.25,87.17,0,14.34,66,0,0,0,22.16,22.17,0,66.5,0,66,0,8.4,0,0,0,0,0

13,03:00-03:15,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.29,12.45,0,37.33,4.61,5.13,16.78,0,4.23,12.45,37.33,94.71,0,273.25,87.17,0,18.66,69.67,0,0,0,23.66,23.67,0,71,0,69.67,0,7.8,0,0,0,0,0

14,03:15-03:30,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.29,12.45,0,37.33,4.61,5.13,16.78,0,4.23,12.45,37.33,94.71,0,273.25,87.17,0,18.34,69.67,0,0,0,23.5,23.5,0,70.5,0,69.67,0,7.4,0,0,0,0,0

15,03:30-03:45,0,0,0,164.01,0,54.36,31.29,16.78,91.29,37.33,7.29,12.45,0,37.33,4.61,5.13,16.78,0,4.23,12.45,37.33,70.46,0,251.26,68.16,0,17.66,69.67,0,0,0,23.16,23.17,0,69.5,0,69.67,0,12.41,0,0,0,0,0

16,03:45-04:00,0,0,0,193,0,54.36,31.29,16.78,91.29,37.33,7.29,12.45,0,37.33,4.61,5.13,16.78,0,4.23,12.45,37.33,70.46,0,273.25,87.17,0,17.34,69.67,0,0,0,23.16,23.17,0,69.5,0,69.67,0,12.01,0,0,0,0,0

17,04:00-04:15,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.46,4.98,16.78,0,4.23,12.45,37.33,70.46,0,273.25,87.17,0,17,69.67,0,0,0,22.66,22.67,0,68,0,69.67,0,11.61,0,0,0,0,0

18,04:15-04:30,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.46,4.98,16.78,0,4.23,12.45,37.33,70.46,0,273.25,87.17,0,16.66,69.67,0,0,0,22,22,0,66,0,69.67,0,11.41,0,0,0,0,0

19,04:30-04:45,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.46,4.98,16.78,0,4.23,12.45,37.33,70.46,0,273.25,87.17,0,16.66,69.67,0,0,0,21.66,21.67,0,65,0,69.67,0,11,0,0,0,0,0

20,04:45-05:00,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.46,4.98,16.78,0,4.23,12.45,37.33,70.46,0,273.25,87.17,0,16.66,69.33,0,0,0,21.5,21.5,0,64.5,0,69.33,0,10.4,0,0,0,0,0

21,05:00-05:15,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,70.46,0,273.25,87.17,0,21.34,68.33,0,0,0,28,28,0,84,0,68.33,0,10.2,0,0,0,0,0

22,05:15-05:30,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,70.46,0,273.25,87.17,0,20.66,63.67,0,0,0,27.5,27.5,0,82.5,0,63.67,0,9.8,0,0,0,0,0

23,05:30-05:45,0,0,0,202.94,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,70.46,0,273.25,87.17,0,20.34,62.33,0,0,0,27.5,27.5,0,82.5,0,62.33,0,9.6,0,0,0,0,0

24,05:45-06:00,0,0,0,164.01,0,54.36,31.29,16.78,91.29,37.33,7.2,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,70.46,0,273.25,87.17,0,20,58,0,0,0,27.5,27.5,0,82.5,0,58,0,9.4,0,0,0,0,0

25,06:00-06:15,0,0,0,164.01,0,0,31.29,16.78,91.29,37.33,7.1,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,70.46,0,273.25,68.16,8.25,19.66,68,0,3,0,27.16,27.17,16.82,81.5,0,68,0,9.2,0,1,0,0,0

26,06:15-06:30,0,0,0,202.94,0,0,31.29,16.78,91.29,37.33,7.1,12.45,0,37.33,4.3,4.98,16.78,0,4.09,12.45,37.33,94.71,0,273.25,87.17,17.66,19,67.33,0,8,0,26.66,26.67,32.68,80,2.55,67.33,0,9,0,2,1,0,1

27,06:30-06:45,0,0,0,164.01,0,0,31.29,16.78,91.29,37.33,7.1,12.45,0.43,37.33,4.3,4.98,16.78,0.42,4.09,12.45,37.33,70.46,0.42,231.94,68.16,29.42,22.34,64.33,0.9,11,2,27.5,27.5,33,82.5,9.2,64.33,1,8.8,2,5,3,0.18,4

28,06:45-07:00,0,0,0,164.01,0,0,31.29,16.78,91.29,37.33,7.1,12.45,0.76,37.33,4.3,4.98,16.78,0.74,4.09,12.45,37.33,70.46,0.74,273.25,68.16,33,22,60,4.32,14,3,27.5,27.5,33,82.5,16.04,60,3,8.6,3,8,4,0.86,7

29,07:00-07:15,0,0,0,202.94,0,0,31.29,16.78,91.29,37.33,7.1,12.45,1.3,37.33,4.3,4.9,16.78,1.27,3.95,12.45,37.33,70.46,1.27,273.25,87.17,33,22,65,10.43,17,7,27.5,27.5,33,82.5,23.44,65,6,8.4,5,10,5,2.08,14

30,07:15-07:30,0,0,0,202.94,0,0,31.29,16.78,91.29,37.33,7.1,12.45,2.02,37.33,4.3,4.9,16.78,1.98,3.95,12.45,37.33,70.46,1.98,273.25,87.17,33,22,63.33,18.98,24,10,26.66,26.67,33,80,32.66,63.33,10,8.2,7,15,7,3.79,25

31,07:30-07:45,0,0,0,164.01,0,0,31.29,16.78,91.29,37.33,7.1,12.45,2.92,37.33,4.3,4.9,16.78,2.85,3.95,12.45,37.33,70.46,2.85,273.25,68.16,32.66,16.34,56.67,33.99,32.67,15,21.16,21.17,32.67,63.5,43.48,56.67,15,8,8,18,9,6.8,35

32,07:45-08:00,0,0,0,164.01,0,0,31.29,16.78,91.29,37.33,7.1,12.45,3.61,37.33,4.3,4.9,16.78,3.52,3.95,12.45,37.33,70.46,3.52,273.25,68.16,33,16,55.67,51.18,33,19,20.66,20.67,33,62,55.22,55.67,21,8,11,25,12,10.24,49

33,08:00-08:15,0,0,0,145.79,0,0,31.29,16.78,100.68,37.33,7.1,12.45,4.61,37.33,4.3,4.9,16.78,4.5,3.95,12.45,37.33,70.46,4.5,273.25,68.16,33,15.66,53.33,70.16,33,25,20.34,20.33,33,61,66.71,53.33,25,8,17,32,15,14.03,60

