Time,Block,NR/2024/19030/A/17099,NR/2024/19893/C,NR/2024/19245/A/17142,NR/2024/19290/A/17811,NR/2024/19862/C,NR/2024/19764/A/17810,NR/2024/18986/A/17094,NR/2024/18935/A/17038,NR/2024/19871/C,NR/2024/19483/A/17660,NR/2024/18934/A/17037,NR/2024/19677/A/17284,NR/2024/19469/A/17144,NR/2024/19075/A/17084,NR/2024/19787/A/17733,NR/2024/19679/A/17290,NR/2024/19121/A/17170,NR/2024/18977/A/17049,NR/2024/19172/A/17812,NR/2024/19024/A/17143,NR/2024/18919/A/17635,NR/2024/19884/C,NR/2024/19656/A/17174,NR/2024/19726/A/17575,NR/2024/19935/C,NR/2024/19622/A/17060,NR/2024/18936/A/17039,NR/2024/18855/A/17171,NR/2024/19888/C,NR/2024/19892/C,NR/2024/18996/A/17617,NR/2024/19485/A/17656,NR/2024/19043/A/17092,NR/2024/19115/A/17082,NR/2024/18976/A/17048,NR/2024/19877/C,NR/2024/19898/C,NR/2024/19739/A/17395,NR/2024/19337/A/17141,NR/2024/19861/C,NR/2024/19905/C,NR/2024/19890/C,NR/2024/19143/A/17080,NR/2024/19484/A/17658,NR/2024/19863/C,NR/2024/19727/A/17570,NR/2024/18978/A/17050,NR/2024/19609/A/17633,NR/2024/19901/C,Total
,,IEXL,IEXL,DIAPL,TPDDL,NVVNL,BRPL,ITCLH,PXIL,PXIL,NVVNL,PXIL,IEXL,DIAPL,IEXL,IEXL,IEXL,GMRETL,PXIL,TPDDL,DIAPL,APPCPL,IEXL,DIAPL,IEXL,PXIL,PXIL,PXIL,GMRETL,IEXL,IEXL,PTC,NVVNL,IEXL,IEXL,PXIL,PXIL,IEXL,DIAPL,DIAPL,NVVNL,IEXL,IEXL,IEXL,NVVNL,NVVNL,IEXL,PXIL,HPXL,HPXL,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,ANDHRA PRADESH,TAMIL NADU,KARNATAKA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,TELANGANA,HIMACHAL PRADESH,RAJASTHAN,NA,NA,HIMACHAL PRADESH,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,KERALA,TAMIL NADU,RAJASTHAN,NA,NA,MAHARASHTRA,NA,NA,MAHARASHTRA,ODISHA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,KARNATAKA,DELHI,NA,NA,NA,TAMIL NADU,KERALA,KERALA,
,,JHABUA_IPP,HP,GBHHPL,JHAJJAR,KAMENG,DADRT2,ITCWIND,SAKTHISUGARS_ELMTN,PCKL,SKS Raigarh,SAKTHISUGRAR_TN,HP,GBHHPL,VSL,NAVABHARATVL,HP-GOVT,RUVNL,MEENAKSHI,JHAJJAR,GBHHPL,Nagaland_Ben,RKM_POWER,GBHHPL,HP-GOVT,WBSEDCL,KSEB,SAKTHISUGARSLTD,RUVNL,RKM_POWER,SINGOLI,JPL_DHULE,RKM_POWER,MBMP,SWPL,FACORPOWER,SORANG_HEP,KSEB,GBHHPL,GBHHPL,SOLAPUR_SOLAR,CPTTNPL,PCKL,EDWPCL12,RKM_POWER,SORANG_HEP,SEIL,BIRLACARBONTN,KSEB,KSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,DIAPL,TPDDL,TPDDL,BRPL,ITCLH,BRPL,BRPL,NDMC,BRPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BYPL,BRPL,TPDDL,DIAPL,BYPL,TPDDL,DIAPL,TPDDL,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,DIAPL,MES (Delhi),BYPL,BRPL,UPPCL,NDMC,TPDDL,TPDDL,BRPL,BRPL,BRPL,
,,West-East-North,North-North,North-North,North-North,North East-East-North,North-North,South-West-North,South-West-North,South-West-North,West-North,South-West-North,North-North,North-North,East-North,South-East-West-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,East-North,South-West-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-East-North,West-East-North,East-West-North,North-North,South-East-West-North,North-North,North-North,West-North,West-North,South-East-West-North,North-North,West-North,North-North,South-East-West-North,South-West-North,South-East-North,South-East-North,
1,00:00-00:15,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.530000,0.000000,193.280000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,193.280000,52.190000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,42.71,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,2109.21

2,00:15-00:30,0.000000,96.640000,0.000000,67.650000,52.570000,0.000000,0.530000,0.000000,193.280000,12.450000,0.000000,96.640000,0.000000,0.000000,0.000000,96.640000,0.000000,0.000000,115.970000,4.830000,9.660000,96.640000,0.000000,144.960000,0.000000,96.640000,0.000000,66.870000,193.280000,52.190000,0.000000,37.330000,0.000000,0.000000,0.000000,4.830000,96.640000,0.970000,1.930000,0,44.36,0.000000,2.000000,37.330000,53.150000,193.280000,0.000000,96.640000,144.960000,2110.86

