Block,Time Block,RAPPB,TANAKPUR,RIHAND2,SASAN,TALST2,TANDA2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,TALA,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,RAMPUR,PARBATI3,KOLDAM,KISHANGANGA,KHSTPP-I,KGSU3AND4,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,CHAMERA2,BRBCL,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,DADRT2,JHAJJAR,KGSU1AND2,VALLURNTECL,UNCHAHAR4,URI2,TelanganaSTPP,UNCHAHAR3,UNCHAHAR2,TEHRI,URI,UNCHAHAR1,AURY_RF,DADRI_LF,ANTA_LF,AURY_LF,DADRI_GF,ANTA_GF,AURY_CRF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,1.72,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,104.31,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,31.5,0,8.53,122.81,0,0,0,19.22,0,0,15.07,15.83,0,0,350.28,350.15,0,0,0,4.14,0,18.67,13.35,0,1.07,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,1.72,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,104.31,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,31.5,0,8.53,122.81,0,0,0,19.22,0,0,15.07,15.83,0,0,350.28,350.15,0,0,0,4.14,0,19.25,14.65,0,1.07,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,1.72,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,104.31,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,31.5,0,8.53,122.81,0,0,0,17.86,0,0,11.23,15.83,0,0,360.92,345.89,0,0,0,4.14,0,16.67,14.65,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,1.72,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,104.31,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,31.5,0,8.53,122.81,0,0,0,14.11,0,0,11.23,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,12.66,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,5.53,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,92.89,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,28.94,0,8.53,94.82,0,0,0,13.6,0,0,11.23,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,11.2,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,5.53,114.09,326.43,0,0,88.39,0,0,0,51.34,0,0,0,2.24,0,92.89,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,28.94,0,8.53,94.82,0,0,0,13.43,0,0,11.23,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,11.2,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,5.53,114.09,326.43,0,0,60.75,0,0,0,51.34,0,0,0,2.24,0,92.89,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,28.94,0,8.53,94.82,0,0,0,12.52,0,0,11.23,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,11.2,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,5.53,114.09,326.43,0,0,60.75,0,0,0,51.34,0,0,0,2.24,0,92.89,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,28.94,0,8.53,94.82,0,0,0,11.16,0,0,9.62,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,11.2,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,5.53,114.09,326.43,0,0,60.75,0,0,0,51.34,0,0,0,2.24,0,92.89,119.45,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,25.9,0,8.53,94.82,0,0,0,10.88,0,0,9.62,15.83,0,0,360.92,345.89,0,0,0,4.14,0,13.94,11.2,0,1.07,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

