Block,Time,L_NR_2012_02,L_NR_2018_61,SH-06,L_NR_2023_04,LT-05,SH-07,L_NR_2012_04,LT-31,LT-36,L_NR_2020_02,L_NR_2012_07,LT-35,L_NR_2012_01,L_NR_2019_11,LT-59,L_NR_2019_06,L_NR_2019_07,L_NR_2021_17,L_NR_2020_06,L_NR_2020_07,L_NR_2021_13,L_NR_2021_14,L_NR_2022_08,L_NR_2019_19,L_NR_2019_05,L_NR_2021_16,L_NR_2020_05,L_NR_2022_09,L_NR_2022_10,L_NR_2021_15,L_NR_2021_12
1,00:00-00:15,261.020000,16.08,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.670000,10.320000,0,0,0,22.48,22.46,0,0,18.48,0,0,0,67.43,51.2,51.2,0,0

2,00:15-00:30,261.020000,16.93,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.670000,10.320000,0,0,0,22.87,22.88,0,0,19.02,0,0,0,68.61,49.56,49.56,0,0

3,00:30-00:45,261.020000,17.47,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.670000,10.320000,0,0,0,21.22,21.24,0,0,17.32,0,0,0,63.67,49.55,49.55,0,0

4,00:45-01:00,261.020000,18.51,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.670000,10.320000,0,0,0,21.14,21.13,0,0,17.55,0,0,0,63.42,52.62,52.62,0,0

5,01:00-01:15,261.020000,20.46,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,55.950000,0.000000,101.040000,7.510000,10.320000,0,0,0,21.75,21.74,0,0,17.95,0,0,0,65.25,52.67,52.67,0,0

6,01:15-01:30,261.020000,22.56,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,55.950000,0.000000,101.040000,7.510000,10.320000,0,0,0,21.6,21.6,0,0,18.35,0,0,0,64.81,51.31,51.31,0,0

7,01:30-01:45,261.020000,22.66,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,55.950000,0.000000,101.040000,7.510000,10.320000,0,0,0,21.51,21.53,0,0,18.58,0,0,0,64.54,52.01,52.01,0,0

8,01:45-02:00,261.020000,21.46,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,55.950000,0.000000,101.040000,7.510000,10.320000,0,0,0,26.72,26.72,0,0,18.74,0,0,0,80.16,50.85,50.85,0,0

9,02:00-02:15,261.020000,21.53,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.510000,10.320000,0,0,0,26.71,26.7,0,0,22.81,0,0,0,80.12,63.06,63.06,0,0

10,02:15-02:30,261.020000,21.13,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,73.970000,0.000000,101.040000,7.510000,10.320000,0,0,0,27.94,27.96,0,0,23.55,0,0,0,83.83,62.38,62.38,0,0

11,02:30-02:45,261.020000,20.72,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.510000,10.320000,0,0,0,27.34,27.34,0,0,22.73,0,0,0,82.03,63.3,63.3,0,0

12,02:45-03:00,261.020000,19.85,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.510000,10.320000,0,0,0,27.73,27.73,0,0,23.45,0,0,0,83.18,63.37,63.37,0,0

13,03:00-03:15,261.020000,18.64,0.000000,0.000000,115.410000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,27.51,27.52,0,0,23.32,0,0,0,82.54,61.08,61.08,0,0

14,03:15-03:30,261.020000,17.79,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,27.67,27.68,0,0,22.92,0,0,0,83.03,49.54,49.54,0,0

15,03:30-03:45,261.020000,17.86,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,22,22.01,0,0,20.5,0,0,0,66.01,49.44,49.44,0,0

16,03:45-04:00,261.020000,18,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,21.83,21.82,0,0,21.04,0,0,0,65.48,46.93,46.93,0,0

17,04:00-04:15,261.020000,18.12,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,21.28,21.29,0,0,20.75,0,0,0,63.85,47.4,47.4,0,0

18,04:15-04:30,261.020000,18.3,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,20.6,20.6,0,0,20.88,0,0,0,61.79,44.9,44.9,0,0

19,04:30-04:45,261.020000,17.9,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,19.83,19.84,0,0,14.17,0,0,0,59.49,42.22,42.22,0,0

20,04:45-05:00,261.020000,17.57,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,14.97,14.97,0,0,14.22,0,0,0,44.91,35.23,35.23,0,0

21,05:00-05:15,261.020000,13.81,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,15.07,15.07,0,0,13.94,0,0,0,45.21,34.78,34.78,0,0

22,05:15-05:30,261.020000,13.61,0.000000,0.000000,70.380000,0.000000,271.290000,0.000000,0.000000,0.000000,64.820000,0.000000,101.040000,7.290000,10.320000,0,0,0,14.99,14.99,0,0,14.45,0,0,0,44.97,48.64,48.64,0,0

