Block,Time,NLCEXP,PARBATI2,TALST2,UNCHAHAR4,ANTA_LF,CHAMERA2,FSTPP I & II,KGSU3AND4,KHSTPP-I,KHSTPP-II,KUDGI,NTPL,RAMPUR,RAPPB,RSTPSU1TO6,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA1,JHAJJAR,KISHANGANGA,NLCIIST1,TANDA2,TelanganaSTPP,URI2,DADRI_RF,BSIUL,KGSU1AND2,KOTESHWR,RAPPD,RSTPSU7,BRBCL,CHAMERA3,NAPP,RAPPC,SINGRAULI,UNCHAHAR1,ANTA_RF,DULHASTI,KKNP,KOLDAM,RIHAND1,RIHAND2,SIMHST2,SINGRAULI_HYDRO,TALA,TANAKPUR,UNCHAHAR2,AURY_LF,DHAULIGNGA,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,SALAL,SEWA2,SIMHST1,VALLURNTECL,ANTA_CRF,ANTA_GF,AURY_CRF,AURY_RF,DADRT2,KKNPPU2,MAPS,PARBATI3,RIHAND3,SASAN,TEHRI,URI,DADRI_GF
1,00:00-00:15,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.8,0,0,27.99,0,0,0,42.15,447.23,8.71,0,7.07,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,49.95,58.79,0,3.91,64.81,96.8,0,1.16,9.97,2.44,45.12,0,21.95,144.71,0,0,0,46.48,12.62,0,0,0,0,0,80.92,451.33,0,0,21.52,92.37,408.38,28.23,52.36,0

2,00:15-00:30,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.8,0,0,27.99,0,0,0,42.15,447.23,8.71,0,7.07,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,49.95,58.79,0,3.91,64.81,96.8,0,1.16,9.97,2.44,45.12,0,21.95,144.71,0,0,0,46.48,6.31,0,0,0,0,0,80.92,501.03,0,0,21.52,92.37,408.38,28.23,52.36,0

3,00:30-00:45,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.8,0,0,27.99,0,0,0,42.15,447.23,8.71,0,6.87,0,38.16,102.02,6.52,0,11.6,26.62,0,20,35.09,24.49,68.9,155.58,21.83,49.95,58.79,0,6.73,64.81,96.8,0,1.16,10.17,2.44,45.12,0,10.97,144.71,0,0,0,46.48,6.31,0,0,0,0,0,80.92,550.73,0,0,23.05,92.37,408.38,28.23,52.36,0

4,00:45-01:00,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.55,0,0,27.99,0,0,0,42.15,447.23,8.71,0,6.67,0,38.16,102.02,6.52,0,11.6,26.62,0,20,35.09,24.49,68.9,155.58,21.83,49.95,58.79,0,7.26,64.81,96.8,0,1.16,10.17,2.44,45.12,0,10.97,138.42,0,0,0,46.48,6.31,0,0,0,0,0,80.92,575.85,0,0,23.05,92.37,408.38,28.23,52.36,0

5,01:00-01:15,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.27,58.79,0,9.69,64.81,96.8,0,1.16,10.17,2.44,45.12,0,10.97,138.42,0,0,0,46.48,6.31,0,0,0,0,0,80.92,575.85,0,0,23.05,92.37,408.38,28.23,52.36,0

6,01:15-01:30,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.27,58.79,0,9.69,64.81,96.8,0,1.16,10.17,2.44,45.12,0,10.97,138.42,0,0,0,46.48,6.31,0,0,0,0,0,80.92,575.85,0,0,23.05,92.37,408.38,28.23,52.36,0

7,01:30-01:45,0,22.62,0,2.48,0,48.9,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.27,58.79,0,9.69,64.81,96.8,0,1.16,10.17,1.54,45.12,0,10.97,138.42,0,0,0,46.48,6.31,0,0,0,0,0,80.92,575.85,0,0,23.05,92.37,408.38,28.23,52.36,0

8,01:45-02:00,0,22.62,0,2.48,0,32.6,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,6.52,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.27,58.79,0,9.69,64.81,96.8,0,1.16,10.17,1.54,45.12,0,10.97,138.42,0,0,0,46.48,5.59,0,0,0,0,0,80.92,575.85,0,0,23.05,92.37,408.38,28.23,52.36,0

9,02:00-02:15,0,22.62,0,2.48,0,32.6,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,13.04,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.93,58.79,0,7.26,64.81,96.8,0,1.16,8.26,1.54,45.11,0,10.97,138.42,0,0,0,46.48,5.22,0,0,0,0,0,80.92,575.85,0,0,23.82,92.37,408.38,28.23,52.36,0

10,02:15-02:30,0,22.62,0,2.48,0,32.6,20.8,0,45.83,98.87,0,0,5.54,0,0,27.99,0,0,0,28.1,447.23,8.71,0,6.87,0,38.16,102.02,13.04,0,11.6,26.62,0,20,23.37,24.49,68.9,155.58,21.83,51.93,58.79,0,7.26,64.81,96.8,0,1.16,8.26,1.54,45.11,0,10.97,138.42,0,0,0,46.48,0,0,0,0,0,0,80.92,575.85,0,0,23.82,92.37,408.38,28.23,52.36,0

