Time,Block,NR/2023/12282/D,NR/2023/11642/A,NR/2023/11476/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11330/A,NR/2023/12302/C,NR/2023/10611/A,NR/2023/11961/F,NR/2023/12283/D,NR/2023/11941/F,NR/2023/10613/A,NR/2023/10487/A,NR/2023/11963/F,NR/2023/12300/C,NR/2023/11955/F,NR/2023/10229/A,NR/2023/11959/F,NR/2023/10236/A,NR/2023/12303/C,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10434/A,NR/2023/12290/D,NR/2023/12316/C,NR/2023/12284/D,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10944/A,NR/2023/11342/A,NR/2023/11958/F,NR/2023/11947/F,NR/2023/10344/A,NR/2023/11952/F,Total
,,NVVNL,MANIKARAN,IEXL,SHPPBPL,SHPPBPL,APPCPL,TPDDL,APPCPL,SHPPBPL,TS1PL_BKN,NVVNL,APPCPL,TPTCL,SHPPBPL,GBHHPL,SHPPBPL,NVVNL,SHPPBPL,NVVNL,PXIL,SHPPBPL,SHPPBPL,NVVNL,NVVNL,IEXL,TS1PL_BKN,APPCPL,MANIKARAN,APPCPL,IEXL,SHPPBPL,HPXL,BYPL,KEIPL,Total

,,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,NA,MANIPUR,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,MAHARASHTRA,MEGHALAYA,MEGHALAYA,
,,SOLAPUR_SOLAR,HP,JSPL_DCPP,SHPPBPL,SHPPBPL,HP,CHANJUII,Arunachal_Ben,SHPPBPL,TS1PL_BKN,SKS Raigarh,Nagaland_Ben,APNRL,SHPPBPL,GBHHPL,SHPPBPL,JPNIGRIE_JNSTPP,SHPPBPL,ILFS,BYPL,SHPPBPL,SHPPBPL,SEIL,KAMENG,BYPL,TS1PL_BKN,Manipur_Ben,HP,HP,NAVABHARAT,SHPPBPL,B_S_ISPAT_MH,Meghalaya_Ben,Meghalaya_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,BRPL,MHIL,BAL224,BRPL,TPDDL,BYPL,JHPL-DL,BYPL,NDMC,BYPL,TPDDL,UHL,DIAPL,BAL184,BRPL,BMDRC,BRPL,TISCL_UP,MAX-HPTL,BAL234,TPDDL,TPDDL,AMBASTL,BRPL,STT,BRPL,BYPL,BRPL,AISHER,NDMC,BYPL,BYPL,
,,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,East-North,North-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,West-North,North East-East-North,North East-East-North,
1,00:00-00:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.690000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.57

2,00:15-00:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.690000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.57

3,00:30-00:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.690000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.57

4,00:45-01:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.690000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.57

5,01:00-01:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.600000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.48

6,01:15-01:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.600000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.48

7,01:30-01:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.600000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,11.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,833.48

