Time,Block,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11496/A,NR/2023/10956/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13261/C,NR/2023/11447/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/11507/A,NR/2023/10947/A,SR/2023/5976/C,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11266/A,NR/2023/12813/F,NR/2023/12169/A,SR/2023/5974/C,NR/2023/13263/C,NR/2023/12661/A,NR/2023/13256/C,NR/2023/13145/F,NR/2023/13258/C,NR/2023/12920/F,NR/2023/12921/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11712/A,NR/2023/12956/F,NR/2023/10959/A,NR/2023/10786/A,NR/2023/12706/A,NR/2023/10561/A,NR/2023/13244/D,NR/2023/12915/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/11709/A,NR/2023/12922/F,NR/2023/13248/D,NR/2023/13249/D,ER/2023/8139/C,NR/2023/13241/D,Total
,,SHPPBPL,SHPPBPL,APPCPL,NVVNL,KEIPL,MANIKARAN,TPDDL,TPTCL,GMRETL,SHPPBPL,TPTCL,APPCPL,HPXL,ITCLH,SHPPBPL,TPTCL,MANIKARAN,APPCPL,IEXL,IEXL,NVVNL,GBHHPL,SJVNL,PXIL,SHPPBPL,SHPPBPL,KEIPL,KEIPL,MANIKARAN,IEXL,NVVNL,STATKRAFT,HPXL,PTC,NVVNL,SHPPBPL,APPCPL,SHPPBPL,MANIKARAN,SHPPBPL,TS1PL_BKN,TS1PL_BKN,HPXL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,NA,HIMACHAL PRADESH,WEST BENGAL,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,TAMIL NADU,JAMMU AND KASHMIR,NA,TAMIL NADU,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,NA,DELHI,NA,
,,SHPPBPL,SHPPBPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,TANGEDCO,HP,CHANJUII,HP-GOVT,Meghalaya_Ben,SHPPBPL,JPL,HP,BYPL,ITCWIND,SHPPBPL,KWHEP,HP,HP,BYPL,BYPL,SKS Raigarh,GBHHPL,IPCL_WB,BYPL,SHPPBPL,SHPPBPL,Meghalaya_Ben,Meghalaya_Ben,TANGEDCO,SAPU1234,KAMENG,TANGEDCO,B_S_ISPAT_MH,JPNIGRIE_JNSTPP,KAMENG,SHPPBPL,Meghalaya_Ben,SHPPBPL,TANGEDCO,SHPPBPL,TS1PL_BKN,TS1PL_BKN,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,UTTAR PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,
,,BAL224,MHIL,BYPL,BRPL,BYPL,BRPL,TPDDL,BRPL,BYPL,AISHER,BRPL,BYPL,TANGEDCO,ITCLH,BAL234,BRPL,BRPL,BRPL,TANGEDCO,AMBASTL,NDMC,DIAPL,NDMC,ASIL_UP,BMDRC,MAX-HPTL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,NDMC,TPDDL,TPDDL,BAL184,BYPL,UHL,BRPL,JHPL-DL,BYPL,BRPL,VL-CPP 1215,MES (Delhi),
,,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,North-East-South,South-West-North,North-North,North-North,North-North,North-North,North-East-South,North-North,West-North,North-North,East-North,North-North,North-North,North-North,North East-East-North,North East-East-North,South-West-North,North-North,North East-East-North,South-West-North,West-North,West-North,North East-East-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North-North,North-East,West-North,
1,00:00-00:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,17.200000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1116.62

2,00:15-00:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,16.160000,12.710000,23.210000,0.820000,255.260000,27.860000,0.00,0.480000,0.920000,17.200000,62.870000,65.000000,0.00,0.000000,0.000000,30.570000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,98.650000,6.770000,48.360000,0.000000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1116.62
