Time,Block,WR/2023/17681/A,NR/2023/17344/F,NR/2023/17824/C,NR/2023/17263/F,NR/2023/17827/C,NR/2023/17404/F,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17496/F,Total
,,MANIKARAN,ITCLH,NVVNL,APPCPL,TPDDL,MANIKARAN,NVVNL,MANIKARAN,APPCPL,MANIKARAN,TPTCL,IEXL,Total

,,DELHI,ANDHRA PRADESH,NA,DELHI,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,DELHI,DELHI,KARNATAKA,
,,BYPL,ITCWIND,SOLAPUR_SOLAR,BRPL,CHANJUII,BRPL,SKS Raigarh,BRPL,BYPL,BYPL,BYPL,NSLSUGAR,
,,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,
,,AEML,ITCLH,MES (Delhi),HP,TPDDL,HP,NDMC,HP,HP,AEML,TPC MSEB,MES (Delhi),
,,North-West,South-West-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-East-West,North-West,South-East-North,
1,00:00-00:15,100.000000,0.580000,0,99.420000,5.350000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,338.05

2,00:15-00:30,100.000000,0.580000,0,99.420000,5.350000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,338.05

3,00:30-00:45,100.000000,0.580000,0,99.420000,5.350000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,338.05

4,00:45-01:00,100.000000,0.580000,0,99.420000,5.350000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,338.05

5,01:00-01:15,100.000000,0.530000,0,99.420000,5.260000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.91

6,01:15-01:30,100.000000,0.530000,0,99.420000,5.260000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.91

7,01:30-01:45,100.000000,0.530000,0,99.420000,5.260000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.91

8,01:45-02:00,100.000000,0.530000,0,99.420000,5.260000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.91

9,02:00-02:15,100.000000,0.530000,0,99.420000,5.170000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.82

10,02:15-02:30,100.000000,0.530000,0,99.420000,5.170000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.82

11,02:30-02:45,100.000000,0.530000,0,99.420000,5.170000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.82

12,02:45-03:00,100.000000,0.530000,0,99.420000,5.170000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.82

13,03:00-03:15,100.000000,0.530000,0,99.420000,5.070000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.72

14,03:15-03:30,100.000000,0.530000,0,99.420000,5.070000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.72

15,03:30-03:45,100.000000,0.530000,0,99.420000,5.070000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.72

16,03:45-04:00,100.000000,0.530000,0,99.420000,5.070000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.72

17,04:00-04:15,100.000000,0.530000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.64

18,04:15-04:30,100.000000,0.530000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.64

19,04:30-04:45,100.000000,0.530000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.64

20,04:45-05:00,100.000000,0.530000,0,99.420000,4.990000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.64

21,05:00-05:15,100.000000,0.530000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.54

22,05:15-05:30,100.000000,0.530000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.54

23,05:30-05:45,100.000000,0.530000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.54

24,05:45-06:00,100.000000,0.530000,0,99.420000,4.890000,20.400000,62.820000,0.000000,42.710000,0.000000,0.000000,6.770000,337.54

25,06:00-06:15,0.000000,0.580000,0,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,397.35

26,06:15-06:30,0.000000,0.580000,0,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,397.35

27,06:30-06:45,0.000000,0.580000,0.1,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,397.45

28,06:45-07:00,0.000000,0.580000,0.51,0.000000,4.890000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,397.86

29,07:00-07:15,0.000000,0.680000,0.86,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.21

30,07:15-07:30,0.000000,0.680000,1.26,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.61

31,07:30-07:45,0.000000,0.680000,1.59,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,398.94

32,07:45:08:00,0.000000,0.680000,1.86,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,399.21

33,08:00-08:15,0.000000,0.970000,2.26,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,399.9

34,08:15-08:30,0.000000,0.970000,2.42,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.06

35,08:30-08:45,0.000000,0.970000,2.71,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.35

36,08:45:09:00,0.000000,0.970000,2.85,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.49

37,09:00:09:15,0.000000,0.970000,2.9,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.54

38,09:15-09:30,0.000000,0.970000,3.09,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.73

39,09:30-09:45,0.000000,0.970000,3.48,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401.12

40,09:45-10:00,0.000000,0.970000,3.29,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,400.93

41,10:00-10:15,0.000000,0.970000,3.36,0.000000,4.790000,20.400000,62.820000,201.890000,0.000000,100.000000,0.000000,6.770000,401

