Block,Time,SASAN,BRBCL,KHSTPP-I,KHSTPP-II,TALA,FSTPP I & II,KISHANGANGA,DADRI_GF,SINGRAULI,ANTA_LF,RAMPUR,CHAMERA3,DADRT2,SINGRAULI_HYDRO,RIHAND2,URI,DADRI_CRF,AURY_GF,CHAMERA1,NAPP,SEWA2,AURY_CRF,AURY_LF,TANAKPUR,UNCHAHAR2,AURY_RF,RAPPC,RAPPB,TEHRI,JHAJJAR,ANTA_CRF,DADRI_LF,UNCHAHAR4,NJPC,KOLDAM,SALAL,DHAULIGNGA,BSIUL,DULHASTI,DADRI_RF,ANTA_GF,URI2,KOTESHWR,TANDA2,UNCHAHAR1,CHAMERA2,ANTA_RF,RIHAND3,PARBATI3,RIHAND1,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,358.373250,14.392497,10.646071,54.078037,0.000000,4.797500,0.000000,0.000000,105.784873,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,2.089503,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,6.689634,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,118.657167,0.000000,55.867463,8.656512,0,0,0,0,0

2,00:15-00:30,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,105.784875,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,2.089503,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,5.017226,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,118.657167,0.000000,55.867463,8.635500,0,0,0,0,0

3,00:30-00:45,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,6.145598,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

4,00:45-01:00,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,6.145598,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

5,01:00-01:15,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,23.304336,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,6.145598,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

6,01:15-01:30,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,23.304336,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,6.145598,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

7,01:30-01:45,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,4.237152,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

8,01:45-02:00,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

9,02:00-02:15,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

10,02:15-02:30,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,2.118576,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

11,02:30-02:45,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,1.377074,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

12,02:45-03:00,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,1.377074,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

13,03:00-03:15,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,1.588932,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

14,03:15-03:30,358.373250,14.392497,10.554500,50.853500,0.000000,4.797500,0.000000,0.000000,94.476784,0.000000,0.000000,0.000000,337.744000,0.679144,43.293408,1.588932,0.000000,0.000000,0.000000,20.597395,0.000000,0.000000,0.000000,0.000000,11.514000,0.000000,52.235276,0.000000,0.000000,341.582000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337927,0.000000,0.000000,0.000000,0.000000,0.000000,4.517518,8.514603,0.000000,4.797500,0.000000,0.000000,81.925180,0.000000,55.867463,8.635500,0,0,0,0,0

