Block,Time,CHAMERA1,JHAJJAR,RAPPB,ANTA_GF,DHAULIGNGA,DADRI_LF,RIHAND3,RAMPUR,DADRI_RF,TANDA2,CHAMERA2,BSIUL,SINGRAULI,KOTESHWR,SEWA2,AURY_GF,URI2,UNCHAHAR4,AURY_CRF,UNCHAHAR3,AURY_LF,PARBATI3,RIHAND1,SALAL,TANAKPUR,RAPPC,CHAMERA3,AURY_RF,DADRI_GF,ANTA_CRF,NJPC,DADRT2,DULHASTI,UNCHAHAR1,TEHRI,KISHANGANGA,NAPP,SINGRAULI_HYDRO,URI,UNCHAHAR2,DADRI_CRF,KOLDAM,ANTA_LF,RIHAND2,ANTA_RF,NTPL,MAPS,NLCIIST2,TALA,KHSTPP-I,SASAN,GANDHAR-RLNG,BRBCL,FSTPP I & II,VALLURNTECL,NLCEXP,KKNP,NNTPP,KGSU1AND2,TALST2,KUDGI,SIMHST2,NLCTS2EXP,RSTPSU7,KGSU3AND4,RSTPSU1TO6,NLCIIST1,SIPAT II,KHSTPP-II,KAWAS-NAPM,KAWAS-ComGas,TAPS-II,VSTPS IV,SIPAT I,GANDHAR-APM,LARA-I,KAWAS-zLIQ,KAWAS-RLNG,VSTPS III,GANDHAR-ComGas,KSTPS I&II,MOUDA_II,GANDHAR-NAPM,SOLAPUR,KAWAS-APM,KSTPS7,VSTPS I,KHARGONE-I,MOUDA,GADARWARA-I,KAPS,VSTPS II,VSTPS V,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.778267,497.386449,0.000000,0.000000,9.592894,0.000000,122.408100,1.524684,14.899500,2.360797,42.217017,0.000000,139.345891,16.653788,16.620742,0.000000,34.493986,1.381209,0.000000,22.123436,0.000000,0.000000,77.368016,64.643512,9.171320,57.374071,30.679168,11.706750,0.000000,0.000000,79.240286,347.652259,52.153427,16.943367,26.659683,2.468554,42.373051,1.001148,51.269760,42.130732,0.000000,4.117544,0.000000,58.386055,0.000000,1.01,0.22,0.43,0.000000,41.696204,337.633312,0.000000,11.164466,18.987574,2.30,0.79,1.57,0.14,1.94,2.93,4.49,1.79,0.84,1.88,1.06,5.85,1.28,0.904723,142.721367,0.000000,0.000000,2.702613,2.596468,5.141006,0.000000,4.119736,0.000000,0.019944,1.895994,0.000000,2.872831,1.698781,0.000000,1.713669,0.000000,1.298234,2.223617,3.427338,1.875115,4.154348,0.794612,1.879816,1.284386,0,0,0,0,0

2,00:15-00:30,40.778267,506.342963,0.000000,0.000000,9.592894,0.000000,122.408100,1.148641,14.899500,2.360797,42.217017,0.000000,139.345891,16.653788,16.620742,0.000000,34.493986,1.381209,0.000000,22.123436,0.000000,0.000000,77.368016,64.643512,9.171320,57.374071,30.679168,11.706750,0.000000,0.000000,59.430214,347.652259,52.153427,17.225370,26.659683,2.468554,42.373051,1.001148,51.269760,42.130732,0.000000,4.117544,0.000000,58.386055,0.000000,1.01,0.22,0.43,0.000000,41.696348,337.633312,0.000000,11.164466,18.987574,2.30,0.79,1.57,0.14,1.94,2.93,7.63,1.79,0.84,1.88,1.06,5.85,1.28,0.904723,142.721367,0.000000,0.000000,2.702613,2.596468,5.141006,0.000000,4.119736,0.000000,0.019944,1.895994,0.000000,2.872831,1.698781,0.000000,1.713669,0.000000,1.298234,2.223617,3.427338,1.875115,4.154348,0.794612,1.879816,1.284386,0,0,0,0,0

3,00:30-00:45,27.185512,506.342963,0.000000,0.000000,9.592894,0.000000,122.408100,1.148641,14.899500,2.360797,42.217017,0.000000,139.345891,16.653788,16.620742,0.000000,34.493986,1.381209,0.000000,22.123436,0.000000,0.000000,77.368016,64.643512,9.171320,57.374071,30.679168,11.706750,0.000000,0.000000,59.430214,347.652259,52.153427,17.225370,26.659683,2.468554,42.373051,1.001148,47.531340,42.130732,0.000000,3.088157,0.000000,58.386055,0.000000,1.01,0.22,0.43,0.000000,41.696348,337.633312,0.000000,11.164466,18.987574,2.30,0.79,1.57,0.14,1.94,2.93,7.68,1.79,0.84,1.88,1.06,5.85,1.28,0.904723,142.721367,0.000000,0.000000,2.702613,2.596468,5.141006,0.000000,4.119736,0.000000,0.019944,1.895994,0.000000,2.872831,1.698781,0.000000,1.713669,0.000000,1.298234,2.223617,3.427338,1.875115,4.154348,0.794612,1.879816,1.284386,0,0,0,0,0

4,00:45-01:00,13.592756,506.342963,0.000000,0.000000,9.592894,0.000000,122.408100,1.148641,14.899500,2.360797,42.217017,0.000000,139.345891,16.653788,16.620742,0.000000,34.493986,1.381209,0.000000,22.123436,0.000000,0.000000,77.368016,64.643512,9.171320,57.374071,30.679168,11.706750,0.000000,0.000000,59.430214,347.652259,52.153427,17.225370,26.659683,2.468554,42.373051,1.001148,47.531340,42.130732,0.000000,2.058772,0.000000,58.386055,0.000000,1.01,0.22,0.43,0.000000,41.696348,337.633312,0.000000,11.164466,18.987574,2.30,0.79,1.57,0.14,1.94,2.93,7.68,1.79,0.84,1.88,1.06,5.85,1.28,0.904723,142.721367,0.000000,0.000000,2.702613,2.596468,5.141006,0.000000,4.119736,0.000000,0.019944,1.895994,0.000000,2.872831,1.698781,0.000000,1.713669,0.000000,1.298234,2.223617,3.427338,1.875115,4.154348,0.794612,1.879816,1.284386,0,0,0,0,0

5,01:00-01:15,0.000000,506.342963,0.000000,0.000000,9.592894,0.000000,122.408100,1.148641,14.899500,2.360797,42.217017,0.000000,139.345891,16.653788,16.620742,0.000000,34.493986,1.381209,0.000000,22.123436,0.000000,0.000000,77.368016,64.643512,1.115431,57.374071,30.679168,11.706750,0.000000,0.000000,59.430214,347.652259,52.153427,16.665478,26.659683,2.468554,42.373051,1.001148,47.531340,42.130732,0.000000,1.029386,0.000000,58.386055,0.000000,1.01,0.22,0.43,0.000000,41.696348,337.633312,0.007190,11.164466,18.987574,2.30,0.79,1.57,0.14,1.94,2.93,7.68,1.79,0.84,1.88,1.06,5.85,1.28,0.904723,142.721367,0.000000,0.000000,2.702613,2.596468,5.141006,0.000000,4.119736,0.000000,0.019944,1.895994,0.000000,2.872831,1.698781,0.000000,1.713669,0.000000,1.298234,2.223617,3.427338,1.875115,4.154348,0.794612,1.879816,1.284386,0,0,0,0,0

