Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2025/06/07/5932,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1192,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2952,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/2997,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,22.34,13.67,16.33,36.42,22.33,0,0,0,0,0,0,0,10.73,0,81.75,30,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,30,19.24,115.38,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.58,10.53,5.6,15.24,49.01,0,0,0,0,0,16.33,0

2,00:15-00:30,22,14,16,37.42,22,0,0,0,0,0,0,0,10.73,0,81.75,30,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,30,19.24,115.38,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.58,10.53,5.6,15.24,48,0,0,0,0,0,16,0

3,00:30-00:45,21.66,15.7,15.5,41.02,21.67,0,0,0,0,0,0,0,10.73,0,81.75,30,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,30,19.24,115.38,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.58,10.53,5.6,15.24,46.5,0,0,0,0,0,15.5,0

4,00:45-01:00,21.34,15.26,15,40.82,21.33,0,0,0,0,0,0,0,10.73,0,81.75,30,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,30,19.24,115.38,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.58,10.53,5.6,15.24,45,0,0,0,0,0,15,0

5,01:00-01:15,23,14.97,15,40.62,23,0,0,0,0,0,0,0,10.73,0,81.75,26.26,0,134.89,43.71,133.46,0,-0,100.2,224.82,6.33,26.26,19.24,64.15,20.75,130.13,49.05,25.74,3.24,86.75,8.51,17.4,10.53,5.6,15.24,45,0,0,0,0,0,15,0

