Block,Time,NTPL,RAMPUR,RAPPC,TEHRI,VALLURNTECL,AURY_CRF,DADRI_RF,DHAULIGNGA,DULHASTI,KGSU3AND4,KISHANGANGA,NAPP,NLCTS2EXP,RSTPSU1TO6,RSTPSU7,SINGRAULI,TANDA2,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_GF,JHAJJAR,KOLDAM,NLCIIST1,RIHAND1,SALAL,SIMHST1,TALA,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI2,ANTA_LF,ANTA_RF,BSIUL,NLCEXP,NNTPP,PARBATI3,RIHAND3,SEWA2,SINGRAULI_HYDRO,TALST2,ANTA_CRF,DADRT2,FSTPP I & II,KHSTPP-II,KKNP,KKNPPU2,MAPS,NLCIIST2,TANAKPUR,AURY_LF,DADRI_CRF,CHAMERA1,CHAMERA2,CHAMERA3,KUDGI,RAPPB,SASAN,KHSTPP-I,NJPC,SIMHST2,URI,AURY_RF,DADRI_LF,BRBCL,KGSU1AND2,KOTESHWR,RIHAND2,ANTA_GF
1,00:00-00:15,0,2.67,60.53,76.9,0,0,97.42,40.4,53.79,0,0,45.34,0,0,0,126.97,2.89,0,0,0,0,469.31,4.01,0,47.33,79.38,0,12.64,20.96,43.05,1.62,36.35,0,48.26,6.52,0,0,3.51,127.6,11.58,0,0,0,685.72,20.8,98.87,0,0,0,0,13,0,0,42.15,28.34,21.37,0,0,154.12,41.89,124.16,0,28.71,78.06,0,15,0,38.64,121.71,0

2,00:15-00:30,0,2.67,60.53,76.9,0,0,97.42,40.4,53.79,0,0,45.34,0,0,0,126.97,2.89,0,0,0,0,469.31,4.01,0,47.33,79.38,0,12.79,20.96,43.05,1.62,36.35,0,48.26,6.52,0,0,3.51,127.6,11.58,0,0,0,685.72,20.8,98.87,0,0,0,0,13,0,0,42.15,28.34,21.37,0,0,154.12,41.89,124.16,0,28.71,78.06,0,15,0,38.64,121.71,0

3,00:30-00:45,0,2.67,60.53,76.9,0,0,97.42,40.4,53.79,0,0,45.34,0,0,0,126.97,2.89,0,0,0,0,469.31,4.01,0,47.33,79.38,0,13.08,20.96,43.05,1.62,36.35,0,48.26,6.52,0,0,3.51,127.6,5.71,0,0,0,685.72,20.8,98.87,0,0,0,0,13,0,0,28.1,28.34,21.37,0,0,154.12,41.89,124.16,0,28.71,78.06,0,15,0,38.64,121.71,0

4,00:45-01:00,0,2.67,60.53,76.9,0,0,97.42,40.4,53.79,0,0,45.34,0,0,0,126.97,2.89,0,0,0,0,498.41,4.01,0,47.33,79.38,0,13.23,20.96,43.05,1.62,36.35,0,48.26,6.52,0,0,3.51,127.6,4.99,0,0,0,686.07,20.8,98.87,0,0,0,0,13,0,0,28.1,28.34,21.37,0,0,154.12,41.89,124.16,0,50.23,78.06,0,15,0,38.64,121.71,0

5,01:00-01:15,0,2.67,60.53,76.9,0,0,97.42,40.4,53.79,0,0,45.34,0,0,0,126.97,2.89,0,0,0,0,663.81,4.01,0,47.33,79.38,0,13.23,20.96,43.4,1.62,20.68,0,48.26,6.52,0,0,3.51,127.6,0,0,0,0,686.07,20.8,98.87,0,0,0,0,13,0,0,28.1,28.34,21.37,0,0,154.12,41.89,124.16,0,50.23,78.06,0,15,0,38.64,121.71,0

