Block,Time,BSIUL,CHAMERA2,DHAULIGNGA,KHSTPP-II,KKNPPU2,MAPS,RAPPC,RSTPSU7,TALA,TANDA2,VALLURNTECL,KOLDAM,KUDGI,NTPL,PARBATI2,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,AURY_CRF,DADRI_GF,BRBCL,CHAMERA3,KHSTPP-I,KISHANGANGA,NLCIIST2,AURY_GF,AURY_RF,CHAMERA1,KKNP,NJPC,RIHAND2,TelanganaSTPP,UNCHAHAR4,ANTA_RF,DADRI_RF,DADRT2,KGSU1AND2,RIHAND1,RIHAND3,RSTPSU1TO6,TALST2,TANAKPUR,UNCHAHAR1,ANTA_CRF,DADRI_LF,DULHASTI,PARBATI3,SIMHST2,SINGRAULI,UNCHAHAR3,URI,URI2,ANTA_LF,JHAJJAR,NAPP,NLCEXP,NLCIIST1,NLCTS2EXP,RAPPB,RAPPD,SALAL,SASAN,FSTPP I & II,KGSU3AND4,KOTESHWR,NNTPP,RAMPUR,SEWA2,TEHRI,ANTA_GF,AURY_LF,DADRI_CRF
1,00:00-00:15,19.56,32.53,10.95,148.3,0,0,69.07,0,0,3.5,0,2.4,0,0,18.78,0,1,43.9,0,0,20,23.33,45.53,8.63,0,0,76.73,28.1,0,110.67,124.58,0,1.9,51.17,98.41,686.12,0,46.5,130.79,0,0,0,21.34,0,0,59.5,19.64,0,150.34,27.18,49.68,0,0,445.27,25.64,0,0,0,0,30,53.45,416.25,19.73,0,10.43,0,4.4,18.9,35.39,0,0,0

2,00:15-00:30,19.56,32.53,10.95,148.3,0,0,69.07,0,0,3.5,0,2.4,0,0,18.78,0,1,43.9,0,0,20,23.33,45.53,8.63,0,0,76.73,28.1,0,110.67,124.58,0,1.9,51.17,98.41,686.12,0,46.5,130.79,0,0,0,21.34,0,0,59.5,19.64,0,150.34,27.18,49.68,0,0,445.27,25.64,0,0,0,0,30,53.45,416.25,19.73,0,10.43,0,4.4,18.9,35.39,0,0,0

3,00:30-00:45,19.56,32.53,10.95,148.3,0,0,69.07,0,0,3.5,0,2.4,0,0,18.78,0,1,43.9,0,0,20,23.33,45.53,8.63,0,0,76.73,28.1,0,110.67,124.58,0,1.9,51.17,98.41,686.12,0,46.5,130.79,0,0,0,21.34,0,0,59.5,19.64,0,143.68,27.18,49.68,0,0,445.27,25.64,0,0,0,0,30,53.45,416.25,19.73,0,10.43,0,4.4,18.9,35.39,0,0,0

4,00:45-01:00,19.56,32.53,10.95,148.3,0,0,69.07,0,0,3.5,0,0,0,0,18.78,0,1,43.9,0,0,20,23.33,45.53,8.63,0,0,76.73,28.1,0,110.67,124.58,0,1.9,51.17,98.41,686.12,0,46.5,130.79,0,0,0,21.34,0,0,59.5,19.64,0,143.68,27.18,52.36,0,0,445.27,25.64,0,0,0,0,30,53.45,416.25,19.73,0,10.43,0,4.4,18.9,35.39,0,0,0

5,01:00-01:15,19.56,32.53,10.95,148.3,0,0,69.07,0,0,3.5,0,0,0,0,18.78,0,1,43.9,0,0,20,23.33,45.53,8.63,0,0,76.73,28.1,0,75.04,124.58,0,1.9,51.17,98.41,686.12,0,46.5,130.79,0,0,0,21.34,0,0,59.5,19.64,0,143.68,27.18,52.36,0,0,445.27,25.64,0,0,0,0,30,51.13,416.25,19.73,0,10.43,0,2.98,18.9,35.39,0,0,0

