Column1,Time,GNA/WR/2025/01/01/9606,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/8738,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/6528,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/3945,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/8058,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3514,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,37.33,81.67,33.33,33.33,20.07,8.6,0,1.64,99.59,0,28.68,0,26.77,25.24,47.8,28.68,28.68,47.8,28.68,19.12,0,0,0,0,0

2,00:15-00:30,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,37.33,81.67,33.33,33.33,20.07,8.6,0,1.64,99.59,0,28.68,0,26.77,25.24,47.8,28.68,28.68,47.8,28.68,19.12,0,0,0,0,0

3,00:30-00:45,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,37.33,81.67,33.33,33.33,20.07,8.6,0,1.64,99.59,0,28.68,0,26.77,25.24,47.8,28.68,28.68,47.8,28.68,19.12,0,0,0,0,0

4,00:45-01:00,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,37,81.67,33.33,33.33,20.07,8.6,0,1.64,99.59,0,28.68,0,26.77,25.24,47.8,28.68,28.68,47.8,28.68,19.12,0,0,0,0,0

5,01:00-01:15,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,37,81.67,33.33,33.33,20.07,8.6,0,1.64,81.25,0,25.81,0,26.77,25.24,47.8,25.81,25.81,47.8,28.68,19.12,0,0,0,0,0

6,01:15-01:30,0,1.56,0,60.22,0,69.71,59.1,47.8,0,0,1.06,0,0,0,100.01,0,0,7,0,0,0,0,0,81.66,36.67,81.67,33.33,33.33,20.07,8.6,0,1.64,80.3,0,25.81,0,26.77,25.24,47.8,25.81,25.81,47.8,28.68,19.12,0,0,0,0,0

