Block,Time,JHAJJAR,NJPC,DADRT2,AURY_GF,ANTA_CRF,UNCHAHAR1,DULHASTI,AURY_LF,DADRI_RF,RIHAND1,KISHANGANGA,RAPPC,RAMPUR,UNCHAHAR3,SEWA2,TANDA2,KOTESHWR,TANAKPUR,AURY_RF,UNCHAHAR4,ANTA_RF,CHAMERA3,KOLDAM,RAPPB,DADRI_GF,ANTA_LF,BSIUL,UNCHAHAR2,NAPP,CHAMERA2,URI2,SALAL,RIHAND3,DADRI_CRF,AURY_CRF,SINGRAULI_HYDRO,CHAMERA1,URI,ANTA_GF,DADRI_LF,RIHAND2,TEHRI,DHAULIGNGA,PARBATI3,SINGRAULI,KHSTPP-II,BRBCL,TALA,FSTPP I & II,SASAN,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,341.256000,0.000000,338.364000,0.000000,0.000000,5.784000,0.000000,0.000000,0.000000,88.688000,0.000000,52.480256,0.000000,10.604000,0.000000,0.000000,8.554536,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.426191,20.693995,0.000000,16.079983,2.240336,119.213662,0.000000,0.000000,0.682329,0.000000,2.128512,0.000000,0.000000,56.933840,0.000000,0.000000,0.000000,107.004000,113.039508,9.640000,0.000000,6.885979,403.694280,28.074958,0,0,0,0,0

2,00:15-00:30,341.256000,0.000000,338.364000,0.000000,0.000000,5.784000,0.000000,0.000000,0.000000,88.688000,0.000000,52.480256,0.000000,10.604000,0.000000,0.000000,8.554536,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.352000,20.693995,0.000000,16.079983,2.240336,119.213662,0.000000,0.000000,0.682329,0.000000,2.128512,0.000000,0.000000,56.933840,0.000000,0.000000,0.000000,107.004000,113.039508,9.640000,0.000000,4.820000,403.694280,28.074958,0,0,0,0,0

3,00:30-00:45,341.256000,0.000000,338.364000,0.000000,0.000000,5.784000,0.000000,0.000000,0.000000,88.688000,0.000000,52.480256,0.000000,10.604000,0.000000,0.000000,8.554536,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.352000,20.693995,0.000000,16.079983,2.240336,119.213662,0.000000,0.000000,0.682329,0.000000,2.128512,0.000000,0.000000,56.933840,0.000000,0.000000,0.000000,107.004000,113.039508,9.640000,0.000000,4.820000,403.694280,28.074958,0,0,0,0,0

4,00:45-01:00,341.256000,0.000000,338.364000,0.000000,0.000000,5.784000,0.000000,0.000000,0.000000,88.688000,0.000000,52.480256,0.000000,10.604000,0.000000,0.000000,8.554536,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.352000,20.693995,0.000000,16.079983,2.240336,119.213662,0.000000,0.000000,0.682329,0.000000,2.128512,0.000000,0.000000,56.933840,0.000000,0.000000,0.000000,107.004000,113.039508,9.640000,0.000000,4.820000,403.694280,28.074958,0,0,0,0,0

5,01:00-01:15,341.256000,0.000000,338.364000,0.000000,0.000000,5.784000,0.000000,0.000000,0.000000,88.688000,0.000000,52.480256,0.000000,10.604000,0.000000,0.000000,8.554536,0.740930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.352000,20.693995,0.000000,16.079983,2.240336,119.213662,0.000000,0.000000,0.682329,0.000000,2.128512,0.000000,0.000000,56.933840,0.000000,0.000000,0.000000,107.004000,113.039508,9.640000,0.000000,4.820000,403.694280,28.074958,0,0,0,0,0

