Block,Time,BSIUL,AURY_LF,CHAMERA2,UNCHAHAR2,UNCHAHAR1,ANTA_LF,RIHAND1,DULHASTI,KISHANGANGA,TANDA2,TANAKPUR,AURY_GF,ANTA_RF,SINGRAULI_HYDRO,AURY_CRF,CHAMERA3,DADRI_GF,RIHAND2,ANTA_CRF,JHAJJAR,URI2,KOTESHWR,PARBATI3,UNCHAHAR4,DHAULIGNGA,RAPPC,NAPP,SALAL,URI,AURY_RF,DADRI_LF,KHSTPP-I,TALA,RIHAND3,BRBCL,DADRI_CRF,DADRI_RF,KOLDAM,SEWA2,NJPC,KHSTPP-II,FSTPP I & II,CHAMERA1,RAMPUR,DADRT2,RAPPB,SINGRAULI,TEHRI,ANTA_GF,UNCHAHAR3,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.551236,0.000000,0.000000,43.218136,21.776023,0.000000,93.406640,18.983470,2.643572,5.156625,0.000000,0.000000,0.000000,0.729511,0.000000,0.000000,0.000000,59.851752,0.000000,649.444679,36.465835,9.985206,0.000000,2.973816,0.000000,66.242257,49.666936,24.602794,33.999667,0.000000,0.000000,44.654475,0.000000,125.670288,19.247984,0.000000,0.000000,0.000000,18.093714,0.000000,116.002884,20.017920,0.000000,0.000000,662.531507,0.000000,143.866385,13.036500,0.000000,26.599755,335.853540,0,0,0,0,0

2,00:15-00:30,12.551236,0.000000,0.000000,43.218136,21.779112,0.000000,93.406640,18.983470,2.643572,5.156625,0.000000,0.000000,0.000000,0.729511,0.000000,0.000000,0.000000,59.851752,0.000000,649.444679,36.465835,9.985206,0.000000,2.973816,0.000000,66.242257,49.666936,24.602794,33.999667,0.000000,0.000000,44.654475,0.000000,125.670288,18.355588,0.000000,0.000000,0.000000,18.093714,0.000000,116.002884,20.017920,0.000000,0.000000,622.069568,0.000000,143.866385,13.036500,0.000000,26.599755,335.853540,0,0,0,0,0

3,00:30-00:45,12.551236,0.000000,0.000000,43.218136,19.944505,0.000000,93.406640,18.983470,2.643572,5.156625,0.000000,0.000000,0.000000,0.729511,0.000000,0.000000,0.000000,59.851752,0.000000,649.444679,36.465835,9.985206,0.000000,2.973816,0.000000,66.242257,49.666936,24.602794,33.999667,0.000000,0.000000,44.654475,0.000000,125.670288,16.208250,0.000000,0.000000,0.000000,18.093714,0.000000,116.002884,20.017920,0.000000,0.000000,662.531507,0.000000,143.866385,13.036500,0.000000,26.599755,335.853540,0,0,0,0,0

4,00:45-01:00,12.551236,0.000000,0.000000,43.218136,19.944505,0.000000,93.406640,18.983470,2.643572,5.156625,0.000000,0.000000,0.000000,0.729511,0.000000,0.000000,0.000000,59.851752,0.000000,649.444679,36.465835,9.985206,0.000000,2.973816,0.000000,66.242257,49.666936,24.602794,33.999667,0.000000,0.000000,44.654475,0.000000,125.670288,15.927088,0.000000,0.000000,0.000000,18.093714,0.000000,116.002884,20.017920,0.000000,0.000000,662.531507,0.000000,143.866385,13.036500,0.000000,26.599755,335.853540,0,0,0,0,0

5,01:00-01:15,12.551236,0.000000,0.000000,43.218136,19.944505,0.000000,93.406640,18.983470,2.643572,5.156625,0.000000,0.000000,0.000000,0.729511,0.000000,0.000000,0.000000,59.851752,0.000000,649.444679,36.465835,9.985206,0.000000,2.973816,0.000000,66.242257,49.666936,24.602794,33.999667,0.000000,0.000000,44.654475,0.000000,125.670288,14.910045,0.000000,0.000000,0.000000,18.093714,0.000000,116.002884,20.017920,0.000000,0.000000,662.531507,0.000000,143.866385,13.036500,0.000000,26.599755,335.853540,0,0,0,0,0

