Column1,Block,NR/2025/25593/C,NR/2025/25594/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/1906,NR/2025/25159/A/57408,WR/2025/26426/A/57499,NR/2025/25513/A/57442,WR/2025/26427/A/57500,WR/2025/26582/A/57721,GNA/WR/2025/03/01/6406,WR/2025/26499/A/57723,Total
,,SJVNL,SJVNL,SECI_Trader,NDMC,PTC,PTC,NDMC,NDMC,PUNJAB,DELHI,NDMC,NDMC,APPCPL,TPTCL,BAWANA_GAS,APPCPL,NDMC,ITCLH,KEIPL,IEXL,KEIPL,APPCPL,APPCPL,APPCPL,
,,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPSL_BKN2,RSRPL_BKN,APSEPL_FTG,RKM_POWER,BYPL,BRPL,SKS_Raigarh,TRN_ENERGY,BAWANA_GAS,CHANJUII,JIPL,RKM_POWER,BYPL,BYPL,BAWANA_GAS,BYPL,JPL2,ITCWIND,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,CSEB_State,JK_and_LADAKH_UT,CSEB_State,CSEB_State,MSEB_State,MSEB_State,
,,NDMC,NDMC,TPDDL,NDMC,HP,HP,NDMC,NDMC,PUNJAB,TPDDL,NDMC,NDMC,KSEB,TPC_MSEB,HARYANA,AEML,NDMC,ITCLH,CSEB_Beneficiary,JK_LADAKH,CSEB_Beneficiary,CSEB_Beneficiary,AEML,AEML,
,,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,East-North,West-North,North-West-South,North-West,North-North,North-West,West-North,South-West-North,North-West,North-North,North-West,North-West,North-West,North-West,
1,00:00-00:15,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

2,00:15-00:30,0,0,0,23.04,55.49,166.48,5.76,6.72,0,4.68,17.28,23.04,200,0,0,0,23.04,0.43,167.57,0,48,48,42,0,831.53

