Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/1192,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2786,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2952,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8128,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/16/7255,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,0,0,0,0,0,0,16.67,0,0,40.02,0,53.33,49.99,0,18,0,0,0,16.67,53.34,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

2,00:15-00:30,0,0,0,0,0,0,16.83,0,0,40.02,0,53.33,50.51,0,18,0,0,0,16.83,53.34,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

3,00:30-00:45,0,0,0,0,0,0,16.83,0,0,42.01,0,53,50.51,0,18.33,0,0,0,16.83,53,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

4,00:45-01:00,0,0,0,0,0,0,17,0,0,42.01,0,52.33,51,0,18.33,0,0,0,17,52.34,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

5,01:00-01:15,0,0,0,0,0,0,20.83,0,0,42.01,0,54.33,62.51,0,18.33,0,0,0,20.83,54.33,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

6,01:15-01:30,0,0,0,0,0,0,20.67,0,0,42.01,0,53.67,61.99,0,18.33,0,0,0,20.67,53.67,20.73,134.79,49.02,0,0,32,32,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

7,01:30-01:45,0,0,0,0,0,0,20.67,0,0,43.01,0,53.67,61.99,0,18,0,0,0,20.67,53.67,20.73,134.79,49.02,0,0,30,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

8,01:45-02:00,0,0,0,0,0,0,20.5,0,0,43.01,0,53.67,61.5,0,18,0,0,0,20.5,53.67,20.73,134.79,49.02,0,0,30,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

9,02:00-02:15,0,0,0,0,0,0,20,0,0,37.02,0,53.67,60,0,17.67,0,0,0,20,53.67,20.73,134.79,49.02,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,104.08,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

10,02:15-02:30,0,0,0,0,0,0,20.67,0,0,36.42,0,53.67,61.99,0,18,0,0,0,20.67,53.67,20.73,134.79,49.02,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

11,02:30-02:45,0,0,0,0,0,0,16.67,0,0,43.02,0,40,49.99,0,16.67,0,0,0,16.67,40,20.73,134.79,49.02,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

12,02:45-03:00,0,0,0,0,0,0,17,0,0,43.02,0,41.67,51,0,16.67,0,0,0,17,41.66,20.73,134.79,49.02,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

13,03:00-03:15,0,0,0,0,0,0,19.17,0,0,43.02,0,50,57.49,0,19,0,0,0,19.17,50,20.73,134.79,0,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

14,03:15-03:30,0,0,0,0,0,0,19.17,0,0,42.82,0,50.67,57.49,0,18.67,0,0,0,19.17,50.66,20.73,134.79,0,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

15,03:30-03:45,0,0,0,0,0,0,19.17,0,0,38.02,0,50,57.49,0,18,0,0,0,19.17,50,20.73,134.79,0,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

16,03:45-04:00,0,0,0,0,0,0,19.17,0,0,38.02,0,51,57.49,0,17.67,0,0,0,19.17,51,20.73,134.79,0,0,0,23.64,30,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

17,04:00-04:15,0,0,0,0,0,0,16.67,0,0,31.01,0,43.33,49.99,0,17.33,0,0,0,16.67,43.34,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,66.06,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

18,04:15-04:30,0,0,0,0,0,0,16.67,0,0,30.41,0,44,49.99,0,17.33,0,0,0,16.67,44,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.75,6.33,100.13,13.16,9.67,270.31,3.24,163.39,0,10.73

19,04:30-04:45,0,0,0,0,0,0,19.17,0,0,30.21,0,50,57.49,0,17,0,0,0,19.17,50,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.14,6.33,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

20,04:45-05:00,0,0,0,0,0,0,19.17,0,0,30.01,0,50,57.49,0,17,0,0,0,19.17,50,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.13,6.33,100.13,13.16,12.46,270.31,3.24,163.39,0,10.73

21,05:00-05:15,0,0,0,0,0,0,22.5,0,0,31.61,0,56.67,67.5,0,17,0,0,0,22.5,56.66,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

22,05:15-05:30,0,0,0,0,0,0,22.17,0,0,31.01,0,56,66.49,0,16.67,0,0,0,22.17,56,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

23,05:30-05:45,0,0,0,0,0,0,21.67,0,0,30.81,0,55,64.99,0,18.33,0,0,0,21.67,55,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,64.11,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

24,05:45-06:00,0.77,0,0,0,0.16,0,21.33,0,0.14,30.41,0,54.33,64.01,0.6,18.33,0,0,0,21.33,54.34,20.73,134.79,0,0,0,26.5,26.5,15.23,0,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

25,06:00-06:15,4.2,1,1,1,0.84,0,16.67,5.1,2.12,30.01,5.1,53.33,49.99,2.77,18.33,1,0,0,16.67,53.34,20.73,134.79,0,0,0,26.5,26.5,15.23,6.53,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

26,06:15-06:30,8.83,3,2,2,1.77,0,17,12.6,5.25,29.61,12.6,52.67,51,4.94,18.33,2,1,0,17,52.66,20.73,134.79,0,0,0,26.5,26.5,15.23,6.53,81.69,19.22,-0,0,130.04,86.69,43.68,0,10.47,115.29,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

27,06:30-06:45,14.22,4,3,3,2.84,0,17.5,25.1,9.44,37.02,28.8,43.33,52.5,5,18.33,3,2,3,17.5,43.34,20.73,134.79,0,1.1,0,26.5,26.5,15.23,6.53,81.69,19.22,-0,1.1,130.04,86.69,43.68,0.85,10.47,115.29,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

28,06:45-07:00,20.36,6,6,4,4.07,0,18,33,14.74,36.42,33,44,54,8.25,18.67,7,3,5,18,44,20.73,134.79,0,1.61,0,26.5,26.5,15.23,6.53,81.69,19.22,-0,1.61,130.04,86.69,43.68,1.25,10.47,64.11,8.35,100.13,17.75,12.46,270.31,3.24,163.39,0,10.73

29,07:00-07:15,29.89,10,11,5,5.98,0,18.33,33,21.06,37.02,33,45,55.01,12.46,19.33,10,5,8,18.33,45,20.73,134.79,0,2.31,0,26.5,26.5,15.23,6.99,81.69,19.22,-0,2.31,128.97,86.69,43.68,1.78,10.47,64.11,8.35,100.13,17.57,12.46,270.31,3.24,163.39,25.74,10.73

30,07:15-07:30,40.47,13,13,6,8.1,0,18.67,33,27.99,37.02,33,45.67,55.99,17.2,19.33,12,6,14,18.67,45.66,20.73,134.79,0,3.05,0,26.5,26.5,15.23,6.99,81.69,19.22,-0,3.05,128.97,86.69,43.68,2.36,10.47,64.11,8.35,100.13,17.57,12.46,270.31,3.24,163.39,26.25,10.73

31,07:30-07:45,51.67,16,19,9,10.33,0,18.83,33,32.86,37.02,33,46.67,56.51,22.13,16.08,20,10,20,18.83,46.66,20.73,134.79,0,3.78,0,26.5,26.5,15.23,6.99,81.69,19.22,-0,3.78,128.97,86.69,43.68,2.92,10.47,64.11,8.35,100.13,17.57,12.46,270.31,3.24,163.39,26.25,10.73

32,07:45-08:00,63.46,21,23,12,12.69,0,19.17,33,39.35,37.02,33,47.33,57.49,27.34,16.68,27,13,28,19.17,47.34,20.73,134.79,0,4.43,0,26.5,26.5,15.23,6.99,81.69,19.22,-0,4.43,128.97,86.69,43.68,3.42,10.47,64.11,8.35,100.13,17.57,12.46,270.31,3.24,163.39,26.25,10.73

33,08:00-08:15,76,27,31,16,15.2,0,19.17,33,45.74,36.62,33,48.33,57.49,32.98,16.98,33,17,33,19.17,48.34,20.73,134.79,0,5.29,0,26.5,26.5,15.23,7.46,81.69,19.22,-0,5.29,101.24,66.83,43.68,4.09,10.47,70.08,8.35,100.13,17.57,12.46,270.31,3.24,163.39,26.25,10.73

34,08:15-08:30,88.84,31,35,19,17.77,0,19.17,33,52.12,36.62,33,49,57.49,38.77,17.13,40,20,33,19.17,49,20.73,134.79,0,6.01,0,26.5,26.5,15.23,7.46,81.69,19.22,-0,6.01,101.24,66.83,43.68,4.65,10.47,70.08,8.35,100.13,17.57,12.46,270.31,3.24,163.39,27.26,10.73

35,08:30-08:45,101.68,36,42,21,20.34,0,19.17,33,37.05,36.42,33,50,57.49,45.08,17.22,40,20,33,19.17,50,20.73,134.79,0,6.8,0,26.5,26.5,15.23,7.46,81.69,19.22,-0,6.8,101.24,66.83,43.68,5.26,10.47,70.08,8.35,100.13,13.17,12.46,270.31,3.24,163.39,26.25,10.73

36,08:45-09:00,113.77,40,48,25,22.75,0,19.17,33,47.95,36.42,33,53.33,57.49,51.92,17.28,47,23,33,19.17,53.34,20.73,134.79,0,7.68,0,26.5,26.5,15.23,7.46,81.69,19.22,-0,7.68,101.24,66.83,43.68,5.94,10.47,70.08,8.35,100.13,13.17,12.46,270.31,3.24,163.39,26.25,10.73

37,09:00-09:15,126.57,43,55,29,25.32,0,19.17,32.5,62.04,36.42,32.5,56.67,57.49,54.95,17.54,49,24,32.5,19.17,56.66,20.73,134.79,0,8.56,0,26.61,26.61,15.23,8.39,81.69,19.22,-0,8.56,53.82,37.99,43.68,6.62,10.47,70.08,8.35,100.13,13.17,12.46,270.31,3.24,163.39,26.25,10.73

