Block,Time,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,29.920000,4.270000,101.210000,0.000000,0.000000,7.01,32.82,0,10,0,36.82,36.82,10.93,0,0,0,10.94,0,0,0,0,0,0,0

2,00:15-00:30,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,29.920000,4.270000,101.210000,0.000000,0.000000,7.01,33.17,0,10,0,37.9,37.9,11.04,0,0,0,11.06,0,0,0,0,0,0,0

3,00:30-00:45,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,30.880000,3.580000,101.210000,0.000000,0.000000,7.01,33.33,0,10,0,39.18,39.18,11.11,0,0,0,11.11,0,0,0,0,0,0,0

4,00:45-01:00,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,30.880000,4.040000,101.210000,0.000000,0.000000,7.01,33.61,0,10,0,39.54,39.54,11.21,0,0,0,11.2,0,0,0,0,0,0,0

5,01:00-01:15,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,33.92,0,10,0,40.85,40.85,11.3,0,0,0,11.31,0,0,0,0,0,0,0

6,01:15-01:30,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,202.920000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,34.97,0,10,0,41.42,41.42,11.64,0,0,0,11.66,0,0,0,0,0,0,0

7,01:30-01:45,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,35.96,0,10.72,0,33.33,33.33,11.98,0,0,0,11.99,0,0,0,0,0,0,0

8,01:45-02:00,117.890000,3.690000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,36.56,0,8.55,0,33.33,33.33,12.18,0,0,0,12.19,0,0,0,0,0,0,0

9,02:00-02:15,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,23.82,0,8.88,0,41.11,41.11,7.93,0,0,0,7.94,0,0,0,0,0,0,0

10,02:15-02:30,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,24.83,0,9.22,0,40.34,40.34,8.27,0,0,0,8.28,0,0,0,0,0,0,0

11,02:30-02:45,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,26.32,0,9.4,0,39.23,39.23,8.77,0,0,0,8.77,0,0,0,0,0,0,0

12,02:45-03:00,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,4.040000,101.210000,0.000000,0.000000,7.01,26.82,0,7.73,0,42.22,42.22,8.93,0,0,0,8.94,0,0,0,0,0,0,0

13,03:00-03:15,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,4.040000,101.210000,0.000000,0.000000,7.01,32.17,0,8.21,0,40.51,40.51,10.72,0,0,0,10.72,0,0,0,0,0,0,0

14,03:15-03:30,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,4.040000,101.210000,0.000000,0.000000,7.01,32.76,0,8.46,0,46.88,46.88,10.92,0,0,0,10.92,0,0,0,0,0,0,0

15,03:30-03:45,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,4.040000,101.210000,0.000000,0.000000,7.01,33.11,0,13.11,0,46.21,46.21,11.03,0,0,0,11.04,0,0,0,0,0,0,0

16,03:45-04:00,117.890000,3.610000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,4.040000,101.210000,0.000000,0.000000,7.01,34.32,0,12.88,0,45.17,45.17,11.43,0,0,0,11.44,0,0,0,0,0,0,0

17,04:00-04:15,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,3.960000,101.210000,0.000000,0.000000,7.01,35.1,0,12.64,0,44.23,44.23,11.7,0,0,0,11.7,0,0,0,0,0,0,0

18,04:15-04:30,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,3.960000,101.210000,0.000000,0.000000,7.01,35.72,0,11.8,0,43.89,43.89,11.89,0,0,0,11.91,0,0,0,0,0,0,0

19,04:30-04:45,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,3.960000,101.210000,0.000000,0.000000,7.01,35.13,0,11.21,0,42.17,42.17,11.7,0,0,0,11.71,0,0,0,0,0,0,0

20,04:45-05:00,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,29.920000,3.960000,101.210000,0.000000,0.000000,7.01,35.13,0,10.86,0,40.54,40.54,11.7,0,0,0,11.71,0,0,0,0,0,0,0

21,05:00-05:15,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,3.810000,101.210000,0.000000,0.000000,7.01,35.13,0,10.21,0,38.88,38.88,11.7,0,0,0,11.71,0,0,0,0,0,0,0

22,05:15-05:30,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,3.810000,101.210000,0.000000,0.000000,7.01,34.69,0,9.55,0,37.32,37.32,11.56,0,0,0,11.56,0,0,0,0,0,0,0

23,05:30-05:45,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,3.810000,101.210000,0.000000,0.000000,7.01,33.65,0,8.88,0,36.54,36.54,11.2,0,0,0,11.22,0,0,0,0,0,0,0

24,05:45-06:00,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.760000,30.880000,3.810000,101.210000,0.000000,0.000000,7.01,32.63,0,8.4,0,33.4,33.4,10.86,0,0,0,10.88,0,0,0,0,0,0,0

25,06:00-06:15,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.720000,29.920000,3.730000,101.210000,0.000000,0.000000,7.01,31.42,7.75,7.82,0,32,32,10.47,0,0,0,10.47,0,0,0,1.44,1.66,0,0

26,06:15-06:30,117.890000,3.540000,30.920000,0.000000,65.710000,0.000000,231.910000,271.770000,30.920000,3.720000,29.920000,3.730000,101.210000,0.000000,0.000000,7.01,30.29,14.84,7.51,0,30.67,30.67,10.09,2.04,2.42526,0,10.1,0,0,0,2.97,3.79,0,0

27,06:30-06:45,117.890000,3.610000,30.920000,0.020000,65.710000,0.020000,231.910000,271.770000,30.920000,3.720000,29.920000,3.730000,101.210000,0.020000,0.000000,6.01,29.37,23.82,7.66,0.04,31,31,9.79,5.85,11.52242,0.23,9.79,2,1.48,4,7.92,6.53,0.32,0.64

28,06:45-07:00,117.890000,3.610000,30.920000,0.280000,65.710000,0.270000,231.910000,271.770000,30.920000,3.720000,29.920000,3.730000,101.210000,0.270000,0.000000,6.01,28.46,24.89,7.55,0.33,31,31,9.47,13.04,20.6001,1.68,9.49,3,5.47,7,14.85,9.75,1.08,2.34

29,07:00-07:15,117.890000,3.460000,30.920000,0.940000,65.710000,0.910000,231.910000,271.770000,30.920000,3.720000,28.950000,3.730000,101.210000,0.910000,0.000000,6.01,27.9,20.52,8.16,2.01,31.33,31.33,9.29,20.52,29.47324,10.06,9.3,2,12.29,4,20.51,13.28,2.55,5.27

30,07:15-07:30,117.890000,3.460000,30.920000,1.970000,65.710000,1.920000,231.910000,271.770000,30.920000,3.720000,28.950000,3.730000,101.210000,1.920000,0.000000,6.01,27.69,21.02,8.92,4.45,31.67,31.67,9.22,21.02,39.58336,22.28,9.23,3,21,6,21.01,18.07,4.69,9

31,07:30-07:45,117.890000,3.460000,30.920000,3.250000,65.710000,3.170000,231.910000,271.770000,30.920000,3.720000,27.980000,3.730000,101.210000,3.170000,0.000000,6.01,27.61,21.52,9.53,7.55,26.21,26.21,9.21,21.52,50.73566,37.76,9.2,7,39,15,21.51,19.22,7.47,16

