Block,Time,DADRT2,KKNP,KOLDAM,RAPPB,TALA,UNCHAHAR2,URI,ANTA_CRF,AURY_LF,KHSTPP-II,KISHANGANGA,NLCEXP,NLCIIST2,RAMPUR,SEWA2,SINGRAULI,TANAKPUR,UNCHAHAR4,DADRI_LF,KGSU3AND4,PARBATI2,RAPPC,RSTPSU1TO6,SINGRAULI_HYDRO,ANTA_GF,ANTA_LF,ANTA_RF,AURY_GF,DULHASTI,FSTPP I & II,JHAJJAR,NLCIIST1,NNTPP,RAPPD,RIHAND3,SIMHST1,URI2,DADRI_CRF,DADRI_GF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,KHSTPP-I,MAPS,PARBATI3,RIHAND1,TelanganaSTPP,VALLURNTECL,AURY_RF,KUDGI,SALAL,SIMHST2,TEHRI,DADRI_RF,DHAULIGNGA,NJPC,NLCTS2EXP,NTPL,RSTPSU7,SASAN,TANDA2,AURY_CRF,KGSU1AND2,KKNPPU2,KOTESHWR,NAPP,RIHAND2,TALST2,UNCHAHAR1,UNCHAHAR3
1,00:00-00:15,458.92,0,9.59,0,0,44.5,51.01,0,0,148.3,8.63,0,0,6.98,18.9,150.34,0.51,2.3,0,0,32.31,67.88,0,1.08,0,0,49.86,0,59.5,18.2,458.67,0,0,0,95.79,0,38.1,0,0,20,13.04,42.15,48.81,35.03,45.53,0,39.28,97.23,0,0,80.77,0,84.24,0,30.57,98.41,21.88,180.89,0,0,0,412.88,5.7,0,0,0,10.43,25.51,124.58,0,21.94,27.68

2,00:15-00:30,458.92,0,9.59,0,0,44.5,51.01,0,0,148.3,8.63,0,0,6.98,12.61,150.34,0.51,2.3,0,0,32.31,67.88,0,1.08,0,0,49.86,0,59.5,18.2,458.67,0,0,0,95.79,0,38.1,0,0,20,13.04,42.15,48.81,35.03,45.53,0,39.28,97.23,0,0,80.77,0,84.24,0,30.57,98.41,21.88,180.89,0,0,0,412.88,5.7,0,0,0,10.43,25.51,124.58,0,21.94,27.68

3,00:30-00:45,458.92,0,9.59,0,0,44.5,51.01,0,0,148.3,8.63,0,0,6.98,5.95,150.34,6.27,2.3,0,0,32.31,67.88,0,1.08,0,0,49.86,0,59.5,18.2,458.67,0,0,0,95.79,0,38.1,0,0,20,13.04,42.15,48.81,35.03,45.53,0,39.28,97.23,0,0,80.77,0,84.24,0,30.57,98.41,21.88,180.89,0,0,0,412.88,5.7,0,0,0,10.43,25.51,124.58,0,21.94,27.68

4,00:45-01:00,458.92,0,9.59,0,0,44.5,51.01,0,0,148.3,8.63,0,0,6.98,5.95,150.34,6.27,2.3,0,0,32.31,67.88,0,1.08,0,0,49.86,0,59.5,18.2,458.67,0,0,0,95.79,0,38.1,0,0,20,13.04,42.15,48.81,35.03,45.53,0,39.28,97.23,0,0,80.77,0,84.24,0,30.57,98.41,21.88,180.89,0,0,0,412.88,5.7,0,0,0,10.43,25.51,124.58,0,21.94,27.68

5,01:00-01:15,458.92,0,9.59,0,0,44.5,51.01,0,0,148.3,8.63,0,0,6.98,5.95,150.34,6.27,2.3,0,0,32.31,67.88,0,0.65,0,0,51.17,0,59.5,18.2,458.67,0,0,0,95.79,0,38.1,0,0,20,13.04,42.15,48.81,35.03,45.53,0,33.76,97.23,0,0,80.77,0,84.24,0,30.57,98.41,21.88,180.89,0,0,0,412.88,5.7,0,0,0,10.43,25.51,124.58,0,21.94,27.68

