Block,Time,L_NR_2012_04,SH-06,SH-07,L_NR_2020_02,L_NR_2019_07,L_NR_2022_09,L_NR_2019_05,L_NR_2012_07,L_NR_2012_01,LT-35,LT-36,L_NR_2019_19,L_NR_2012_02,LT-05,LT-59,L_NR_2019_11,LT_MEJA_Delhi,LT-31,L_NR_2018_61,L_NR_2020_07,L_NR_2021_15,L_NR_2021_12,L_NR_2021_16,L_NR_2020_06,L_NR_2022_08,L_NR_2019_06,L_NR_2021_17,L_NR_2021_13,L_NR_2022_10,L_NR_2020_05,L_NR_2021_14
1,00:00-00:15,270.980000,30.830000,30.830000,6.760000,0,46.9,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,11.13,22.18,0,0,0,22.19,10.37,0,0,0,46.9,66.57,0

2,00:15-00:30,270.980000,30.830000,30.830000,6.760000,0,47.6,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,10.47,22.77,0,0,0,22.76,10.62,0,0,0,47.6,68.29,0

3,00:30-00:45,270.980000,30.830000,30.830000,6.760000,0,47.94,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,9.81,22.8,0,0,0,22.8,6.74,0,0,0,47.94,68.39,0

4,00:45-01:00,270.980000,30.830000,30.830000,6.760000,0,48.46,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,9.15,22.87,0,0,0,22.88,6.93,0,0,0,48.46,68.64,0

5,01:00-01:15,270.980000,30.830000,30.830000,6.630000,0,49.05,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,8.49,23.52,0,0,0,23.51,7.4,0,0,0,49.05,70.54,0

6,01:15-01:30,270.980000,30.830000,30.830000,6.630000,0,53.93,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,8.33,23.52,0,0,0,23.54,8.37,0,0,0,53.93,70.61,0

7,01:30-01:45,270.980000,30.830000,30.830000,6.630000,0,54.59,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,8.25,23.55,0,0,0,23.54,8.56,0,0,0,54.59,70.63,0

8,01:45-02:00,270.980000,30.830000,30.830000,6.630000,0,55.59,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.670000,6.900000,6.370000,0.000000,8.39,23.57,0,0,0,23.58,12.08,0,0,0,55.59,70.74,0

9,02:00-02:15,270.980000,3.640000,30.830000,6.480000,0,56.3,0,86.910000,100.930000,0.000000,0.000000,0.000000,260.720000,57.850000,6.440000,6.670000,6.370000,0.000000,8.43,30.92,0,0,0,30.92,12.41,0,0,0,56.3,92.76,0

