Column1,Block,NR/2025/32004/A/97338,NR/2025/32262/A/96895,NR/2025/32559/A/97334,NR/2025/32610/A/97333,NR/2025/29992/A/96998,NR/2025/33696/C,NR/2025/33721/C,NR/2025/33686/C,NR/2025/33697/C,NR/2025/32556/A/97335,NR/2025/32554/A/97295,NR/2025/33698/C,NR/2025/31421/A/97349,NR/2025/33689/C,NR/2025/33712/C,NR/2025/32598/A/97267,NR/2025/33233/A/97365,NR/2025/33720/C,NR/2025/31041/A/97302,NR/2025/31046/A/97301,NR/2025/31042/A/97456,NR/2025/31047/A/97457,NR/2025/32455/A/97386,NR/2025/32535/A/97282,NR/2025/32534/A/97279,NR/2025/32652/A/97045,NR/2025/32857/A/97038,NR/2025/32599/A/97037,NR/2025/32534/A/97280,NR/2025/32532/A/97277,NR/2025/32653/A/97044,NR/2025/32535/A/97281,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/97278,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4125,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/32375/A/97366,NR/2025/32397/A/96864,NR/2025/33469/A/96993,NR/2025/29440/A/96851,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33606/C,Total
,,APPCPL,TPTCL,APPCPL,APPCPL,BYPL,APPCPL,NVVNL,PowerPulse,APPCPL,APPCPL,PowerPulse,APPCPL,NVVNL,APPCPL,MES_Delhi,PTC,PTC,NVVNL,PowerPulse,PowerPulse,PowerPulse,PowerPulse,MANIKARAN,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,GMRETL,GMRETL,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,OIDLWM3_AEROCITY,SECI_Trader,ABLWM1_AEROCITY,MANIKARAN,MANIKARAN,NDMC,MANIKARAN,PowerPulse,MANIKARAN,NDMC,DELHI,NVVNL,APPCPL,APPCPL,NDMC,NVVNL,IEXL,DIAPL,ITCLH,BAWANA_GAS,PUNJAB,BYPL,
,,MSEB_State,MSEB_State,NA,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,GoHP_NJPC_STATE,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,MP_State,MSEB_State,NA,NA,HIMACHAL_STATE,NA,GOA_State,GOA_State,NA,MP_State,MSEB_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,KERALA_State,
,,AEML,TPC_MSEB,RKM_POWER,RKM_POWER,KSEB,RKM_POWER,Kameng,APL_Raipur_TPP,JPL2,JPL2,APL_Raipur_TPP,RKM_POWER,JPNIGRIE_JNSTPP,AEML,NTPCREL_PSS2_KPS2_S,GoHP_NJPC,GoHP_NJPC,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,APL_Raigarh_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,MBMP,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,AEML,MBMP,TRN_ENERGY,BLAPOWER_MP,Vidarbha_Industry_MH,DBPL,SKS_Raigarh,CHANJUII,JHABUA_IPP,GOA_Beneficiary,GOA_Beneficiary,JIPL,JP_BINA,A_A_Energy_MH_Bio,GBHHPL,ITCWIND,BAWANA_GAS,BAWANA_GAS,KSEB,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,
,,BYPL,BYPL,NDMC,NDMC,BYPL,NDMC,TPDDL,BRPL,NDMC,NDMC,BRPL,NDMC,TPDDL,BYPL,MES_Delhi,BRPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BLKMH,MAX_HPTL,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,DTCP,OIDLWM3_AEROCITY,TPDDL,ABLWM1_AEROCITY,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,NDMC,TPDDL,MES_Delhi,DIAPL,ITCLH,HARYANA,PUNJAB,BYPL,
,,West-North,West-North,West-North,West-North,South-West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,
1,00:00-00:15,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.87,26.93,26.93,0,1165.56

2,00:15-00:30,105.98,54.2,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,0,33.72,14.45,0,96.35,96.35,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,0,12.04,19.27,15.27,17.38,0,8.67,12.53,0.87,26.93,26.93,0,1165.56

