Block,Time,NJPC,TALA,URI2,VALLURNTECL,ANTA_RF,KGSU3AND4,KISHANGANGA,KKNP,KOTESHWR,NLCEXP,NLCIIST1,RAPPC,RIHAND1,SEWA2,SIMHST2,TelanganaSTPP,UNCHAHAR2,AURY_CRF,BRBCL,NAPP,UNCHAHAR3,ANTA_LF,DADRI_LF,DADRI_RF,BSIUL,KHSTPP-I,KUDGI,MAPS,NLCIIST2,RAPPB,RSTPSU1TO6,SINGRAULI,TANAKPUR,ANTA_CRF,DADRI_CRF,CHAMERA1,KGSU1AND2,NTPL,RIHAND2,UNCHAHAR1,URI,AURY_GF,CHAMERA2,DHAULIGNGA,KHSTPP-II,NNTPP,RAMPUR,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,TALST2,AURY_RF,CHAMERA3,DADRT2,JHAJJAR,KOLDAM,RIHAND3,SALAL,TEHRI,UNCHAHAR4,ANTA_GF,DULHASTI,FSTPP I & II,KKNPPU2,NLCTS2EXP,PARBATI3,SASAN,TANDA2,AURY_LF,DADRI_GF
1,00:00-00:15,0,0,24.21,0,43.99,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

2,00:15-00:30,0,0,24.21,0,43.99,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

3,00:30-00:45,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

4,00:45-01:00,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

5,01:00-01:15,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,35.33,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

6,01:15-01:30,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,35.33,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,2.33,0,0,0,0,20.8,0,0,0,281.25,0,0,0

7,01:30-01:45,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,5.76,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,6.97,0,0,0,0,20.8,0,0,0,281.25,0,0,0

8,01:45-02:00,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,19.56,45.53,0,0,0,0,0,139.69,2.44,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,41.83,0,0,0,0,20.8,0,0,0,281.25,0,0,0

9,02:00-02:15,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,2.44,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,41.83,0,0,0,0,20.8,0,0,0,281.25,0,0,0

10,02:15-02:30,0,0,24.21,0,44.42,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,2.44,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,41.83,0,0,0,0,20.8,0,0,0,281.25,0,0,0

11,02:30-02:45,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,2.44,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,41.83,0,0,0,0,20.8,0,0,0,281.25,0,0,0

12,02:45-03:00,0,0,24.21,0,44.21,0,0,0,8.87,0,0,25.51,92,16.53,0,0,42.39,0,20,20.61,26.4,0,0,59.74,13.04,45.53,0,0,0,0,0,139.69,2.44,0,0,42.15,0,0,118.76,20.55,33.12,0,13.17,0,148.3,0,0,0,0,0.71,0,70.81,9.68,683.14,434.65,0,62.16,41.83,0,0,0,0,20.8,0,0,0,281.25,0,0,0

