Block,Time,CHAMERA1,NJPC,NLCTS2EXP,RAMPUR,TANAKPUR,TEHRI,UNCHAHAR4,URI2,AURY_CRF,AURY_GF,DHAULIGNGA,DULHASTI,RSTPSU7,TALST2,DADRT2,JHAJJAR,KKNP,RAPPC,RIHAND1,RIHAND3,ANTA_GF,ANTA_LF,NLCIIST1,RAPPB,SALAL,SEWA2,SINGRAULI,DADRI_CRF,FSTPP I & II,KHSTPP-II,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCEXP,SASAN,AURY_LF,DADRI_GF,DADRI_LF,BRBCL,KISHANGANGA,NNTPP,TALA,UNCHAHAR1,UNCHAHAR2,ANTA_CRF,BSIUL,KGSU1AND2,KOTESHWR,NLCIIST2,RIHAND2,SIMHST1,TANDA2,TelanganaSTPP,UNCHAHAR3,URI,ANTA_RF,AURY_RF,CHAMERA2,CHAMERA3,KGSU3AND4,KHSTPP-I,NAPP,NTPL,PARBATI3,RSTPSU1TO6,SIMHST2,SINGRAULI_HYDRO,VALLURNTECL,DADRI_RF
1,00:00-00:15,42.15,167.1,0,3.54,6.92,67.72,0,36.05,0,0,40.4,36.23,0,0,682.819,406.41,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.56,42.41,0,0,0,38.64,0,121.71,0,2.61,0,26.45,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

2,00:15-00:30,42.15,167.1,0,3.54,6.92,67.72,0,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,42.41,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

3,00:30-00:45,42.15,167.1,0,3.54,10.76,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

4,00:45-01:00,42.15,167.1,0,3.54,7.55,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

5,01:00-01:15,42.15,167.1,0,3.54,7.55,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,10.09,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

6,01:15-01:30,42.15,167.1,0,3.54,7.55,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,10.09,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,32.33,0,0,0,0,79.72

7,01:30-01:45,42.15,167.1,0,3.54,7.55,67.72,1.62,22.16,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,10.09,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,19.68,0,0,0,0,79.72

8,01:45-02:00,42.15,167.1,0,3.54,10.76,67.72,1.62,22.16,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,10.09,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,32.01,32.05,77.94,44.22,32.08,0,32.17,44.86,0,19.68,0,0,0,0,79.72

9,02:00-02:15,42.15,167.1,0,3.54,10.76,67.72,1.62,24.38,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0,0,79.72

10,02:15-02:30,42.15,167.1,0,3.54,7.55,67.72,1.62,24.38,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,127.75,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0,0,79.72

11,02:30-02:45,42.15,167.1,0,3.54,7.55,67.72,1.62,24.38,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

12,02:45-03:00,42.15,167.1,0,3.54,7.55,67.72,1.62,24.38,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,11.58,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,38.64,0,121.71,0,2.61,0,27.05,34.78,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

13,03:00-03:15,42.15,167.1,0,3.54,7.55,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,41.95,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

14,03:15-03:30,42.15,167.1,0,3.54,10.76,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,76.69,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,41.95,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

15,03:30-03:45,42.15,167.1,0,3.54,10.76,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,75.52,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,35.33,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

16,03:45-04:00,42.15,167.1,0,3.54,6.92,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,75.52,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,35.33,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.74,0,79.72

17,04:00-04:15,42.15,167.1,0,3.54,8.96,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,73.21,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,35.33,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.9,0,79.72

18,04:15-04:30,42.15,167.1,0,3.54,12.81,67.72,1.62,36.05,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,73.21,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,35.33,32.05,77.94,44.22,32.08,0,32.17,44.86,0,30.92,0,0,0.9,0,79.72

19,04:30-04:45,42.15,167.1,0,3.54,8.33,67.72,1.62,29.56,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,73.21,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,41.95,32.05,77.94,44.22,32.08,0,32.17,44.86,0,36.54,0,0,0.9,0,79.72

20,04:45-05:00,42.15,167.1,0,3.54,8.33,67.72,1.62,29.56,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,73.21,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.94,20.96,43.71,0,0,0,28.98,0,121.71,0,2.61,0,27.05,41.95,32.05,77.94,44.22,32.08,0,32.17,44.86,0,36.54,0,0,0.9,0,79.72

21,05:00-05:15,42.15,167.1,0,3.54,8.33,67.43,1.62,29.56,0,0,40.4,36.23,0,0,686.07,413.81,0,60.23,94.65,127.6,0,16.08,0,0,73.21,0,124.63,0,14.3,98.87,0,5.35,0,0,0,414,0,0,0,15,4.32,0,9.64,20.96,43.71,0,0,0,28.98,0,121.71,0,2.89,0,27.05,35.33,32.05,77.94,44.22,32.08,0,32.17,44.86,0,36.54,0,0,0.9,0,79.72

