Block,Time,KGSU1AND2,NLCIIST2,PARBATI3,SALAL,SASAN,SIMHST1,SINGRAULI,UNCHAHAR1,AURY_CRF,DADRI_CRF,BRBCL,DHAULIGNGA,KHSTPP-I,KHSTPP-II,KKNPPU2,RSTPSU1TO6,DADRI_LF,CHAMERA2,CHAMERA3,DADRT2,NJPC,NLCIIST1,RIHAND2,RSTPSU7,SEWA2,AURY_GF,DULHASTI,KOLDAM,KOTESHWR,KUDGI,PARBATI2,RAPPD,TANAKPUR,UNCHAHAR3,ANTA_CRF,ANTA_RF,BSIUL,KGSU3AND4,NAPP,NNTPP,RAPPB,RIHAND1,UNCHAHAR4,JHAJJAR,KISHANGANGA,KKNP,MAPS,NLCTS2EXP,NTPL,RIHAND3,SINGRAULI_HYDRO,TANDA2,UNCHAHAR2,ANTA_GF,ANTA_LF,AURY_LF,AURY_RF,CHAMERA1,FSTPP I & II,NLCEXP,RAMPUR,TALA,TEHRI,TelanganaSTPP,URI,RAPPC,SIMHST2,TALST2,URI2,VALLURNTECL,DADRI_GF,DADRI_RF
1,00:00-00:15,0,0,73.66,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,49.86,19.56,0,25.64,0,0,97.23,2.3,670.67,8.63,0,0,0,0,95.79,1,5.7,44.5,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

2,00:15-00:30,0,0,73.66,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,49.86,19.56,0,25.64,0,0,97.23,2.3,670.67,8.63,0,0,0,0,95.79,1,5.7,44.5,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

3,00:30-00:45,0,0,73.66,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,49.86,19.56,0,25.64,0,0,97.23,2.3,670.67,8.63,0,0,0,0,95.79,1,5.7,44.5,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

4,00:45-01:00,0,0,73.66,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,49.86,19.56,0,25.64,0,0,97.23,2.3,670.67,8.63,0,0,0,0,95.79,1,5.7,44.5,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

5,01:00-01:15,0,0,67.51,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,51.17,19.56,0,25.64,0,0,97.23,2.3,670.67,8.63,0,0,0,0,95.79,1,5.7,44.5,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

6,01:15-01:30,0,0,67.51,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,51.17,19.56,0,25.64,0,0,97.23,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

7,01:30-01:45,0,0,67.51,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,12.61,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,51.17,19.56,0,25.64,0,0,97.23,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

8,01:45-02:00,0,0,67.51,79.01,405,0,112.11,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,124.58,0,6.3,0,58.69,9.59,10.43,0,48.84,0,6.27,27.68,0,51.17,19.56,0,25.64,0,0,97.23,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

9,02:00-02:15,0,0,58.31,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,6.3,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,51.83,19.56,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

10,02:15-02:30,0,0,58.31,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,6.02,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,51.83,19.56,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

11,02:30-02:45,0,0,58.31,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,6.02,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,51.83,19.56,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

12,02:45-03:00,0,0,58.31,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,6.02,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,51.83,19.56,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,3.23,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

13,03:00-03:15,0,0,50.64,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,0,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,52.22,13.04,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,2.06,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

14,03:15-03:30,0,0,50.64,79.01,405,0,107.61,21.94,0,0,20,32.83,33.38,148.3,0,0,0,48.81,35.03,229.46,180.89,0,122.18,0,0,0,58.69,9.59,10.43,0,48.84,0,1.79,27.68,0,52.22,13.04,0,25.64,0,0,95.03,3.2,670.67,8.63,0,0,0,0,95.79,1,5.7,45,0,0,0,80.77,42.15,20.8,0,6.98,2.06,30.33,0,50.79,67.71,0,0,38.1,0,0,98.41

