Block,Time,CHAMERA2,JHAJJAR,KKNP,NLCTS2EXP,RAPPB,SASAN,URI2,AURY_GF,DADRI_CRF,DADRI_RF,BSIUL,KHSTPP-I,KHSTPP-II,PARBATI3,RIHAND2,SINGRAULI,TANAKPUR,CHAMERA1,NAPP,NLCIIST1,RIHAND3,TEHRIPSP,UNCHAHAR2,ANTA_LF,DHAULIGNGA,KISHANGANGA,KOLDAM,SEWA2,TALST2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,AURY_LF,DADRT2,DULHASTI,KGSU1AND2,KOTESHWR,NTPL,PARBATI2,RIHAND1,RSTPSU1TO6,SIMHST1,TALA,TANDA2,UNCHAHAR4,DADRI_LF,CHAMERA3,FSTPP I & II,KUDGI,MAPS,NLCIIST2,NNTPP,RAMPUR,SALAL,VALLURNTECL,ANTA_RF,BRBCL,KGSU3AND4,KKNPPU2,NJPC,NLCEXP,RAPPD,RSTPSU7,SINGRAULI_HYDRO,AURY_CRF,AURY_RF,DADRI_GF,RAPPC,SIMHST2,TEHRI,URI,ANTA_GF
1,00:00-00:15,47.12,517.25,0,0,0,272.81,38.97,0,0,79.04,19.56,44.62,98.87,57.24,125.27,113.75,13.06,42.15,24.48,0,130.84,166.37,45,0,42.46,7.05,8.62,12.22,0,0,21.65,27.69,0,0,549.38,55.38,0,30.43,0,10.55,47.02,0,0,12.21,5.73,2.28,0,33.94,17.38,0,0,0,0,5.7,72.05,0,51.96,24.99,0,0,175.79,0,24.8,0,0.72,0,80,0,65.59,0,60.14,52.36,0

2,00:15-00:30,47.12,524.75,0,0,0,272.81,38.97,0,0,79.04,19.56,44.62,98.87,57.24,125.27,113.75,13.06,42.15,24.48,0,130.84,166.37,45,0,42.46,7.05,8.62,12.22,0,0,21.65,27.69,0,0,549.38,55.38,0,30.43,0,10.55,47.02,0,0,12.21,5.73,2.28,0,33.94,17.38,0,0,0,0,5.7,72.05,0,51.96,24.99,0,0,175.79,0,24.8,0,0.72,0,80,0,65.59,0,60.14,52.36,0

3,00:30-00:45,47.12,667.25,0,0,0,272.81,38.97,0,0,79.04,19.56,44.62,98.87,52.03,125.27,113.75,13.06,42.15,24.48,0,130.84,166.37,45,0,42.46,7.05,8.62,12.22,0,0,21.65,27.69,0,0,549.38,55.38,0,30.43,0,10.55,47.02,0,0,12.21,5.73,2.28,0,33.94,17.38,0,0,0,0,5.7,72.05,0,51.96,24.99,0,0,175.79,0,24.8,0,0.72,0,80,0,65.59,0,60.14,52.36,0

4,00:45-01:00,47.12,667.25,0,0,0,272.81,38.97,0,0,79.04,19.56,44.62,98.87,52.03,125.27,113.75,13.06,42.15,24.48,0,130.84,166.37,45,0,42.46,7.05,8.62,12.22,0,0,21.65,27.69,0,0,549.38,55.38,0,30.43,0,10.55,47.02,0,0,12.35,5.73,2.28,0,33.94,17.38,0,0,0,0,5.7,72.05,0,51.96,24.99,0,0,175.79,0,24.8,0,0.72,0,80,0,65.59,0,60.14,48.57,0

5,01:00-01:15,47.12,667.25,0,0,0,272.81,38.97,0,0,79.04,19.56,44.62,98.87,52.03,125.27,113.75,13.06,42.15,24.48,0,130.84,166.37,45,0,42.46,7.05,8.62,12.22,0,0,21.65,27.69,0,0,549.38,55.38,0,30.43,0,10.55,47.02,0,0,12.35,5.73,2.28,0,33.94,17.38,0,0,0,0,5.7,72.05,0,51.96,24.99,0,0,175.79,0,24.8,0,0.72,0,80,0,65.59,0,60.14,48.57,0

