,,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,MEGHALAYA,DELHI,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,UTTARAKHAND,MAHARASHTRA,JAMMU AND KASHMIR,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,GOA,NA,NA,
,,HP,BCMLB001,BSHP,HP,TANGEDCO,JPNIGRIE_JNSTPP,Meghalaya_Ben,BSHP,HP,TANGEDCO,ITCWIND,Meghalaya_Ben,BYPL,KAMENG,Meghalaya_Ben,Meghalaya_Ben,BSHP,UTTARAKHAND,LMEL MSEB,SAPU1234,LAPL-UP,GBHHPL,DIKCHU,JPL-2,CHANJUII,JPNIGRIE_JNSTPP,HP,SKS Raigarh,Teesta_III,BSHP,KAMENG,GOA_Beneficiary,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,BMDRC,BRPL,BYPL,BRPL,BYPL,JHPL-DL,BYPL,BRPL,ITCLH,BYPL,AMBASTL,TPDDL,BYPL,BYPL,MHIL,BYPL,BYPL,MES (Delhi),BYPL,DIAPL,NDMC,BRPL,TPDDL,BRPL,BRPL,NDMC,BRPL,MAX-HPTL,BRPL,BRPL,MES (Delhi),NDMC,
,,North-North,North-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,North-North,South-East-North,South-West-North,North East-East-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,West-North,North-North,West-North,North-North,West-North,East-North,North-North,North East-East-North,West-North,West-North,North-North,
47,11:30-11:45,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.23,17.42,1067.34

48,11:45-12:00,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,16.400000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.36,17.42,1067.47

49,12:00-12:15,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.24,17.42,1070.12

50,12:15-12:30,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.34,17.42,1068.22

51,12:30-12:45,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,4.12,17.42,1069

52,12:45-13:00,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,7.81,17.42,1072.69

53,13:00-13:15,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,8.28,17.42,1073.16

54,13:15-13:30,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,6.87,17.42,1071.75

55,13:30-13:45,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.84,17.42,1070.72

56,13:45-14:00,0.000000,6.770000,0.930000,95.800000,90.960000,85.140000,63.140000,0.970000,0.000000,0.000000,0.970000,0.000000,18.000000,147.820000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,7.09,17.42,1071.97

57,14:00-14:15,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.970000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.46,17.42,1154.71

58,14:15-14:30,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.970000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,7.89,17.42,1157.14

59,14:30-14:45,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.970000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,7.45,17.42,1156.7

60,14:45-15:00,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.970000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,7.1,17.42,1156.35

61,15:00-15:15,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.920000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,6.18,17.42,1155.38

62,15:15-15:30,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.920000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,6.15,17.42,1155.35

63,15:30-15:45,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.920000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,5.04,17.42,1154.24

64,15:45-16:00,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.920000,0.000000,18.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,19.170000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.4,17.42,1152.6

65,16:00-16:15,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2,17.42,1126.64

66,16:15-16:30,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.37,17.42,1127.01

67,16:30-16:45,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.89,17.42,1126.53

68,16:45-17:00,0.000000,6.770000,0.930000,95.800000,106.450000,85.140000,63.140000,0.970000,0.000000,23.160000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,12.580000,4.840000,38.710000,8.070000,29.030000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,3.52,17.42,1128.16

69,17:00-17:15,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,2.43,0,941.33

70,17:15-17:30,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,1.4,0,940.3

71,17:30-17:45,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0.87,0,939.77

72,17:45-18:00,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.820000,0.000000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,24.190000,0.62,0,939.52

73,18:00-18:15,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,0.000000,0.43,0,951.7

74,18:15-18:30,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,0.000000,0.32,0,951.59

75,18:30-18:45,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,0.000000,0.14,0,951.41

76,18:45-19:00,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,9.080000,0.000000,108.870000,12.710000,42.570000,70.160000,62.900000,0.000000,0.910000,21.290000,0.000000,0,0,952.28

77,19:00-19:15,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,9.080000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,42.580000,0.910000,21.290000,0.000000,0,0,1001.37

78,19:15-19:30,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,9.080000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,63.870000,0.910000,21.290000,0.000000,0,0,1022.66

79,19:30-19:45,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,9.080000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,97.740000,0.910000,21.290000,0.000000,0,0,1056.53

80,19:45-20:00,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,9.080000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,138.380000,0.910000,21.290000,0.000000,0,0,1097.17

81,20:00-20:15,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,162.570000,0.910000,21.290000,0.000000,0,0,1120.35

82,20:15-20:30,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,185.800000,0.910000,21.290000,0.000000,0,0,1143.58

83,20:30-20:45,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,226.440000,0.910000,21.290000,0.000000,0,0,1184.22

84,20:45-21:00,0.000000,0.000000,0.930000,95.800000,48.380000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,8.070000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,258.380000,0.910000,21.290000,0.000000,0,0,1216.16

85,21:00-21:15,0.000000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,7.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,285.470000,0.910000,21.290000,0.000000,0,0,1285.79

86,21:15-21:30,0.000000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,7.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,316.440000,0.910000,21.290000,0.000000,0,0,1316.76

87,21:30-21:45,0.000000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,7.060000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1320.63

88,21:45-22:00,0.000000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,0.000000,0.000000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1318.61

89,22:00-22:15,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.06

90,22:15-22:30,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.06

91,22:30-22:45,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.06

92,22:45-23:00,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.920000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.06

93,23:00-23:15,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.01

94,23:15-23:30,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.01

95,23:30-23:45,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.01

96,23:45-24:00,77.900000,0.000000,0.930000,95.800000,91.930000,85.140000,63.140000,0.970000,33.390000,23.160000,0.870000,36.510000,0.000000,193.540000,22.260000,24.190000,0.580000,46.640000,0.000000,4.840000,0.000000,5.040000,0.000000,108.870000,19.170000,42.570000,70.160000,62.900000,320.310000,0.910000,21.290000,0.000000,0,0,1453.01

