Column1,Time,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/01102023/05012040/L_NR_2020_02,GNA/SR/2024/12/01/6968,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/7739,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1899,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/3428,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1766,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2024/10/15/7089,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1475
1,00:00-00:15,0,0,18.01,0,59.51,33.33,16.67,0,0,0,19.83,33.34,19.83,0,0,0,0,0,0,0,1.57,150,74.71,112.2,47.56,0,1.22,8.73,0,100.1,8.73,0,70.06,22.27,0.69,0,1.65,64.01,0,25.23,0,22.27,0,142.69,26.2

2,00:15-00:30,0,0,18.21,0,61.01,35.67,16,0,0,0,20.33,35.66,20.33,0,0,0,0,0,0,0,1.57,150,74.71,112.2,47.56,0,1.22,8.73,0,100.1,8.73,0,70.06,22.27,0.69,0,1.65,64.01,0,25.23,0,22.27,0,142.69,26.2

3,00:30-00:45,0,0,18.41,0,54.49,45,19.33,0,0,0,18.17,45,18.17,0,0,0,0,0,0,0,1.57,150,74.71,82.11,47.56,0,1.22,8.73,0,100.1,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,25.74,0,22.27,0,142.69,26.2

4,00:45-01:00,0,0,18.61,0,55.99,45.33,19,0,0,0,18.67,45.33,18.67,0,0,0,0,0,0,0,1.57,150,74.71,82.11,47.56,0,1.22,8.73,0,100.1,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,25.74,0,22.27,0,142.69,26.2

5,01:00-01:15,0,0,19.01,0,52,46,18.67,0,0,0,17.33,46,17.34,0,0,0,0,0,0,0,1.57,150,74.71,82.11,47.56,0,1.14,8.73,0,100.1,8.73,0,70.06,22.27,0,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

6,01:15-01:30,0,0,19.01,0,52.5,47.33,18.33,0,0,0,17.5,47.33,17.5,0,0,0,0,0,0,0,1.57,150,74.71,82.11,47.56,0,1.14,8.73,0,100.1,8.73,0,70.06,22.27,0,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

7,01:30-01:45,0,0,23.01,0,42,40,14.34,0,0,0,14,40,14,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,100.1,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

8,01:45-02:00,0,0,23.61,0,41.5,40,14,0,0,0,13.83,40,13.84,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,71.1,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

9,02:00-02:15,0,0,29.01,0,41,35,13.66,0,0,0,13.67,35,13.66,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

10,02:15-02:30,0,0,29.21,0,40,35,13.34,0,0,0,13.33,35,13.34,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

11,02:30-02:45,0,0,36.01,0,39,35,13,0,0,0,13,35,13,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,26.24,0,22.27,0,142.69,26.2

12,02:45-03:00,0,0,36.01,0,37.5,35,12.66,0,0,0,12.5,35,12.5,0,0,0,0,0,0,0,1.57,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.65,57.36,0,25.74,0,22.27,0,142.69,26.2

13,03:00-03:15,0,0,32.01,0,36,30,12.34,0,0,0,12,30,12,0,0,0,0,0,0,0,1.53,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.56,57.36,0,25.74,0,22.27,0,142.69,26.2

14,03:15-03:30,0,0,31.61,0,35,30,12,0,0,0,11.67,30,11.66,0,0,0,0,0,0,0,1.53,150,74.71,64.37,47.56,0,1.14,8.73,0,52.84,8.73,0,70.06,22.27,0.69,0,1.56,57.36,0,25.74,0,22.27,0,142.69,26.2

