Block,Time Block,CHAMERA1,BSIUL,BRBCL,DADRT2,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KISHANGANGA,KHSTPP-I,KKNP,KHSTPP-II,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCEXP,NLCIIST1,NJPC,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPB,RIHAND1,RAPPD,RAMPUR,RAPPC,RSTPSU1TO6,RSTPSU7,RIHAND3,RIHAND2,SASAN,SIMHST1,SIMHST2,SALAL,SEWA2,SINGRAULI_HYDRO,SINGRAULI,TANDA2,TALST2,TANAKPUR,TALA,TelanganaSTPP,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,ANTA_GF,ANTA_CRF,ANTA_LF,ANTA_RF,AURY_LF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,DADRI_RF,DADRI_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.6,18.84,18.51,458.87,33.72,47.02,10.55,17.94,57.32,491.9,0,0,8.31,44.15,0,142.38,10.05,0,4.61,0,0,0,0,106.61,24.95,0,0,0,0,22.18,25.33,0,93.66,21.21,4.24,66.54,0,0,125.99,120.01,400.97,0,0,51.49,18.21,0.89,107.94,5.32,0,0.49,0,0,32.93,20.85,0,0.96,36.7,26.66,42.39,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,40.6,18.84,18.24,378.37,33.72,47.02,10.55,17.94,57.32,491.9,0,0,8.31,44.15,0,142.38,10.05,0,4.61,0,0,0,0,106.61,24.95,0,0,0,0,22.18,25.33,0,93.66,21.21,4.24,66.54,0,0,125.99,120.01,400.97,0,0,51.49,18.21,0.89,108,5.32,0,6.04,0,0,32.93,20.85,0,0.96,36.7,26.66,42.39,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,40.6,18.84,15.97,378.37,33.72,47.02,10.55,17.94,57.32,434.1,0,0,8.31,44.15,0,142.38,10.05,0,4.61,0,0,0,0,106.61,24.95,0,0,0,0,22.18,25.33,0,93.66,21.21,4.24,66.54,0,0,125.99,120.01,400.97,0,0,76.47,18.21,0.89,108,5.32,0,6.04,0,0,32.93,20.85,0,0.96,36.7,26.66,42.39,48.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,40.6,18.84,14.03,445.81,33.72,47.02,10.55,17.94,57.32,366.67,0,0,8.31,44.15,0,142.38,10.05,0,4.61,0,0,0,0,106.61,24.95,0,0,0,0,22.18,25.33,0,93.66,21.21,4.24,66.54,0,0,125.99,120.01,400.97,0,0,76.47,18.21,0.89,108,5.32,0,6.04,0,0,32.93,20.85,0,0.96,36.7,26.66,42.39,50.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,40.6,18.84,12.88,445.81,33.72,47.02,10.55,17.94,57.32,436.03,0,0,8.31,44.15,0,142.38,10.05,0,4.61,0,0,0,0,106.61,24.95,0,0,0,0,22.18,25.33,0,93.66,21.21,4.24,66.54,0,0,125.99,120.01,400.97,0,0,76.47,18.21,0.89,108,5.32,0,6.04,0,0,32.93,20.85,0,0.96,36.7,26.66,42.39,50.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

