Block,Time Block,CHAMERA1,DADRT2,BSIUL,CHAMERA3,CHAMERA2,BRBCL,NJPC,NNTPP,NAPP,NLCIIST1,PARBATI3,NTPL,NLCIIST2,NLCEXP,NLCTS2EXP,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,RIHAND3,SIMHST2,SIMHST1,SASAN,KISHANGANGA,KOLDAM,KHSTPP-I,KUDGI,MAPS,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,RAPPB,RIHAND2,RIHAND1,RAPPC,TALA,UNCHAHAR3,VALLURNTECL,TEHRI,TANDA2,UNCHAHAR2,URI,URI2,TALST2,UNCHAHAR1,UNCHAHAR4,TANAKPUR,TelanganaSTPP,DULHASTI,KGSU3AND4,DHAULIGNGA,FSTPP I & II,KGSU1AND2,JHAJJAR,RAMPUR,SINGRAULI_HYDRO,SINGRAULI,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,11.48,0,31.77,0,1.27,20.05,0,370.86,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,25.76,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,11.48,0,31.77,0,1.27,20.05,0,361.22,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,6.79,0,31.77,0,1.27,20.05,0,335.82,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,6.79,0,31.77,0,1.27,20.05,0,312.7,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,6.79,0,31.77,0,1.27,20.05,0,293.42,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,6.79,0,31.77,0,1.27,20.05,0,274.14,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,25.76,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,7.4,0,31.77,0,8.78,20.05,0,264.51,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,327.17,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,25.43,0,14.39,0,40.87,2.13,4.4,0,19.82,0,7.4,0,31.77,0,8.78,20.05,0,257.76,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,291.99,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,22.83,0,14.39,0,36.27,2.13,4.4,0,17.68,0,11.48,0,15.88,0,8.78,20.05,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,22.83,0,14.39,0,36.27,2.13,4.4,0,17.68,0,11.48,0,15.88,0,8.78,20.05,0,238.48,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,141.32,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,250.05,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,141.32,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,239.45,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,287.08,0,0,1.93,14.46,0,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,287.08,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,138.43,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,287.08,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,138.43,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,287.08,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,37.65,0,0,138.43,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,15.88,0,8.78,17.85,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,287.08,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,38.61,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,31.77,0,8.78,14.59,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,287.08,0,0,1.93,14.46,20.99,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,38.61,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,31.77,0,8.78,14.59,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,287.08,0,0,1.93,14.46,41.08,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,39.46,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,47.64,0,8.78,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,287.08,1.06,9.33,1.93,14.46,67.63,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,47.64,0,8.78,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,287.08,6.28,9.33,3.86,14.46,82.14,0,40.14,0,0,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,2.13,4.4,0,14.93,0,6.79,0,47.64,0,17.57,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,11.42,287.08,6.28,18.66,11.57,14.46,109.53,0,40.14,0,2.46,0,0,0,0,0,0,2.25,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,35.22,2.13,4.4,0,14.93,0,6.79,0,47.64,0,26.49,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,13.54,251.9,18.85,28.01,38.08,14.46,135.26,0,40.14,0,4.91,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,19.01,0,0,114.46,88.67,50.02,0,19.31,0,30,0,35.22,2.13,4.4,0,14.93,0,11.48,0,47.64,0,36.29,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,13.54,195.7,18.85,28.01,38.08,14.46,135.26,0,40.14,0,31.9,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,19.01,0,0,114.46,88.67,50.02,0,19.31,0,30,0,30.62,3.19,4.4,0,14.93,0,11.48,0,47.64,0,36.29,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,13.54,181.06,18.85,28.01,38.08,14.46,135.26,0,40.14,0,31.9,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,19.01,0,0,114.46,88.67,50.02,0,19.31,0,30,0,30.62,37.77,4.4,0,14.93,0,8.64,0,47.64,0,36.29,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,13.54,186.06,18.85,28.01,38.08,14.46,135.26,0,40.14,0,31.9,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,19.01,0,0,114.46,88.67,50.02,0,19.31,0,29.57,0,30.62,37.77,4.4,0,14.93,0,8.64,0,47.64,0,36.29,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,11.42,195.7,6.28,18.66,11.57,14.46,112.72,0,40.14,0,31.9,0,0,0,0,0,0,76.51,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,14.39,0,30.62,3.19,4.4,0,14.93,0,6.79,0,31.77,0,26.49,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,0,240.52,6.28,9.33,11.57,14.46,112.72,0,40.14,0,31.9,0,0,0,0,0,0,25.76,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,35.22,2.13,4.4,0,14.93,0,6.79,0,31.77,0,17.57,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,0,243.89,6.28,9.33,11.57,14.46,90.17,0,40.14,0,31.9,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,35.22,2.13,4.4,0,14.93,0,6.79,0,31.77,0,8.78,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,0,263.17,6.28,9.33,11.57,14.46,67.63,0,40.14,0,4.91,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,6.79,0,31.77,0,1.27,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,263.17,6.28,9.33,2.31,14.46,44.99,0,40.14,0,2.46,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,6.79,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,253.53,6.28,9.33,2.31,14.46,38.34,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,6.79,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,253.26,0,9.33,2.31,14.46,38.34,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,3.19,4.4,0,14.93,0,6.79,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,243.63,0,9.33,2.31,14.46,38.34,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,37.77,4.4,0,14.93,0,6.79,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,214.98,0,9.33,2.31,14.46,38.34,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,114.46,88.67,50.02,0,19.31,0,0,0,30.62,37.77,4.4,0,14.93,0,11.48,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,186.06,0,0,2.31,14.46,38.34,0,40.14,0,0,0,0,0,0,0,0,12.32,0,119.82,0,0,395.76,0,0,42.71,0,0,142.93,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,3.19,4.4,0,14.93,0,11.48,0,31.77,0,0,16.79,0,236.56,0,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,181.06,0,0,2.31,14.46,22.54,0,40.14,0,0,0,0,0,0,0,0,12.32,0,95.1,0,0,395.76,0,0,37.65,0,0,131.68,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,7.4,0,31.77,0,0,14.49,0,236.56,0,0,116.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,181.06,0,0,2.31,14.46,22.54,0,40.14,0,0,0,0,0,0,0,0,12.32,0,95.1,0,0,395.76,0,0,37.65,0,0,124.94,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,7.4,0,31.77,0,0,14.49,0,236.56,0,0,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,181.06,0,0,2.31,14.46,22.54,0,40.14,0,0,0,0,0,0,0,0,12.32,0,95.1,0,0,403.61,0,0,37.65,0,0,124.94,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,7.4,0,31.77,0,0,14.49,0,236.56,0,0,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,181.06,0,0,2.31,14.46,22.54,0,40.14,0,0,0,0,0,0,0,0,12.32,0,95.1,0,0,403.61,0,0,37.65,0,0,124.94,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,7.4,0,31.77,0,0,14.49,0,236.56,0,0,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,181.06,0,0,2.31,14.46,22.54,0,40.14,0,0,0,0,0,0,0,0,12.32,0,95.1,0,0,403.61,0,0,37.65,0,0,124.94,0,8.55,0,0,98.89,88.67,50.02,0,19.31,0,0,0,30.62,2.13,4.4,0,14.93,0,7.4,0,31.77,0,0,14.49,0,207.22,0,0,102.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

