Time,Block,NR/2023/11956/F,NR/2023/10944/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/12656/F,NR/2023/12943/C,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11476/A,NR/2023/10434/A,NR/2023/10229/A,NR/2023/11952/F,NR/2023/11961/F,NR/2023/12880/D,NR/2023/11958/F,NR/2023/11284/A,NR/2023/11640/A,NR/2023/12881/D,NR/2023/10487/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/11941/F,NR/2023/12890/C,NR/2023/12883/D,NR/2023/11947/F,NR/2023/12902/C,NR/2023/10236/A,NR/2023/11862/F,NR/2023/10613/A,NR/2023/12882/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11957/F,NR/2023/11330/A,NR/2023/12889/C,NR/2023/10173/A,Total
,,SHPPBPL,APPCPL,BYPL,TPTCL,IEXL,NVVNL,MANIKARAN,SHPPBPL,IEXL,IEXL,NVVNL,NVVNL,KEIPL,SHPPBPL,NVVNL,SHPPBPL,STATKRAFT,MANIKARAN,TS1PL_BKN,TPTCL,APPCPL,SHPPBPL,NVVNL,GBHHPL,TS1PL_BKN,HPXL,TPDDL,NVVNL,APPCPL,APPCPL,NVVNL,SHPPBPL,MANIKARAN,SHPPBPL,SHPPBPL,SHPPBPL,APPCPL,SJVNL,STATKRAFT,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,NA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,MANIPUR,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,TAMIL NADU,
,,SHPPBPL,HP,Meghalaya_Ben,JPL,SAPU1234,KAMENG,HP,SHPPBPL,NAVABHARAT,JSPL_DCPP,SEIL,JPNIGRIE_JNSTPP,Meghalaya_Ben,SHPPBPL,SOLAPUR_SOLAR,SHPPBPL,HP,TANGEDCO,TS1PL_BKN,APNRL,Arunachal_Ben,SHPPBPL,SKS Raigarh,GBHHPL,TS1PL_BKN,B_S_ISPAT_MH,CHANJUII,ILFS,Manipur_Ben,Nagaland_Ben,KAMENG,SHPPBPL,HP,SHPPBPL,SHPPBPL,SHPPBPL,HP,IPCL_WB,TANGEDCO,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL224,BYPL,BYPL,BRPL,MES (Delhi),TPDDL,BRPL,MHIL,BRPL,BRPL,TPDDL,BRPL,BYPL,JHPL-DL,MES (Delhi),AISHER,BYPL,BRPL,BRPL,TPDDL,BYPL,MAX-HPTL,NDMC,DIAPL,BYPL,NDMC,TPDDL,BRPL,STT,BYPL,TPDDL,BMDRC,BRPL,UHL,BAL184,BAL234,BRPL,NDMC,BYPL,
,,North-North,North-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,West-North,South-West-North,West-North,North East-East-North,North-North,West-North,North-North,North-North,South-West-North,North-North,East-North,North East-East-North,North-North,West-North,North-North,North-North,West-North,North-North,South-West-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,East-North,South-West-North,
1,00:00-00:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.78

2,00:15-00:30,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.78

3,00:30-00:45,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.78

4,00:45-01:00,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.78

5,01:00-01:15,0.510000,27.840000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,12.670000,78.310000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1034.7

