,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,SIKKIM,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MP,Gujarat,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MEGHALAYA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,NA,
,,RSRPL_BKN,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,UTTARAKHAND,Meghalaya_Ben,HP,Teesta_III,HP-GOVT,Arunachal_Ben,RKM_POWER,SIKKIM,OPGPGPLU2TN,CHANJUII,Meghalaya_Ben,JP BINA,SUGEN_GUVNL,GBHHPL,KWHEP,Meghalaya_Ben,HP,JHABUA_IPP,SEILP2,SINGOLI,Meghalaya_Ben,ITCWIND,BCMLB001,KAMENG,GOA_Beneficiary,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,North-North,North East-East-North,West-East-North,East-North,South-East-North,North-North,North East-East-North,West-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,
41,10:00-10:15,15.84,38.390000,0.000000,62.570000,99.330000,4.99,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,7.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,719.34

42,10:15-10:30,15.84,38.390000,0.000000,62.570000,99.330000,5.28,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,7.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,719.63

43,10:30-10:45,15.84,38.390000,0.000000,62.570000,99.330000,5.57,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,7.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,719.92

44,10:45-11:00,15.84,38.390000,0.000000,62.570000,99.330000,5.95,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,7.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,720.3

45,11:00-11:15,15.84,38.390000,0.000000,62.570000,99.330000,6.24,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,723.62

46,11:15-11:30,15.84,38.390000,0.000000,62.570000,99.330000,6.53,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,723.91

47,11:30-11:45,15.84,38.390000,0.000000,62.570000,99.330000,6.91,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,724.29

48,11:45-12:00,15.84,38.390000,0.000000,62.570000,99.330000,7.2,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,724.58

49,12:00-12:15,15.84,38.390000,0.000000,62.570000,99.330000,7.39,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,724.67

50,12:15-12:30,15.84,38.390000,0.000000,62.570000,99.330000,7.58,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,724.86

51,12:30-12:45,15.84,38.390000,0.000000,62.570000,99.330000,7.87,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,725.15

52,12:45-13:00,15.84,38.390000,0.000000,62.570000,99.330000,8.16,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,725.44

53,13:00-13:15,15.84,38.390000,0.000000,62.570000,99.330000,8.83,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,726.11

54,13:15-13:30,15.84,38.390000,0.000000,62.570000,99.330000,9.12,0.000000,47.980000,19.470000,0.000000,0.000000,16.310000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,742.71

55,13:30-13:45,15.84,38.390000,0.000000,62.570000,99.330000,8.64,0.000000,47.980000,19.470000,0.000000,0.000000,42.230000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,768.15

56,13:45-14:00,15.84,38.390000,0.000000,62.570000,99.330000,8.35,0.000000,47.980000,19.470000,0.000000,0.000000,73.900000,28.790000,0.000000,0.000000,0.000000,9.250000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,0.000000,737.15

57,14:00-14:15,15.84,38.390000,0.000000,62.570000,99.330000,7.98,19.820000,47.980000,19.470000,0.000000,0.000000,36.470000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,32.630000,0.000000,0.960000,8.160000,106.060000,23.990000,0.000000,761.21

58,14:15-14:30,15.84,38.390000,0.000000,62.570000,99.330000,7.2,19.820000,47.980000,19.470000,0.000000,0.000000,57.580000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.960000,8.160000,106.060000,23.990000,0.000000,806.49

59,14:30-14:45,15.84,38.390000,0.000000,62.570000,99.330000,6.91,19.820000,47.980000,19.470000,0.000000,0.000000,87.330000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.960000,8.160000,106.060000,23.990000,0.000000,835.95

60,14:45-15:00,15.84,38.390000,0.000000,62.570000,99.330000,6.72,19.820000,47.980000,19.470000,0.000000,0.000000,77.740000,28.790000,0.000000,0.000000,0.000000,9.350000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.960000,8.160000,106.060000,23.990000,0.000000,826.17

61,15:00-15:15,15.84,38.390000,0.000000,62.570000,99.330000,5.76,19.820000,47.980000,19.470000,0.000000,0.000000,119.960000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,45.110000,0.000000,0.860000,8.160000,106.060000,23.990000,0.000000,854.94

62,15:15-15:30,15.84,38.390000,0.000000,62.570000,99.330000,4.8,19.820000,47.980000,19.470000,0.000000,0.000000,140.120000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,45.110000,0.000000,0.860000,8.160000,106.060000,23.990000,0.000000,874.14

63,15:30-15:45,15.84,38.390000,0.000000,62.570000,99.330000,4.62,19.820000,47.980000,19.470000,0.000000,20.150000,143.960000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,45.110000,0.000000,0.860000,8.160000,106.060000,23.990000,0.000000,897.95

64,15:45-16:00,15.84,38.390000,0.000000,62.570000,99.330000,4.35,19.820000,47.980000,19.470000,0.000000,35.510000,143.960000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,45.110000,0.000000,0.860000,8.160000,106.060000,23.990000,0.000000,913.04

65,16:00-16:15,15.84,38.390000,0.000000,62.570000,99.330000,4.22,19.820000,47.980000,19.470000,0.000000,49.900000,143.960000,28.790000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,48.940000,0.000000,0.820000,8.160000,106.060000,23.990000,0.000000,931.19

66,16:15-16:30,15.84,38.390000,0.000000,62.570000,99.330000,4.03,19.820000,47.980000,19.470000,0.000000,74.860000,143.960000,28.790000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.820000,8.160000,106.060000,23.990000,0.000000,964.6

67,16:30-16:45,15.84,38.390000,0.000000,62.570000,99.330000,3.67,19.820000,47.980000,19.470000,0.000000,100.770000,143.960000,28.790000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.820000,8.160000,106.060000,23.990000,0.000000,990.15

68,16:45-17:00,15.84,38.390000,0.000000,62.570000,99.330000,2.85,19.820000,47.980000,19.470000,0.000000,135.320000,143.960000,28.790000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,57.580000,0.000000,0.820000,8.160000,106.060000,23.990000,0.000000,1023.88

69,17:00-17:15,0,38.390000,0.000000,62.570000,99.330000,2.3,19.820000,47.980000,19.470000,0.000000,139.160000,143.960000,0.000000,47.980000,0.000000,19.190000,9.710000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,32.630000,0.000000,0.820000,0.000000,106.060000,23.990000,0.000000,1016.78

70,17:15-17:30,0,38.390000,0.000000,62.570000,99.330000,1.55,19.820000,47.980000,19.470000,0.000000,170.830000,143.960000,0.000000,47.980000,0.000000,19.190000,9.710000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,32.630000,0.000000,0.820000,0.000000,106.060000,23.990000,0.000000,1047.7

71,17:30-17:45,0,38.390000,0.000000,62.570000,99.330000,0.91,19.820000,47.980000,19.470000,0.000000,201.540000,143.960000,0.000000,47.980000,0.000000,19.190000,9.710000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,32.630000,0.000000,0.820000,0.000000,106.060000,23.990000,0.000000,1077.77

72,17:45-18:00,0,38.390000,0.000000,62.570000,99.330000,0.42,19.820000,47.980000,19.470000,0.000000,210.170000,143.960000,0.000000,47.980000,0.000000,19.190000,9.710000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,0.000000,9.310000,32.630000,0.000000,0.820000,0.000000,106.060000,23.990000,0.000000,1085.91

73,18:00-18:15,0,38.390000,0.000000,62.570000,99.330000,0.21,19.820000,47.980000,19.470000,0.000000,178.500000,103.650000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,32.630000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1131.69

74,18:15-18:30,0,38.390000,0.000000,62.570000,99.330000,0.1,19.820000,47.980000,19.470000,0.000000,225.530000,129.560000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,24.950000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1196.84

75,18:30-18:45,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,242.800000,143.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,24.950000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1228.41

76,18:45-19:00,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,262.960000,143.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,0.000000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,24.950000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1248.57

77,19:00-19:15,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,261.040000,119.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1248.56

78,19:15-19:30,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,270.640000,119.960000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1258.16

79,19:30-19:45,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,122.840000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1278.31

80,19:45-20:00,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,140.120000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.820000,0.000000,106.060000,0.000000,0.000000,1295.59

81,20:00-20:15,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,146.830000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1302.25

82,20:15-20:30,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,150.670000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1306.09

83,20:30-20:45,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,175.630000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1331.05

84,20:45-21:00,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,166.990000,0.000000,124.760000,0.000000,0.000000,9.890000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1322.41

85,21:00-21:15,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,10.090000,0.000000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1370.3

86,21:15-21:30,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,10.090000,73.900000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1444.2

87,21:30-21:45,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,10.090000,73.900000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1444.2

88,21:45-22:00,0,38.390000,0.000000,62.570000,99.330000,0,19.820000,47.980000,19.470000,0.000000,287.910000,192.900000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,10.090000,113.240000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1509.45

89,22:00-22:15,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,192.900000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,7.060000,113.240000,34.550000,77.740000,47.980000,9.310000,26.870000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1674.36

90,22:15-22:30,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,192.900000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,7.060000,113.240000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1683.96

91,22:30-22:45,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,192.900000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,7.060000,113.240000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1683.96

92,22:45-23:00,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,192.900000,0.000000,124.760000,28.790000,19.190000,9.800000,22.070000,49.660000,23.990000,7.060000,113.240000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1683.96

93,23:00-23:15,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.710000,22.070000,49.660000,23.990000,6.060000,62.380000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1606.1

94,23:15-23:30,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.710000,22.070000,49.660000,23.990000,6.060000,62.380000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1606.1

95,23:30-23:45,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.710000,22.070000,49.660000,23.990000,6.060000,62.380000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1606.1

96,23:45-24:00,0,38.390000,50.380000,62.570000,99.330000,0,19.820000,47.980000,19.470000,117.560000,287.910000,166.990000,0.000000,124.760000,28.790000,19.190000,9.710000,22.070000,49.660000,23.990000,6.060000,62.380000,34.550000,77.740000,47.980000,9.310000,36.470000,36.210000,0.770000,0.000000,106.060000,0.000000,0.000000,1606.1

