Column1,Time,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,L_NR_2019_19,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/02/1250,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/8058,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3733,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/2470,NR/01102023/31052040/LT-31,GNA/NR/2025/01/20/9046,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/20/4698,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3925,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/5531,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/8625,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/4168
1,00:00-00:15,23.33,0,0,9.17,0,7,0,0,0,0,9.17,27.49,23.34,0,0,0,0,13.21,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,100.18,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,150.97,48.08,27,0,19.23,28.85,1.29,0,0,0,0,0

2,00:15-00:30,24.33,0,0,9.33,0,7,0,0,0,0,9.33,28.01,24.34,0,0,0,0,13.01,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,100.18,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,150.97,48.08,27,0,19.23,28.85,1.29,0,0,0,0,0

3,00:30-00:45,21.67,0,0,7.5,0,7,0,0,0,0,7.5,22.5,21.66,0,0,0,0,12.81,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,81.74,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

4,00:45-01:00,23,0,0,7.5,0,7,0,0,0,0,7.5,22.5,23,0,0,0,0,12.61,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,72.12,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

5,01:00-01:15,23.33,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,23.34,0,0,0,0,12.61,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,62.5,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

6,01:15-01:30,23.33,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,23.34,0,0,0,0,12.61,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,52.89,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

7,01:30-01:45,23.67,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,23.66,0,0,0,0,12.41,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,52.89,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

8,01:45-02:00,24,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,24,0,0,0,0,12.21,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.73,0,52.89,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0.85,19.23,28.85,1.29,0,0,0,0,0

9,02:00-02:15,24,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,24,0,0,0,0,12.61,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,52.89,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0,19.23,28.85,1.29,0,0,0,0,0

10,02:15-02:30,24,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,24,0,0,0,0,11.81,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,52.89,0,0,0,0,70.13,27,8.65,0,59.46,0.99,0,130.78,48.08,27,0,19.23,28.85,1.29,0,0,0,0,0

11,02:30-02:45,24,0,0,7.5,0,7.34,0,0,0,0,7.5,22.5,24,0,0,0,0,9.6,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,52.89,0,0,0,0,70.13,26.73,8.65,0,59.46,0.99,0,130.78,48.08,26.73,0.69,19.23,28.85,1.29,0,0,0,0,0

12,02:45-03:00,23.67,0,0,7.83,0,7.34,0,0,0,0,7.83,23.51,23.66,0,0,0,0,9.4,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.34,20.19,25.23,0,52.89,0,0,0,0,70.13,26.73,8.65,0,59.46,0.99,0,130.78,48.08,26.73,0.69,19.23,28.85,1.29,0,0,0,0,0

13,03:00-03:15,24,0,0,8.33,0,7.34,0,0,0,0,8.33,25.01,24,0,0,0,0,9.2,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.3,20.19,25.23,0,52.89,0,0,0,0,70.13,26.73,8.65,0,59.46,0.95,0,130.78,48.08,26.73,0.69,19.23,28.85,1.29,0,0,0,0,0

14,03:15-03:30,24.33,0,0,8.67,0,7.34,0,0,0,0,8.67,25.99,24.34,0,0,0,0,9,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.3,20.19,25.23,0,52.89,0,0,0,0,70.13,26.73,8.65,0,59.46,0.95,0,130.78,48.08,26.73,0.69,19.23,28.85,1.29,0,0,0,0,0

15,03:30-03:45,31,0,0,11.17,0,9.33,0,0,0,0,11.17,33.49,31,0,0,0,0,8.8,0,23.08,23.08,31.73,0,23.08,48.08,164.85,26.92,1.3,20.19,25.73,0,52.89,0,0,0,0,70.13,26.73,8.65,0,59.46,0.95,0,130.78,48.08,26.73,0.69,19.23,28.85,1.29,0,0,0,0,0

