Column1,Time,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/7432,WR/01102023/31032046/L_NR_2020_05,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2025/02/01/6460,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/16/1380,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,GNARE/NR/2024/12/20/3668
1,00:00-00:15,0,10.83,0,8.33,40,0,40,9,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,32.51,70.12,10.83,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

2,00:15-00:30,0,10.5,0,8,39.34,0,39.33,8.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,31.5,70.12,10.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

3,00:30-00:45,0,10,0,8,25.67,0,25.67,8,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,30,70.12,10,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

4,00:45-01:00,0,9.67,0,8,24.67,0,24.67,7.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,28.99,70.12,9.67,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

5,01:00-01:15,0,9.5,0,8,24.33,0,24.33,7.2,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,28.5,70.12,9.5,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

6,01:15-01:30,0,9.33,0,8,24.33,0,24.33,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,28.01,70.12,9.33,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

7,01:30-01:45,0,9.33,0,8,24.33,0,24.33,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,28.01,70.12,9.33,0.62,26.75,59.43,0,0,0,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

8,01:45-02:00,0,9.33,0,8.33,24,0,24,6.6,0,0,0,26.99,271.78,79.78,0,0,0,26.99,23.78,23.07,0,28.01,70.12,9.33,0.62,26.75,59.43,0,0,0,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

9,02:00-02:15,0,9.17,0,8,16.66,0,16.67,6.6,0,0,0,26.99,271.78,79.78,0,0,0,26.99,23.78,23.07,0,27.49,70.12,9.17,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

10,02:15-02:30,0,9,0,8,16.66,0,16.67,6.6,0,0,0,26.99,271.78,70.17,0,0,0,26.99,23.78,23.07,0,27,70.12,9,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

11,02:30-02:45,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,52.87,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

12,02:45-03:00,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,52.87,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.75,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

13,03:00-03:15,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,81.7,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.29,0,0,0,0,0,0

14,03:15-03:30,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.29,0,0,0,0,0,0

15,03:30-03:45,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.29,0,0,0,0,0,0

16,03:45-04:00,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.29,0,0,0,0,0,0

17,04:00-04:15,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

18,04:15-04:30,0,7.5,0,7,16.66,0,16.67,6.6,0,0,0,26.99,271.78,100.14,0,0,0,26.99,23.78,23.07,0,22.5,70.12,7.5,0.62,26.24,59.43,0,0,0.92,75,0,23.07,23.07,8.65,8.65,135.53,0,1.2,7.93,1.19,0,0,0,0,0,0

