Block,Time,SALAL,DULHASTI,UNCHAHAR4,DADRI_GF,URI,DADRT2,KOLDAM,AURY_CRF,UNCHAHAR3,TEHRI,ANTA_RF,RAMPUR,CHAMERA2,RIHAND2,TANDA2,KOTESHWR,NAPP,ANTA_CRF,AURY_RF,KISHANGANGA,RAPPB,CHAMERA1,RIHAND1,PARBATI3,CHAMERA3,JHAJJAR,UNCHAHAR1,UNCHAHAR2,ANTA_GF,DHAULIGNGA,DADRI_LF,SINGRAULI_HYDRO,BSIUL,NJPC,RIHAND3,AURY_GF,SINGRAULI,RAPPC,AURY_LF,ANTA_LF,TANAKPUR,DADRI_CRF,URI2,DADRI_RF,SEWA2,BRBCL,TALA,FSTPP I & II,SASAN,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,60.683591,38.152355,2.988339,0.000000,33.631870,538.068522,0.000000,0.000000,26.729659,10.017773,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,27.174272,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,14.154700,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

10,02:15-02:30,60.683591,38.152355,2.988339,0.000000,33.631870,489.713522,0.000000,0.000000,26.729659,10.017773,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,27.174272,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,14.307327,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

11,02:30-02:45,60.683591,38.152355,2.988339,0.000000,33.631870,489.713522,0.000000,0.000000,26.729659,9.863654,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,27.174272,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,11.234268,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

12,02:45-03:00,60.683591,38.152355,2.988339,0.000000,33.631870,442.925224,0.000000,0.000000,26.729659,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,27.174272,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,12.184752,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

13,03:00-03:15,60.683591,38.152355,2.988339,0.000000,33.631870,395.913114,0.000000,0.000000,26.729659,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,11.185156,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

14,03:15-03:30,60.683591,38.152355,2.988339,0.000000,33.631870,371.249574,0.000000,0.000000,26.729659,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,520.477360,21.885473,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,11.572005,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

15,03:30-03:45,60.683591,38.152355,2.988339,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,513.983863,17.544645,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,15.293768,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

16,03:45-04:00,60.683591,38.152355,2.988339,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,513.983863,17.544645,21.711395,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,16.675474,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

17,04:00-04:15,60.683591,38.152355,2.609508,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,513.983863,17.544645,18.901641,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,18.075132,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

18,04:15-04:30,60.683591,38.152355,2.348602,0.000000,33.631870,371.249574,0.000000,0.000000,21.424747,0.000000,0.000000,0.834066,31.269456,120.287898,4.267420,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,40.761408,83.660324,0.000000,22.434239,513.983863,17.544645,17.400837,0.000000,0.000000,0.000000,0.754018,18.918797,21.553150,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.743313,0.000000,33.998240,0.000000,18.182077,18.312119,0.000000,20.115680,404.992467,142.938927,44.872550,0,0,0,0,0

