Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/30042024/PTC/OA/32001,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_36,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/30042040/GNA_LT_35,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01042024/31072024/LT_MEJA_DELHI,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/30092023/31122025/SH-07
1,00:00-00:15,86.980000,2.950000,2.590000,261.810000,22.490000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,40,29.780000,7.370000,10.01,0.000000,0,0,0.000000,0,0,0,0,115.280000,0.000000,0,0,0,0,16.080000,26,0,11.66,13.33,26,0,13.34,22.490000

2,00:15-00:30,86.980000,2.950000,2.590000,261.810000,22.490000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,41,29.780000,7.370000,9.61,0.000000,0,0,0.000000,0,0,0,0,115.280000,0.000000,0,0,0,0,16.080000,26.33,0,12,13.67,26.33,0,13.66,22.490000

3,00:30-00:45,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,42.5,29.780000,7.370000,9.01,0.000000,0,0,0.000000,0,0,0,0,115.280000,0.000000,0,0,0,0,16.080000,26.67,0,12.34,14.17,26.67,0,14.16,25.500000

4,00:45-01:00,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,44,29.780000,7.370000,8.21,0.000000,0,0,0.000000,0,0,0,0,106.780000,0.000000,0,0,0,0,16.080000,27,0,12.34,14.67,27,0,14.66,25.500000

5,01:00-01:15,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,71.360000,272.660000,0.000000,0,0,45,29.270000,7.270000,7.61,0.000000,0,0,0.000000,0,0,0,0,70.300000,0.000000,0,0,0,0,16.080000,27.67,0,12.66,15,27.67,0,15,25.500000

6,01:15-01:30,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,52,29.270000,7.270000,7.41,0.000000,0,0,0.000000,0,0,0,0,70.300000,0.000000,0,0,0,0,16.080000,34,0,12.66,17.33,34,0,17.34,25.500000

7,01:30-01:45,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,53.5,29.270000,7.270000,10.41,0.000000,0,0,0.000000,0,0,0,0,70.300000,0.000000,0,0,0,0,16.080000,35,0,12.66,17.83,35,0,17.84,25.500000

8,01:45-02:00,86.980000,2.950000,2.590000,261.810000,25.500000,0.000000,40.980000,0,2.990000,100.460000,272.660000,0.000000,0,0,55,29.270000,7.270000,10.21,0.000000,0,0,0.000000,0,0,0,0,70.300000,0.000000,0,0,0,0,16.080000,36,0,13,18.33,36,0,18.34,25.500000

