Block,Time Block,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,JHAJJAR,NTPL,PARBATI3,NLCTS2EXP,NLCIIST2,NNTPP,NAPP,KOTESHWR,KKNPPU2,KUDGI,KOLDAM,NJPC,MAPS,NLCEXP,NLCIIST1,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KGSU1AND2,KGSU3AND4,RAPPC,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,SIMHST2,RIHAND3,SALAL,SEWA2,SINGRAULI,RAPPB,RIHAND2,RIHAND1,SASAN,RAMPUR,RSTPSU1TO6,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TALA,URI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,ANTA_GF,ANTA_LF,ANTA_CRF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,19.16,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,91.22,0,0,0,50.09,0,0,0,0,87.8,40.07,0,93.58,0,91.58,60.67,401.03,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,19.16,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,78.14,0,0,0,50.09,0,0,0,0,87.8,40.07,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,18.22,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,78.14,0,0,0,50.09,0,0,0,0,87.8,40.07,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,17.69,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,78.14,0,0,0,50.09,0,0,0,0,87.8,40.07,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,16.28,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,78.14,0,0,0,50.09,0,0,0,0,87.8,8.9,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,15.38,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,78.14,0,0,0,50.09,0,0,0,0,87.8,1.34,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,15.03,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,94.55,0,0,0,50.09,0,0,0,0,119.1,1.34,0,93.58,0,91.58,60.67,401.18,0,0,0,5.52,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,14.55,0,0,11.11,15.79,364.18,344.76,0,0,0,0,0,42.46,8.51,0,0,0,0,0,0,0,18.34,0,94.55,0,0,0,50.09,0,0,0,0,119.1,1.34,0,93.58,0,91.58,60.67,401.18,0,0,0,0.24,0,22.66,0,0.53,0,0,5.97,0,0,4.13,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

