Time,Block,NR/2023/12168/A,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14746/A,NR/2023/16169/C,NR/2023/16176/C,NR/2023/14895/A,NR/2023/15402/F,NR/2023/16170/C,NR/2023/16193/C,NR/2023/12431/A,NR/2023/16157/C,NR/2023/12591/A,NR/2023/16174/C,NR/2023/13862/A,NR/2023/13635/A,NR/2023/12167/A,NR/2023/16154/C,NR/2023/16168/C,NR/2023/14737/A,NR/2023/16152/D,NR/2023/15937/F,NR/2023/14898/A,NR/2023/12053/A,NR/2023/16167/C,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12422/A,ER/2023/10074/C,NR/2023/12347/A,NR/2023/16156/C,WR/2023/18197/C,NR/2023/12148/A,NR/2023/16166/C,NR/2023/16155/C,NR/2023/16172/C,Total
,,APPCPL,ITCLH,NVVNL,IEXL,APPCPL,SJVNL,IEXL,MANIKARAN,SJVNL,SJVNL,IEXL,TPTCL,HPXL,NVVNL,IEXL,MANIKARAN,NVVNL,APPCPL,GBHHPL,HPXL,NVVNL,NVVNL,NVVNL,MANIKARAN,KEIPL,TPDDL,KEIPL,APPCPL,APPCPL,HPXL,STATKRAFT,HPXL,HPXL,GMRETL,HPXL,KEIPL,SJVNL,Total

,,UTTARAKHAND,ANDHRA PRADESH,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,KARNATAKA,NA,NA,NA,NA,NA,TAMIL NADU,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,GOA,HIMACHAL PRADESH,DELHI,TAMIL NADU,NA,DELHI,MEGHALAYA,DELHI,UTTAR PRADESH,NA,
,,UTTARAKHAND,ITCWIND,JPNIGRIE_JNSTPP,SAPU1234,HP,DIKCHU,MCCPL,HP,BCMLB001,SHIVSHAKTISUGAR,ACBIL,JPL-2,SEIL,JPNIGRIE_JNSTPP,SCLTPS,TANGEDCO,KAMENG,Meghalaya_Ben,GBHHPL,Teesta_III,SKS Raigarh,SOLAPUR_SOLAR,KAMENG,HP,Meghalaya_Ben,CHANJUII,Meghalaya_Ben,GOA_Beneficiary,HP,BYPL,TANGEDCO,SEILP2,BYPL,Meghalaya_Ben,BYPL,LAPL-UP,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,BALCO_WR,DELHI,UTTAR PRADESH,DELHI,DELHI,
,,BYPL,ITCLH,BRPL,MES (Delhi),BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,DIAPL,BRPL,NDMC,MES (Delhi),TPDDL,BRPL,BYPL,TPDDL,BYPL,BRPL,BYPL,VLSEZ,BYPL,BRPL,BALCO_LOAD,BYPL,NPCL(UP),BYPL,NDMC,
,,North-North,South-West-North,West-North,North-North,North-North,East-North,West-East-North,North-North,North-North,South-West-North,West-East-North,West-North,South-East-North,West-North,North-North,South-East-North,North East-East-North,North East-East-North,North-North,East-North,West-North,West-North,North East-East-North,North-North,North East-East-North,North-North,North East-East-North,West-North,North-North,North-East,South-West-North,South-East-North,North-West,North East-East-North,North-North,North-North,North-North,
1,00:00-00:15,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.500000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1382.19

2,00:15-00:30,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.500000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1382.19

3,00:30-00:45,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.500000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,62.000000,22.250000,0.000000,0.000000,0,1444.19

4,00:45-01:00,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.500000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,62.000000,22.250000,0.000000,0.000000,0,1444.19

5,01:00-01:15,46.620000,0.680000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.410000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.91

6,01:15-01:30,46.620000,0.680000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.410000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.91

7,01:30-01:45,46.620000,0.680000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.410000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.91

8,01:45-02:00,46.620000,0.680000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.410000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.91

9,02:00-02:15,46.620000,0.580000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.71

10,02:15-02:30,46.620000,0.580000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.71

11,02:30-02:45,46.620000,0.580000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,8.090000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,24.180000,36.850000,0.000000,98.660000,0.000000,83.000000,22.250000,0.000000,0.000000,0,1464.71

