Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01112023/30112023/HP-09,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01112023/30112023/HP-10,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/03112023/30112023/IEX-231101-05680,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,1.690000,68.000000,1.630000,0.000000,172.710000,48.200000,48.200000,183.180000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,214.910000,10.54,56.18,0,0,144.62,0,0,0,13.62,0,18.73,52.22,52.22,0,0,0,18.71,0,0,0,0,0

2,00:15-00:30,1.690000,55.550000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,214.910000,10.34,55.81,0,0,144.62,0,0,0,13.53,0,18.6,50.03,50.03,0,0,0,18.61,0,0,0,0,0

3,00:30-00:45,1.690000,55.550000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,194.970000,10.15,55.38,0,0,144.62,0,0,0,13.01,0,18.46,46.98,46.98,0,0,0,18.45,0,0,0,0,0

4,00:45-01:00,1.690000,31.820000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,163.900000,9.88,54.16,0,0,144.62,0,0,0,12.68,0,18.05,43.16,43.16,0,0,0,18.06,0,0,0,0,0

5,01:00-01:15,1.690000,31.820000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,125.330000,9.71,53.59,0,0,144.62,0,0,0,12.08,0,17.86,40.11,40.11,0,0,0,17.87,0,0,0,0,0

6,01:15-01:30,1.690000,31.820000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.52,53.16,0,0,144.62,0,0,0,11.55,0,17.72,38.72,38.72,0,0,0,17.71,0,0,0,0,0

7,01:30-01:45,1.690000,31.820000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.41,52.35,0,0,144.62,0,0,0,11.23,0,17.45,36.72,36.72,0,0,0,17.44,0,0,0,0,0

8,01:45-02:00,1.690000,31.820000,1.630000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.37,52.28,0,0,144.62,0,0,0,7,0,17.43,36.09,36.09,0,0,0,17.42,0,0,0,0,0

9,02:00-02:15,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.4,51.78,0,0,144.62,0,0,0,7,0,17.26,31.21,31.21,0,0,0,17.26,0,0,0,0,0

10,02:15-02:30,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.32,50.03,0,0,144.62,0,0,0,7,0,16.67,30.89,30.89,0,0,0,16.68,0,0,0,0,0

11,02:30-02:45,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,9.75,32.5,0,0,144.62,0,0,0,7,0,10.83,30.74,30.74,0,0,0,10.84,0,0,0,0,0

12,02:45-03:00,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,10.15,32.5,0,0,144.62,0,0,0,7,0,10.83,30.63,30.63,0,0,0,10.84,0,0,0,0,0

13,03:00-03:15,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,10.8,32.5,0,0,144.62,0,0,0,7,0,10.83,30.52,30.52,0,0,0,10.84,0,0,0,0,0

14,03:15-03:30,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,8.93,32.5,0,0,144.62,0,0,0,7,0,10.83,30.51,30.51,0,0,0,10.84,0,0,0,0,0

15,03:30-03:45,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,119.550000,8.69,32.5,0,0,144.62,0,0,0,7,0,10.83,30.22,30.22,0,0,0,10.84,0,0,0,0,0

16,03:45-04:00,1.610000,31.820000,1.550000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,148.470000,8.33,32,0,0,144.62,0,0,0,7,0,10.67,29.88,29.88,0,0,0,10.66,0,0,0,0,0

17,04:00-04:15,1.610000,55.550000,1.480000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,179.540000,7.86,31.5,0,0,144.62,0,0,0,7,0,10.5,29.54,29.54,0,0,0,10.5,0,0,0,0,0

18,04:15-04:30,1.610000,55.550000,1.480000,0.000000,172.710000,48.200000,48.200000,149.130000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,185.330000,7.41,31,0,0,144.62,0,0,0,7,0,10.33,29.22,29.22,0,0,0,10.34,0,0,0,0,0

19,04:30-04:45,1.610000,55.550000,0.940000,0.000000,172.710000,48.200000,48.200000,183.180000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,194.970000,7.41,29.34,0,0,144.62,0,0,0,7,0,9.78,28.84,28.84,0,0,0,9.79,0,0,0,0,0

20,04:45-05:00,1.610000,55.550000,0.940000,0.000000,172.710000,48.200000,48.200000,231.380000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,214.910000,7.41,50.67,0,0,144.62,0,0,0,7,0,16.89,33.33,33.33,0,0,0,16.88,0,0,0,0,0

21,05:00-05:15,1.610000,55.550000,0.940000,0.000000,172.710000,48.200000,48.200000,271.150000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,214.910000,7.41,49.74,0,0,144.62,0,0,0,7,0,16.58,41.05,41.05,0,0,0,16.58,0,0,0,0,0

22,05:15-05:30,1.610000,68.000000,0.940000,0.000000,172.710000,67.490000,48.200000,271.150000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,71.730000,26.020000,96.410000,0.000000,214.910000,7.41,48.38,0,0,144.62,0,0,0,7,0,16.13,40.39,40.39,0,0,0,16.12,0,0,0,0,0

23,05:30-05:45,1.610000,68.000000,1.400000,0.000000,172.710000,77.130000,48.200000,271.150000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,67.490000,26.020000,96.410000,0.000000,243.830000,7.41,46.94,0,0,144.62,0,0,0,7,0,15.65,44.35,44.35,0,0,0,15.65,0,0,0,0,0

24,05:45-06:00,1.610000,68.000000,1.400000,0.000000,172.710000,100.980000,48.200000,271.150000,0.000000,2.230000,73.760000,24.100000,26.020000,0.000000,48.200000,67.490000,26.020000,96.410000,0.000000,243.830000,7.01,46.69,0,0,144.62,0,0,0,8.94,0,15.56,50.46,50.46,0,0,0,15.56,0,0,0,0,0

25,06:00-06:15,1.530000,68.000000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.000000,2.230000,203.700000,24.100000,26.020000,0.000000,48.200000,67.490000,26.020000,96.410000,0.000000,243.830000,7.01,45.81,0,0,144.62,0,0,0,8.71,0,15.27,49.97,49.97,0,0.16,0,15.28,0,0,0,0,0

26,06:15-06:30,1.530000,68.000000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.000000,2.230000,203.700000,24.100000,26.020000,0.000000,48.200000,67.490000,26.020000,96.410000,0.000000,243.830000,7.01,45.54,0,0,144.62,2.04,0,0,8.75,0,15.18,49.48,49.48,0,0.32,0,15.18,0,0,1,0,0

27,06:30-06:45,1.530000,68.000000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.000000,2.230000,203.700000,24.100000,26.020000,0.000000,48.200000,67.490000,26.020000,96.410000,0.000000,243.830000,7.01,45.31,0,0,144.62,5.85,0,0,8.79,0,15.1,38.32,38.32,0,3.63,0,15.11,0.029181,0,3,0,0

28,06:45-07:00,1.530000,68.000000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.010000,2.230000,203.700000,23.140000,26.020000,0.010000,48.200000,67.490000,26.020000,96.410000,0.010000,243.830000,7.01,43.22,1.5,0.08,144.62,13.04,0,0,8.47,0,14.41,37.82,37.82,0.39,9.13,0,14.39,4.017251,0,10,3.5,0

29,07:00-07:15,1.530000,68.000000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.020000,2.180000,203.700000,23.140000,26.020000,0.020000,48.200000,86.770000,26.020000,96.410000,0.020000,243.830000,7.01,43.04,3,0.55,144.62,22.31,0,1,7,0,14.35,37.33,37.33,2.74,17.47,0,14.33,14.00688,2.55,17,7,0

30,07:15-07:30,1.530000,86.960000,1.400000,0.000000,0.000000,100.980000,48.200000,271.150000,0.190000,2.180000,203.700000,23.140000,26.020000,0.180000,48.200000,96.410000,26.020000,96.410000,0.180000,260.890000,7.01,44.44,4,0.85,144.62,28.16,0,1,7,1,14.81,37.54,37.54,4.24,27.34,0,14.82,23.821423,5,27,11,0.28

31,07:30-07:45,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,0.640000,2.180000,203.700000,23.140000,26.020000,0.630000,48.200000,105.090000,26.020000,96.410000,0.630000,260.890000,7.01,46.31,6,2.38,144.62,29,0,5,7,2,15.44,38.02,38.02,11.88,29,0,15.44,33.237159,9,29,14,1.42

32,07:45:08:00,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,1.220000,2.180000,203.700000,23.140000,26.020000,1.190000,48.200000,113.760000,26.020000,96.410000,1.190000,260.890000,7.01,49.22,10,4.53,144.62,29,0,9,7,5,16.41,40.16,40.16,22.68,29,0,16.39,43.460236,12,29,22,7.07

33,08:00-08:15,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,2.020000,2.180000,203.700000,23.140000,26.020000,1.980000,48.200000,117.620000,26.020000,96.410000,1.980000,260.890000,7.01,52.81,13,7.26,144.62,29.33,0,13,7,7,17.6,31.82,31.82,36.33,29.34,0,17.62,54.208571,8,29.33,32,13.62

34,08:15-08:30,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,3.020000,2.180000,203.700000,23.140000,26.020000,2.950000,48.200000,117.620000,26.020000,96.410000,2.950000,260.890000,7.01,53.1,18,10.39,144.62,29.5,0,18,7,9,17.7,30.88,30.88,51.96,29.5,0,17.71,65.024995,12.17,29.5,42,20.16

35,08:30-08:45,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,4.080000,2.180000,203.700000,23.140000,30.850000,3.980000,48.200000,117.620000,25.490000,96.410000,3.980000,260.890000,7.01,51.88,21,12.59,144.62,30.83,0,23,7,11,17.3,29.82,29.82,62.95,30.84,0,17.29,75.150802,15.24,30.83,49,26.71

36,08:45:09:00,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,5.210000,2.180000,203.700000,23.140000,30.850000,5.090000,48.200000,117.620000,25.490000,96.410000,5.090000,260.890000,7.01,47.85,25,15.77,144.62,30.83,0,28,7,14,15.95,28.88,28.88,78.84,30.84,0,15.95,84.43036,18.53,30.83,60,32.62

37,09:00:09:15,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,6.320000,2.180000,203.700000,23.140000,30.850000,6.170000,48.200000,117.620000,25.490000,96.410000,6.170000,260.890000,7.01,41.37,30,19.18,144.62,30.83,0,32,7,16,13.79,27.77,27.77,95.93,30.84,0,13.78,78.292623,21.98,30.83,70,38.68

38,09:15-09:30,1.530000,86.960000,1.550000,0.000000,0.000000,100.980000,48.200000,271.150000,7.370000,2.180000,203.700000,24.100000,30.850000,7.190000,48.200000,117.620000,25.490000,96.410000,7.190000,260.890000,7.01,33.53,34,22.41,144.62,30.83,0,39,7,19,11.18,26.82,26.82,112.07,30.84,0,11.16,86.288217,24.2,30.83,81,43.76

