Block,Time,RAPPC,CHAMERA2,NJPC,ANTA_GF,TANDA2,RIHAND2,CHAMERA3,DADRI_LF,DHAULIGNGA,UNCHAHAR3,TANAKPUR,PARBATI3,URI,NAPP,SINGRAULI,DADRI_GF,KOLDAM,KISHANGANGA,KOTESHWR,SEWA2,UNCHAHAR1,RIHAND3,SALAL,DADRI_RF,DADRT2,UNCHAHAR2,TEHRI,AURY_RF,BSIUL,SINGRAULI_HYDRO,AURY_LF,JHAJJAR,CHAMERA1,ANTA_LF,AURY_CRF,DULHASTI,RAPPB,RIHAND1,UNCHAHAR4,RAMPUR,ANTA_CRF,URI2,ANTA_RF,AURY_GF,DADRI_CRF,SASAN,BRBCL,TALA,FSTPP I & II,KUDGI,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,25.432968,0.000000,19.254593,0.000000,0.000000,56.726838,0.000000,0.000000,0.000000,25.550895,6.449374,0.000000,48.100176,19.233099,100.208700,0.000000,0.000000,0.000000,8.591807,0.000000,17.879168,119.733058,12.938057,0.000000,330.698392,24.376856,0.000000,0.000000,0.000000,0.592693,0.000000,447.308400,0.000000,0.000000,0.000000,31.909649,0.000000,89.074400,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,405.453114,19.364004,4.412087,13.796850,0.00,47.606491,43.489608,0,0,0,0,0

2,00:15-00:30,25.432968,0.000000,19.254593,0.000000,0.000000,56.726838,0.000000,0.000000,0.000000,25.550895,6.449374,0.000000,48.100176,19.233099,100.208700,0.000000,0.000000,0.000000,8.591807,0.000000,19.349477,119.733058,12.938057,0.000000,330.698392,24.376856,0.000000,0.000000,0.000000,0.592693,0.000000,447.308400,0.000000,0.000000,0.000000,31.909649,0.000000,89.074400,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,405.453114,19.364004,4.412087,13.796850,0.00,47.606491,43.489608,0,0,0,0,0

3,00:30-00:45,25.432968,0.000000,19.254593,0.000000,0.000000,56.726838,0.000000,0.000000,0.000000,25.550895,6.449374,0.000000,10.688928,19.233099,100.208700,0.000000,0.000000,0.000000,8.591807,0.000000,19.349477,119.733058,12.938057,0.000000,330.698489,24.376856,0.000000,0.000000,0.000000,0.592693,0.000000,447.308400,0.000000,0.000000,0.000000,31.909649,0.000000,89.074400,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,405.453114,18.946228,4.412087,13.796850,0.00,47.606491,43.489608,0,0,0,0,0

4,00:45-01:00,25.432968,0.000000,19.254593,0.000000,0.000000,56.726838,0.000000,0.000000,0.000000,25.550895,6.449374,0.000000,14.964499,19.233099,100.208700,0.000000,0.000000,0.000000,8.591807,0.000000,19.349477,119.733058,12.938057,0.000000,330.698489,24.376856,0.000000,0.000000,0.000000,0.592693,0.000000,447.308400,0.000000,0.000000,0.000000,31.909649,0.000000,89.074400,0.000000,0.000000,0.000000,30.883045,0.000000,0.000000,0.000000,405.453114,18.674839,4.412087,13.796850,0.00,47.606491,43.489608,0,0,0,0,0

5,01:00-01:15,25.432968,0.000000,19.254593,0.000000,0.000000,56.726838,0.000000,0.000000,0.000000,21.584664,6.449374,0.000000,14.964499,19.233099,100.208700,0.000000,0.000000,0.000000,8.591807,0.000000,17.058447,119.733058,12.938057,0.000000,330.698489,24.376856,0.000000,0.000000,0.000000,0.592693,0.000000,389.997350,0.000000,0.000000,0.000000,31.909649,0.000000,89.074400,0.000000,0.000000,0.000000,14.326649,0.000000,0.000000,0.000000,405.453114,16.836966,4.412087,13.796850,0.00,47.606491,43.489608,0,0,0,0,0

