Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/2563,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,GNA/WR/2025/03/01/6406,NR/26072023/31072042/L_NR_2023_07,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/03/01/5143
1,00:00-00:15,18.83,0,0,56.51,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,2.07,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,53,53,7,11.66,0,0,18.83,237.82

2,00:15-00:30,18.67,0,0,55.99,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,2.07,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,52,52,7,11.66,0,0,18.67,237.82

3,00:30-00:45,18.67,0,0,55.99,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,2.07,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,45,45,7,10.66,0,0,18.67,237.82

4,00:45-01:00,18.67,0,0,55.99,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,2.07,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,43.67,43.66,7,10.66,0,0,18.67,237.82

5,01:00-01:15,19.33,0,0,58.01,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,1.99,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,41.33,41.34,7,11,0,0,19.33,237.82

6,01:15-01:30,19.83,0,0,59.51,0,0,26.99,1.36,0,23.41,0,26.99,6.75,272.49,8.67,64.2,23.41,23.41,0,100.4,17.35,200,1.99,30.78,5.07,70.28,194.89,1.87,0,79.27,42,0,0,0,0,0,0,0,0,39.33,39.34,7,11.34,0,0,19.83,237.82

