Block,Time,DADRT2,KKNP,PARBATI2,VALLURNTECL,CHAMERA1,KHSTPP-II,KISHANGANGA,KOTESHWR,NAPP,NJPC,PARBATI3,RSTPSU7,SALAL,TALA,TEHRIPSP,ANTA_GF,AURY_RF,DULHASTI,NNTPP,RIHAND2,UNCHAHAR2,AURY_LF,DADRI_CRF,CHAMERA3,NLCIIST2,SASAN,SINGRAULI_HYDRO,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_GF,DADRI_RF,KHSTPP-I,MAPS,RAPPD,RIHAND3,SEWA2,TEHRI,ANTA_RF,DADRI_LF,BSIUL,CHAMERA2,DHAULIGNGA,JHAJJAR,NLCIIST1,RAPPC,RSTPSU1TO6,SIMHST1,BRBCL,FSTPP I & II,KGSU3AND4,KKNPPU2,KUDGI,NLCEXP,NLCTS2EXP,NTPL,RAPPB,RIHAND1,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR4,URI,URI2,ANTA_CRF,AURY_CRF,KGSU1AND2,KOLDAM,RAMPUR,SIMHST2,SINGRAULI,TANDA2,UNCHAHAR1
1,00:00-00:15,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,57.24,0,84.83,26.04,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.09,0,19.56,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,13.11,0,2.76,30.91,37.42,0,0,0,8.62,0,0,113.75,5.73,21.65

2,00:15-00:30,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,57.24,0,84.83,26.04,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.09,0,19.56,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,13.11,0,2.76,30.91,37.42,0,0,0,8.62,0,0,113.75,5.73,21.65

3,00:30-00:45,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,57.24,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.09,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,30.91,37.42,0,0,0,8.62,0,0,113.75,5.73,21.65

4,00:45-01:00,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,57.24,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.09,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,30.91,37.42,0,0,0,8.62,0,0,113.75,5.73,21.65

5,01:00-01:15,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.34,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,28.71,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

6,01:15-01:30,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,45.53,0,24.52,130.84,9.28,76.18,52.34,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,28.71,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

7,01:30-01:45,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.34,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,28.71,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

8,01:45-02:00,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.22,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.34,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,28.71,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

9,02:00-02:15,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

10,02:15-02:30,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

11,02:30-02:45,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

12,02:45-03:00,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,84.83,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,11.06,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

13,03:00-03:15,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

14,03:15-03:30,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,26.13,0,0,81.56,38.31,0,125.27,45,0,0,33.94,0,418.77,0,26.08,0,0,0,106.04,46.4,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

15,03:30-03:45,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,26.13,0,0,81.56,38.31,0,125.27,45,0,0,25.28,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

16,03:45-04:00,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,26.13,0,0,81.56,38.31,0,125.27,45,0,0,25.28,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.59,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

17,04:00-04:15,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,26.13,0,0,81.56,38.31,0,125.27,45,0,0,25.28,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

18,04:15-04:30,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,25.98,0,0,81.56,38.31,0,125.27,45,0,0,25.28,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

19,04:30-04:45,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,25.98,0,0,81.56,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

20,04:45-05:00,689.38,0,49.26,0,42.15,98.87,6.96,40.57,24.36,0,0,0,82.5,25.84,0,0,81.56,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,24.29,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

21,05:00-05:15,689.38,0,49.26,0,42.15,98.87,6.96,30.43,24.36,0,0,0,82.5,25.55,0,0,81.56,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,25.39,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

22,05:15-05:30,689.38,0,49.26,0,42.15,98.87,6.96,30.43,24.36,0,0,0,82.5,25.25,0,0,81.43,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,25.39,23.38,0,0,0,8.62,0,0,113.75,5.73,21.65

23,05:30-05:45,689.38,0,49.26,0,42.15,98.87,6.96,30.43,24.36,0,0,0,82.5,24.96,0,0,81.43,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,25.39,21.82,0,0,0,8.62,0,0,113.75,5.73,21.65

24,05:45-06:00,689.38,0,49.26,0,42.15,98.87,4.64,30.43,24.36,0,0,0,82.5,24.66,0,0,81.43,38.31,0,125.27,45,0,0,22.6,0,418.77,0,26.08,0,0,0,106.04,45.83,0,24.52,130.84,9.28,76.18,52.85,0,13.04,47.12,42.46,667.25,0,65.42,0,0,24.99,20.15,0,0,0,0,0,0,0,48.09,0,9.86,0,2.76,25.39,21.82,0,0,0,8.62,0,0,113.75,5.73,21.65

