Time,Block,NR/2023/16187/A,NR/2023/17901/A/1104,NR/2023/18033/C,NR/2023/17064/A,NR/2023/17905/A/1083,WR/2023/18560/A,NR/2023/18036/C,WR/2023/18560/A/II,WR/2023/20254/A/1124,NR/2023/18034/C,WR/2023/20256/A/1125,Total
,,APPCPL,ITCLH,TPDDL,GMRETL,IEXL,MANIKARAN,SJVNL,MANIKARAN,APPCPL,NVVNL,MANIKARAN,Total

,,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,NA,DELHI,
,,BYPL,ITCWIND,CHANJUII,BYPL,BSHP,BYPL,RSRPL_BKN,BYPL,BRPL,SOLAPUR_SOLAR,BRPL,
,,HIMACHAL PRADESH,DELHI,DELHI,RAJASTHAN,DELHI,MAHARASHTRA,DELHI,MAHARASHTRA,GOA,DELHI,GOA,
,,HP,ITCLH,TPDDL,RUVNL,MES (Delhi),AEML,NDMC,AEML,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,North-North,South-West-North,North-North,North-North,North-North,North-West,North-North,North-East-West,North-West,West-North,North-West,
1,00:00-00:15,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

2,00:15-00:30,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

3,00:30-00:45,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

4,00:45-01:00,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

5,01:00-01:15,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

6,01:15-01:30,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

7,01:30-01:45,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

8,01:45-02:00,76.880000,0.480000,2.940000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.23

9,02:00-02:15,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

10,02:15-02:30,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

11,02:30-02:45,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

12,02:45-03:00,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

13,03:00-03:15,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

14,03:15-03:30,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

15,03:30-03:45,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

16,03:45-04:00,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

17,04:00-04:15,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

18,04:15-04:30,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

19,04:30-04:45,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

20,04:45-05:00,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

21,05:00-05:15,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

22,05:15-05:30,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

23,05:30-05:45,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

24,05:45-06:00,76.880000,0.430000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.09

25,06:00-06:15,0.000000,0.430000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.21

26,06:15-06:30,0.000000,0.430000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.21

27,06:30-06:45,0.000000,0.430000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.21

28,06:45-07:00,0.000000,0.430000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.21

29,07:00-07:15,0.000000,0.580000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.36

