Column1,Time,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,GNA/NR/2025/06/07/5932,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/2414,GNA/NR/2025/07/01/1044,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/8128,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,0,13.22,0,0,13.22,0,11.05,0,0,39.64,0,0,35,35,0,0,35.01,0,129.86,115.17,9.31,10.46,99.99,8.49,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,5.88,24.23,10.71,0,0,0,9.09,26.94

2,00:15-00:30,0,0,0,13.54,0,0,13.54,0,11.29,0,0,40.59,0,0,35.67,35.66,0,0,34.41,0,129.86,115.17,9.31,10.46,99.99,8.49,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,5.88,25.23,10.71,0,0,0,12.62,26.94

3,00:30-00:45,0,0,0,13.87,0,0,13.87,0,11.56,0,0,41.58,0,0,36.67,36.66,0,0,35.02,0,129.86,115.17,9.31,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

4,00:45-01:00,0,0,0,14.2,0,0,14.2,0,11.81,0,0,42.57,0,0,38,38,0,0,35.02,0,129.86,115.17,9.31,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

5,01:00-01:15,0,0,0,14.03,0,0,14.03,0,13.67,0,0,42.06,0,0,37.67,37.66,0,0,33.62,0,129.86,115.17,8.38,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

6,01:15-01:30,0,0,0,13.89,0,0,13.89,0,13.67,0,0,41.69,0,0,36.67,36.66,0,0,33.02,0,129.86,115.17,8.38,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

7,01:30-01:45,0,0,0,13.75,0,0,13.75,0,13.67,0,0,41.24,0,0,35.33,35.34,0,0,34.81,0,129.86,115.17,8.38,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

8,01:45-02:00,0,0,0,13.57,0,0,13.57,0,13.33,0,0,40.7,0,0,35,35,0,0,34.21,0,129.86,115.17,8.38,10.46,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,33.59,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

9,02:00-02:15,0,0,0,15.15,0,0,15.15,0,13,0,0,45.46,0,0,35,35,0,0,34.01,0,129.86,115.17,7.45,10.46,99.99,4.67,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

10,02:15-02:30,0,0,0,15.24,0,0,15.24,0,12.67,0,0,45.73,0,0,34.67,34.66,0,0,33.61,0,129.86,115.17,7.45,10.46,99.99,4.65,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,25.23,10.71,0,0,0,12.62,26.94

11,02:30-02:45,0,0,0,11.76,0,0,11.76,0,10.94,0,0,35.26,0,0,34.33,34.34,0,0,35.61,0,129.86,115.17,7.45,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,26.75,10.71,0,0,0,12.62,26.94

12,02:45-03:00,0,0,0,11.69,0,0,11.69,0,10.68,0,0,35.05,0,0,33.67,33.66,0,0,35.01,0,129.86,115.17,7.45,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,26.75,10.71,0,0,0,12.62,26.94

13,03:00-03:15,0,0,0,12.04,0,0,12.04,0,10.67,0,0,36.11,0,0,33.67,33.66,0,0,28.01,0,129.86,115.17,7.45,10.45,99.99,3.99,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,26.75,10.71,0,0,0,12.62,26.94

14,03:15-03:30,0,0,0,12.32,0,0,12.32,0,10.82,0,0,36.97,0,0,34.33,34.34,0,0,27.01,0,129.86,115.17,7.45,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.22,26.75,10.71,0,0,0,12.62,26.94

15,03:30-03:45,0,0,0,12.66,0,0,12.66,0,11.05,0,0,37.98,0,0,35,35,0,0,17.61,0,129.86,115.17,7.45,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

16,03:45-04:00,0,0,0,13.03,0,0,13.03,0,11.35,0,0,39.09,0,0,35,35,0,0,17.01,0,129.86,115.17,7.45,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

17,04:00-04:15,0,0,0,12.73,0,0,12.73,0,11.75,0,0,38.17,0,0,36.33,36.34,0,0,13.02,0,129.86,115.17,6.98,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

18,04:15-04:30,0,0,0,13.54,0,0,13.54,0,12.28,0,0,40.61,0,0,37.67,37.66,0,0,12.23,0,129.86,115.17,6.98,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

19,04:30-04:45,0,0,0,14.47,0,0,14.47,0,12.87,0,0,43.38,0,0,39,39,0,0,10.41,0,129.86,115.17,6.98,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

20,04:45-05:00,0,0,0,15.29,0,0,15.29,0,13.55,0,0,45.84,0,0,40.33,40.34,0,0,8.94,0,129.86,115.17,6.98,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.75,10.71,0,0,0,9.75,26.94

21,05:00-05:15,0,0,0,14.2,0,0,14.2,0,13.35,0,0,42.58,0,0,40,40,0,0,8.4,0,129.86,115.17,6.52,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.24,10.71,0,0,0,9.75,26.94

22,05:15-05:30,0,0,0,13.15,0,0,13.15,0,12.7,0,0,39.43,0,0,39.67,39.66,0,0,8,0,129.86,115.17,6.52,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,25.23,10.71,0,0,0,9.75,26.94

23,05:30-05:45,0,0,0,12.11,0,0,12.11,0,11.9,0,0,36.35,0,0,39.33,39.34,0,0,8,0,129.86,115.17,6.52,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,26.24,10.71,0,0,0,9.75,26.94

24,05:45-06:00,0.01,0.87,0,11.18,0,0,11.18,0,11.12,0,0,33.52,0,0,39,39,0.18,0,8,0.28,129.86,115.17,6.52,10.45,99.99,4.4,20.71,19.2,15.21,-0,26.94,20.4,86.57,14.54,81.58,14.54,28.86,20.4,81.58,0,269.94,40.79,3.19,25.23,10.71,0,0,0,9.75,26.94

