Column1,Time,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/23/7329,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,2.78,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,10.51,86.93,0,271.07,130.4,18.73,0,0,0,0,27.26,7.29,115.62,10.76,20.01,0,0,0,35,105,0,33,0,0,35,81.66,0,0,0,0,81.67

2,00:15-00:30,2.78,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,10.51,86.93,0,271.07,130.4,18.73,0,0,0,0,27.26,7.29,115.62,10.76,20.01,0,0,0,35,105,0,33.33,0,0,35,81.66,0,0,0,0,81.67

3,00:30-00:45,2.78,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,10.51,86.93,0,271.07,130.4,18.73,0,0,0,0,27.26,7.29,106.23,10.76,20.01,0,0,0,35,105,0,33.67,0,0,35,81.66,0,0,0,0,81.67

4,00:45-01:00,2.78,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,10.51,86.93,0,271.07,130.4,18.73,0,0,0,0,27.26,7.29,85.01,10.76,20.01,0,0,0,35,105,0,33.33,0,0,35,81.66,0,0,0,0,81.67

5,01:00-01:15,3.25,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,0,76.42,0,271.07,112.73,18.73,0,0,0,0,27.26,7.01,70.28,10.76,20.01,0,0,0,35,105,0,33.67,0,0,35,81.66,0,0,0,0,81.67

6,01:15-01:30,3.25,4.01,12.67,43.8,81.92,20.79,163.85,135.17,-0,0,15.28,49.15,19.28,0,0,26.93,26.93,0,76.42,0,271.07,112.73,18.73,0,0,0,0,27.26,7.01,70.28,10.76,20.01,0,0,0,35,105,0,34,0,0,35,81.66,0,0,0,0,81.67

