Block,Time Block,RAPPB,RIHAND2,RSTPSU7,RIHAND1,NTPL,RAMPUR,RSTPSU1TO6,RAPPC,PARBATI3,RIHAND3,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,KOTESHWR,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,MAPS,NNTPP,NAPP,NLCEXP,DADRI_LF,AURY_GF,DADRI_GF,AURY_CRF,DADRI_CRF,DADRI_RF,AURY_LF,AURY_RF,BSIUL,CHAMERA3,FSTPP I & II,CHAMERA2,DHAULIGNGA,BRBCL,DULHASTI,DADRT2,CHAMERA1,KUDGI,ANTA_GF,ANTA_RF,ANTA_LF,VALLURNTECL,ANTA_CRF,URI,UNCHAHAR3,UNCHAHAR4,URI2,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR1,TALA,TALST2,SALAL,SEWA2,SINGRAULI_HYDRO,SIMHST2,TANDA2,SASAN,SINGRAULI,TANAKPUR,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,327.21,0,0,0,0,0,0,0,1.28,19.28,0,4.27,0,22.5,0,15.02,0,0,1.35,0,0,0,0,402.86,121.17,8.01,0,0,0,0,0,0

2,00:15-00:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,277.19,0,0,0,0,0,0,0,1.28,19.28,0,4.27,0,22.5,0,14.9,0,0,1.35,0,0,0,0,402.86,121.17,8.01,0,0,0,0,0,0

3,00:30-00:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,336.51,0,0,0,0,0,0,0,1.28,19.28,0,4.27,0,22.5,0,14.9,0,0,1.35,0,0,0,0,402.86,121.17,8.01,0,0,0,0,0,0

4,00:45-01:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

5,01:00-01:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

6,01:15-01:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

7,01:30-01:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

8,01:45-02:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

9,02:00-02:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,28.9,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

10,02:15-02:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,74.02,0,0,0,0,28.9,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,8.01,0,0,0,0,0,0

11,02:30-02:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,61.37,0,0,0,0,28.9,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,8.01,0,0,0,0,0,0

12,02:45-03:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,61.37,0,0,0,0,28.9,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

13,03:00-03:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,61.37,0,0,0,0,28.9,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

14,03:15-03:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,52.31,0,0,0,0,24.55,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

15,03:30-03:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,71.28,0,0,0,0,32.22,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

16,03:45-04:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,79.94,0,0,0,0,32.22,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

17,04:00-04:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,71.28,0,0,0,0,32.22,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

18,04:15-04:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,71.28,0,0,0,0,32.22,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,14.26,0,4.27,0,22.5,0,11.55,0,0,1.35,0,0,0,0,402.86,104.44,8.01,0,0,0,0,0,0

19,04:30-04:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,363.77,0,0,0,0,0,0,0,1.28,16.85,0,4.27,0,22.5,0,13.13,0,0,1.35,0,0,0,0,402.86,104.44,8.01,0,0,0,0,0,0

20,04:45-05:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,364.26,0,0,0,0,0,0,0,1.28,21.88,0,4.27,0,35.15,0,17.04,0,0,1.35,0,0,0,0,402.86,104.44,2.59,0,0,0,0,0,0

21,05:00-05:15,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,346.19,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,399.22,0,0,0,0,0,0,0,1.28,21.88,0,4.27,0,32.05,0,17.04,0,0,1.35,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

22,05:15-05:30,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,365.02,0,0,8.54,0,0,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,379.98,0,0,0,0,0,0,0,1.28,21.88,0,4.27,0,35.15,14.97,17.04,0,0,1.35,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

23,05:30-05:45,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,372.72,0,0,17.08,0,20.04,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,421.23,0,0,0,0,0,0,0,1.28,21.88,0,4.27,0,35.15,29.94,17.04,0,0,8.94,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

24,05:45-06:00,0,114.24,0,88.5,0,0,0,51.27,0,119.6,81.98,0,0,0,0,37.5,360.21,0,0,17.08,0,40.99,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,14.43,15.85,437.84,0,0,0,0,0,0,0,1.28,21.88,0,4.27,0,35.15,44.91,17.04,0,0,40.24,0,0,0,0,402.86,121.17,2.59,0,0,0,0,0,0

25,06:00-06:15,0,114.24,0,88.5,0,0,0,51.27,3.67,119.6,92.31,0,0,0,0,43.5,379.79,0,0,25.62,0,63.77,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,14.43,15.85,418.6,0,0,0,0,0,0,0,1.28,25.39,0,4.27,0,35.15,59.87,18.88,0,0,40.24,0,0,0,0,402.86,121.17,6.03,0,0,0,0,0,0

26,06:15-06:30,0,114.24,0,88.5,0,0,0,51.27,15.92,119.6,95.11,0,0,0,0,43.5,466.37,0,0,25.62,0,86.54,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,9.3,11.26,3.2,7.75,14.43,15.85,408.98,0,0,0,0,0,0,0,1.28,25.39,0,4.27,0,40.78,59.87,19.78,0,0,40.24,0,0,0,0,402.86,121.17,6.03,0,0,0,0,0,0

27,06:30-06:45,0,114.24,0,88.5,0,0,0,51.27,15.92,119.6,95.11,0,0,0,0,43.5,495.23,0,0,38.32,0,109.32,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,27.97,11.26,7.7,15.37,14.43,31.7,468.57,13.52,0,0,0,0,0,0,1.28,25.39,0,4.27,0,40.78,59.87,19.78,0,0,40.24,5.07,0,0,0,402.86,121.17,0,0,0,0,0,0,0

28,06:45-07:00,0,114.24,0,88.5,0,0,0,51.27,15.92,119.6,95.11,0,0,0,0,43.5,572.19,0,0,38.32,0,135.02,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,27.97,11.26,38.01,15.37,14.43,31.7,562.9,13.52,0,0,0,0,0,0,1.28,25.39,0,4.27,0,40.78,59.87,19.78,0,0,40.24,5.07,0,0,0,402.86,121.17,0,0,0,0,0,0,0

29,07:00-07:15,0,114.24,0,88.5,0,0,0,51.27,15.92,119.6,95.11,0,0,0,0,43.5,629.44,0,0,38.32,0,135.02,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,27.97,11.26,38.01,30.76,14.43,31.7,648.56,13.52,0,0,0,0,0,0,25.48,25.39,0,4.27,0,40.78,59.87,19.78,0,0,40.24,5.07,0,0,0,402.86,121.17,0,0,0,0,0,0,0

30,07:15-07:30,0,114.24,0,88.5,0,0,0,51.27,15.92,119.6,95.11,0,0,0,0,43.5,629.44,0,0,38.32,0,135.02,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,27.97,11.26,38.01,35.16,14.43,31.7,656.84,13.52,0,0,0,0,0,0,25.48,25.39,0,4.27,0,40.78,59.87,19.78,0,0,8.94,5.07,0,0,0,402.86,121.17,0,0,0,0,0,0,0

