Column1,Time,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/9606,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/03/01/6406,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNARE/NR/2024/12/20/3668
1,00:00-00:15,8.67,23.41,23.41,237.82,0,7,0,1.55,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,6.09,0,12.5,0,12.5,28.67,37.5,0,0,28.66,11.34,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,8.67,23.41,23.41,237.82,0,6.6,0,2.33,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,6.09,0,12.5,0,12.5,30.33,37.5,0,0,30.34,11,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,8.67,23.41,23.41,237.82,0,6.2,0,2.33,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,6.09,0,12.5,0,12.5,32,37.5,0,0,32,11,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,8.67,23.41,23.41,237.82,0,5.8,0,2.33,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,6.09,0,12.5,0,12.5,33.67,37.5,0,0,33.66,10.66,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,8.67,23.41,23.41,237.82,0,5.2,0,2.33,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,5.99,0,12.5,0,12.5,35.67,37.5,0,0,35.66,10.66,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,8.67,23.41,23.41,237.82,0,4.6,0,2.33,0,200,115.26,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,32,5.99,0,13.33,0,13.33,38.33,40.01,0,0,38.34,11,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,8.67,23.41,23.41,237.82,0,4.48,0,2.33,32,200,61.41,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,25.87,5.99,0,14.33,0,14.33,35,43.01,0,0,35,11.34,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,8.67,23.41,23.41,237.82,0,4.42,0,2.33,32,200,61.41,0,2.46,17.35,86.93,42,1.4,23.41,6.75,272.49,31.29,260.78,0,0,79.27,25.87,5.99,0,15.67,0,15.67,35.67,46.99,0,0,35.66,11.66,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,8.67,23.41,23.41,237.82,0,4.08,0,2.1,32,0,61.41,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,25.87,5.99,0,16.5,0,16.5,36.33,49.5,0,0,36.34,11.66,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,61.41,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16.83,0,16.83,37,50.51,0,0,37,11.66,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,61.41,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,17,0,17,38,51,0,0,38,12,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,61.41,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,17.17,0,17.17,39,51.49,0,0,39,12,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,61.41,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,17,0,17,40,51,0,0,40,12.34,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,70.28,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16.67,0,16.67,40.33,49.99,0,0,40.34,12.34,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,70.28,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16.33,0,16.33,41,49.01,0,0,41,12,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,8.67,23.41,23.41,237.82,0,4.08,0,2.1,26.99,0,70.28,0,2.3,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16.17,0,16.17,41.33,48.49,0,0,41.34,11.66,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,70.28,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16,0,16,42,48,0,0,42,13.66,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,70.28,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,15.5,0,15.5,42.67,46.5,0,0,42.66,13.34,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,70.28,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,17.17,0,17.17,48.33,51.49,0,0,48.34,12.66,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,70.28,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.99,0,16.67,0,16.67,47.33,49.99,0,0,47.34,12.66,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,61.41,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.91,0,16.17,0,16.17,47.67,48.49,0,0,47.66,12,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,8.67,23.41,23.41,237.82,0,4.08,0,1.95,26.99,0,61.41,0,2.15,17.35,86.93,42,1.69,23.41,6.75,272.49,31.29,260.78,0,0,79.27,26.99,5.91,0,15.33,0,15.33,48.33,46.01,0,0,48.34,11.66,0,0,0,0,0,0,0,0,0,0

