Block,Time,CHAMERA2,DULHASTI,JHAJJAR,KKNP,NLCIIST1,RAMPUR,SASAN,UNCHAHAR3,URI2,ANTA_CRF,DADRI_LF,CHAMERA1,DADRT2,KGSU1AND2,NAPP,NLCTS2EXP,NNTPP,RAPPD,RIHAND1,SEWA2,TEHRI,UNCHAHAR4,VALLURNTECL,AURY_LF,BRBCL,DHAULIGNGA,KGSU3AND4,KHSTPP-II,KOLDAM,KUDGI,NJPC,RIHAND3,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TANDA2,AURY_GF,DADRI_RF,CHAMERA3,KHSTPP-I,KISHANGANGA,KKNPPU2,KOTESHWR,MAPS,NLCIIST2,RAPPB,TALA,ANTA_LF,DADRI_CRF,FSTPP I & II,PARBATI3,RIHAND2,SALAL,SIMHST1,TEHRIPSP,UNCHAHAR1,NLCEXP,NTPL,SIMHST2,UNCHAHAR2,BSIUL,RSTPSU1TO6,TALST2,TelanganaSTPP,ANTA_GF,ANTA_RF,AURY_RF,PARBATI2,RAPPC,RSTPSU7,URI,AURY_CRF,DADRI_GF
1,00:00-00:15,48.9,57.86,670.85,0,0,7.04,348.98,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,52.36,0,0

2,00:15-00:30,48.9,57.86,670.85,0,0,7.04,348.98,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,52.36,0,0

3,00:30-00:45,48.9,57.86,670.85,0,0,7.04,342,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,52.36,0,0

4,00:45-01:00,48.9,57.86,670.85,0,0,7.04,342,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,52.36,0,0

5,01:00-01:15,48.9,57.86,670.85,0,0,7.04,342,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

6,01:15-01:30,48.9,57.86,670.85,0,0,7.04,342,27.99,40.23,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,24.87,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

7,01:30-01:45,48.9,57.86,670.85,0,0,7.04,342,27.99,29.77,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,7.68,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

8,01:45-02:00,48.9,57.86,670.85,0,0,7.04,342,27.99,29.77,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,7.68,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

9,02:00-02:15,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

10,02:15-02:30,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

11,02:30-02:45,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

12,02:45-03:00,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,85.41,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.24,82.27,0,68.39,0,37.53,0,0

13,03:00-03:15,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

14,03:15-03:30,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,12.81,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

15,03:30-03:45,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

16,03:45-04:00,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,45.04,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

17,04:00-04:15,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,33.77,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

18,04:15-04:30,48.9,38.68,670.85,0,0,7.04,342,27.99,32.18,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,33.77,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.64,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

19,04:30-04:45,48.9,38.68,670.85,0,0,7.04,342,27.99,28.96,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,33.77,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.54,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

20,04:45-05:00,48.9,38.68,670.85,0,0,7.04,342,27.99,28.96,0,0,42.15,590.85,0,25.42,0,0,26.14,99.81,0,33.77,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,29.28,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

21,05:00-05:15,48.9,38.68,670.85,0,0,7.04,342,27.99,28.96,0,0,42.15,690.85,0,25.42,0,0,26.14,99.81,0,33.77,3.98,0,0,24.99,43.85,0,148.3,10.65,0,181.16,132.37,152.87,1.13,11.91,7.07,0,76.68,35.09,45.53,8.71,0,10.44,0,0,0,28.91,0,0,20.8,0,126.8,81.34,0,0,21.83,0,0,0,45.62,13.04,0,0,0,0,53.9,82.27,0,68.39,0,37.53,0,0

