Block,Time,BSIUL,KGSU1AND2,KKNPPU2,KOLDAM,KOTESHWR,MAPS,NAPP,RAMPUR,SIMHST1,TANDA2,AURY_GF,KISHANGANGA,RAPPB,SEWA2,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_GF,DADRI_LF,JHAJJAR,KUDGI,TALST2,UNCHAHAR2,DADRI_RF,KGSU3AND4,SINGRAULI,URI,ANTA_CRF,ANTA_RF,DADRI_CRF,BRBCL,CHAMERA1,NLCEXP,NLCIIST2,RIHAND2,TALA,UNCHAHAR4,AURY_RF,DADRI_GF,CHAMERA3,DULHASTI,KHSTPP-I,KHSTPP-II,NJPC,NLCTS2EXP,RIHAND1,RIHAND3,RSTPSU1TO6,TANAKPUR,TEHRI,ANTA_LF,DADRT2,DHAULIGNGA,KKNP,NLCIIST1,NNTPP,NTPL,PARBATI3,RAPPC,SASAN,UNCHAHAR3,AURY_LF,CHAMERA2,FSTPP I & II,RSTPSU7,SALAL,TelanganaSTPP,URI2,VALLURNTECL,AURY_CRF
1,00:00-00:15,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,19.62,99.89,0,87.24,16.56,0,31.94,0,15,28.1,0,0,58.1,5.53,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,53.16,0,686.07,40.2,0,0,0,0,3.94,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

2,00:15-00:30,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,19.62,99.89,0,87.24,16.56,0,31.94,0,15,14.05,0,0,58.1,5.53,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,53.16,0,686.07,40.2,0,0,0,0,3.94,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

3,00:30-00:45,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,19.62,99.89,0,87.24,16.56,0,31.94,0,15,14.05,0,0,58.1,5.53,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,35.44,0,686.07,40.2,0,0,0,0,3.94,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

4,00:45-01:00,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,19.62,99.89,0,87.24,16.56,0,31.94,0,15,0,0,0,58.1,5.53,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,35.44,0,686.07,40.2,0,0,0,0,3.94,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

5,01:00-01:15,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,23.07,99.89,0,87.24,16.56,0,31.94,0,15,0,0,0,58.1,5.67,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,17.72,0,686.07,40.2,0,0,0,0,2.81,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

6,01:15-01:30,6.52,0,0,4.01,9.66,0,44.75,3.12,0,2.89,0,0,0,0,0,0,20.96,0,0,413.81,0,0,23.07,99.89,0,87.24,16.56,0,31.94,0,15,0,0,0,58.1,5.67,1.62,77.94,0,21.37,54.53,44.92,98.87,144.85,0,47.33,127.6,0,10.96,17.72,0,686.07,40.2,0,0,0,0,2.81,59.94,418.77,0,0,26.85,20.8,0,79.38,0,35.46,0,0

