Time,Block,NR/2023/13253/A,NR/2023/13242/A,NR/2023/16073/A,NR/2023/17143/C,NR/2023/13165/A,NR/2023/17145/C,NR/2023/13254/A,NR/2023/16993/F,NR/2023/16291/F,NR/2023/16185/A,NR/2023/17140/D,NR/2023/15770/A,NR/2023/13150/A,NR/2023/13148/A,NR/2023/13387/A,NR/2023/13383/A,NR/2023/16077/A,NR/2023/17155/C,NR/2023/16191/A,NR/2023/17151/C,NR/2023/13385/A,NR/2023/17153/C,ER/2023/10953/C,NR/2023/17144/C,Total
,,APPCPL,APPCPL,APPCPL,GBHHPL,GMRETL,SJVNL,APPCPL,NVVNL,ITCLH,MANIKARAN,NVVNL,NVVNL,KEIPL,KEIPL,NVVNL,APPCPL,APPCPL,SJVNL,MANIKARAN,HPXL,NVVNL,TPDDL,IEXL,SJVNL,Total

,,UTTARAKHAND,SIKKIM,GOA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,MEGHALAYA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MP,HIMACHAL PRADESH,DELHI,ARUNACHAL PRADESH,
,,UTTARAKHAND,SIKKIM,GOA_Beneficiary,GBHHPL,Meghalaya_Ben,BCMLB001,Meghalaya_Ben,KAMENG,ITCWIND,HP,SOLAPUR_SOLAR,SKS Raigarh,Meghalaya_Ben,Meghalaya_Ben,JPNIGRIE_JNSTPP,HP,HP,RSRPL_BKN,HP,Teesta_III,JP BINA,CHANJUII,BYPL,Arunachal_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,
,,BYPL,BYPL,BRPL,DIAPL,BYPL,NDMC,BYPL,TPDDL,ITCLH,BRPL,MES (Delhi),NDMC,BYPL,BYPL,BRPL,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,IPCL_WB,NDMC,
,,North-North,East-North,West-North,North-North,North East-East-North,North-North,North East-East-North,North East-East-North,South-West-North,North-North,West-North,West-North,North East-East-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,East-North,West-North,North-North,North-East,North East-East-North,
1,00:00-00:15,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.860000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,34.550000,49.660000,10.360000,20.000000,0.000000,965.36

2,00:15-00:30,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.860000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.360000,20.000000,0.000000,930.81

3,00:30-00:45,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.860000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.360000,20.000000,0.000000,930.81

4,00:45-01:00,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.860000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.360000,20.000000,0.000000,930.81

5,01:00-01:15,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,132.180000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.260000,20.000000,0.000000,905.15

6,01:15-01:30,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,132.180000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.260000,20.000000,0.000000,905.15

7,01:30-01:45,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,132.180000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.260000,20.000000,0.000000,905.15

8,01:45-02:00,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,132.180000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.260000,20.000000,0.000000,905.15

9,02:00-02:15,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.170000,20.000000,0.000000,930.38

10,02:15-02:30,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.170000,20.000000,0.000000,930.38

11,02:30-02:45,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.170000,20.000000,0.000000,930.38

12,02:45-03:00,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.170000,20.000000,0.000000,930.38

13,03:00-03:15,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.080000,20.000000,0.000000,894.08

14,03:15-03:30,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.080000,20.000000,0.000000,894.08

15,03:30-03:45,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.080000,20.000000,0.000000,894.08

16,03:45-04:00,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.620000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,10.080000,20.000000,0.000000,894.08

17,04:00-04:15,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.890000,20.000000,0.000000,893.85

18,04:15-04:30,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.890000,20.000000,0.000000,893.85

19,04:30-04:45,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.890000,20.000000,0.000000,893.85

20,04:45-05:00,47.980000,29.370000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.890000,20.000000,0.000000,893.85

21,05:00-05:15,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.800000,20.000000,0.000000,864.39

22,05:15-05:30,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.800000,20.000000,0.000000,864.39

23,05:30-05:45,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.800000,20.000000,0.000000,864.39

24,05:45-06:00,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.580000,38.390000,0,62.380000,62.570000,0.000000,99.330000,50.380000,117.560000,0,77.740000,0.000000,49.660000,9.800000,20.000000,0.000000,864.39

25,06:00-06:15,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,0,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.710000,20.000000,0.000000,696.45

26,06:15-06:30,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,0,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.710000,20.000000,0.000000,696.45

27,06:30-06:45,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,0.1,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.710000,20.000000,0.000000,696.55

28,06:45-07:00,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,0.51,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.710000,20.000000,0.000000,696.96

29,07:00-07:15,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,0.85,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.620000,0.000000,0.000000,677.21

30,07:15-07:30,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,1.25,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.620000,0.000000,0.000000,677.61

31,07:30-07:45,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,1.57,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.620000,0.000000,0.000000,677.93

32,07:45:08:00,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.670000,38.390000,1.84,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.620000,0.000000,0.000000,678.2

33,08:00-08:15,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.960000,38.390000,2.25,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,678.71

34,08:15-08:30,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.960000,38.390000,2.82,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,679.28

35,08:30-08:45,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.960000,38.390000,3.38,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,679.84

36,08:45:09:00,47.980000,0.000000,23.990000,4.990000,22.070000,0.000000,19.470000,157.500000,0.960000,38.390000,3.71,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,680.17

37,09:00:09:15,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,4.27,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,734.44

38,09:15-09:30,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.62,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,735.79

