Column1,Block,NR/2025/31137/A/91340,NR/2025/31136/A/91328,NR/2025/29985/A/90989,NR/2025/31137/A/91339,NR/2025/31347/A/90869,GNARE/NR/2024/12/20/3668,NR/2025/31138/A/91341,NR/2025/31136/A/91330,NR/2025/31138/A/91342,NR/2025/32157/C,NR/2025/29352/A/91057,NR/2025/30082/A/91394,NR/2025/30086/A/91384,NR/2025/29992/A/90945,NR/2025/30121/A/90872,NR/2025/29915/A/90891,NR/2025/29167/A/90892,NR/2025/27975/A/91332,NR/2025/27973/A/91331,NR/2025/32148/C/Alternate/1,NR/2025/29439/A/90947,NR/2025/32149/C,NR/2025/32128/C,NR/2025/32150/C,NR/2025/27965/A/91327,NR/2025/27966/A/91329,NR/2025/29628/A/91395,NR/2025/32114/C,NR/2025/30067/A/91368,NR/2025/32172/C,NR/2025/32115/C,NR/2025/29353/A/91055,NR/2025/31870/A/90950,NR/2025/29440/A/90829,NR/2025/30084/A/91385,NR/2025/29910/A/91389,NR/2025/31419/A/91046,NR/2025/31420/A/91045,NR/2025/32171/C,NR/2025/32161/C,NR/2025/32162/C,NR/2025/32168/C,NR/2025/32169/C,NR/2025/30217/A/91382,NR/2025/32074/C,NR/2025/27978/A/91412,GNARE/SR/2025/07/24/1197,NR/2025/30083/A/91386,NR/2025/32062/C,NR/2025/31780/A/90987,NR/2025/32099/C,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/7255,NR/2025/32109/C,NR/2025/28728/A/91337,GNA/NR/2025/07/24/8741,NR/2025/30105/A/91383,GNA/NR/2025/07/01/2786,NR/2025/32059/C,NR/2025/30191/A/90870,GNA/NR/2025/07/01/8154,NR/2025/32148/C,NR/2025/30101/A/91408,NR/2025/32170/C,NR/2025/32151/C,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,IEXL,SECI_Trader,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,PTC,HPXL,APPCPL,BYPL,IEXL,TPTCL,TPTCL,PowerPulse,PowerPulse,NVVNL,IVPL_Trader,NVVNL,ITCLH,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,MANIKARAN,APPCPL,PowerPulse,PTC,DIAPL,ITCLH,APPCPL,APPCPL,GMRETL,GMRETL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,BYPL,NVVNL,IEXL,APPCPL,IEXL,BRPL,HPXL,PowerPulse,PowerPulse,PUNJAB,APPCPL,PTC,PowerPulse,APPCPL,PowerPulse,PowerPulse,PowerPulse,IEXL,APPCPL,NDMC,IEXL,IEXL,MANIKARAN,NVVNL,NVVNL,APPCPL,NVVNL,BAWANA_GAS,DELHI,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,KERALA_State,TAMILNADU_State,UTTARPRADESH_STATE,MSEB_State,NA,NA,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,NA,NA,NA,NA,GoHP_NJPC_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,NA,NA,MSEB_State,KERALA_State,NA,NA,NA,KERALA_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,DELHI_UT,GOA_State,NA,NA,GOA_State,NA,NA,NA,KARNATAKA_STATE,NA,NA,NA,NA,MSEB_State,NA,MP_State,NA,MP_State,DELHI_UT,HIMACHAL_STATE,
,,TCSPL_BKN2,TCSPL_BKN2,TS1PL_BKN,TESPL_BKN2,TPSL_BKN2,APSEPL_FTG,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,NTPCREL_PSS2_KPS2_S,GoHP_Chamera1,SKS_Raigarh,RKM_POWER,KSEB,PCBLTNLTD_UNIT2,PPGCL,TPC_MSEB,APL_Raigarh_TPP,APL_Raigarh_TPP,Kameng,TPC_MSEB,SORANG_HEP,ITCWIND,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,MAHAN_ENERGEN,AEML,MAHAN_ENERGEN,MBMP,RKM_POWER,APL_Raigarh_TPP,GoHP_NJPC,GBHHPL,ITCWIND,RKM_POWER,KSEB,JNEPL_BKN2,JNEPL_BKN2,TRN_ENERGY,AEML,KSEB,SKS_Raigarh,RKM_POWER,TRN_ENERGY,KSEB,JPNIGRIE_JNSTPP,HIRIYUR_OSTROKANNADA,SKS_Raigarh,PCBLTNLTD_UNIT2,DADRT2,SKS_Raigarh,APL_Raigarh_TPP,APL_Raipur_TPP,BAWANA_GAS,GOA_Beneficiary,MEENAKSHI,APL_Raipur_TPP,GOA_Beneficiary,MAHAN_ENERGEN,APL_Raipur_TPP,APL_Raipur_TPP,KPTCL,JIPL,JPL2,IND_BHARAT,IND_BHARAT,AEML,Kameng,JP_BINA,JIPL,JP_BINA,BAWANA_GAS,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,
,,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM2_AEROCITY,MES_Delhi,TPDDL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,BRPL,BRPL,NDMC,BYPL,MES_Delhi,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BYPL,TPDDL,ITCLH,TPDDL,TPDDL,TPDDL,BYPL,TPDDL,BRPL,NDMC,TPDDL,BRPL,DIAPL,ITCLH,NDMC,BYPL,DTCP,BLKMH,NDMC,BYPL,BYPL,NDMC,NDMC,NDMC,BYPL,TPDDL,BRPL,NDMC,MES_Delhi,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,TPDDL,TPDDL,NDMC,TPDDL,HARYANA,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,North-North,West-North,West-North,West-North,North East-East-West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,South-East-North,West-North,South-West-North,North-North,West-North,West-North,West-North,North-North,West-North,South-East-North,West-North,West-North,West-North,West-North,West-North,South-East-North,East-North,West-North,East-North,East-North,West-North,North East-East-North,West-North,East-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.91,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.6599999999996

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.91,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.6599999999996

