Block,Time Block,PARBATI2,PARBATI3,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,JHAJJAR,KGSU1AND2,NLCEXP,NLCIIST1,NLCTS2EXP,NLCIIST2,AURY_CRF,URI2,ANTA_CRF,ANTA_GF,UNCHAHAR3,ANTA_LF,URI,UNCHAHAR4,VALLURNTECL,ANTA_RF,DADRI_RF,DADRI_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,FSTPP I & II,DULHASTI,DHAULIGNGA,DADRT2,UNCHAHAR1,UNCHAHAR2,RAPPD,RIHAND1,RIHAND3,RAPPC,RAPPB,RIHAND2,SASAN,TelanganaSTPP,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,TEHRIPSP,TALA,TEHRI,RSTPSU1TO6,RSTPSU7,RAMPUR,NTPL,NNTPP,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,NJPC,NAPP,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,51.46,0,95.05,39,0,0,8.29,6.78,44.06,0,432.7,0,0,0,0,0,0,37.47,0,0,26.62,0,50.34,3.1,0,0,0,0,0,0,0,0,0,19.91,53.24,40.82,457.09,18.81,43.26,0,45.21,125.79,62.89,0,120.43,329.88,0,5.34,0.82,0,0,0,69.27,11.75,141.74,12.56,79.97,19.65,57.82,0,0,5.48,0,0,18.8,32.63,45.3,15.41,40.52,169,23.54,0,0,0,0,0,0

2,00:15-00:30,0,51.46,0,95.05,39,0,0,8.29,6.78,44.06,0,432.7,0,0,0,0,0,0,37.47,0,0,26.62,0,50.34,3.1,0,0,0,0,0,0,0,0,0,20,53.24,40.82,399.4,18.81,43.26,0,45.21,125.79,62.89,0,120.43,329.88,0,5.34,0.82,0,0,0,69.27,11.75,141.75,12.56,0,19.65,57.82,0,0,5.48,0,0,18.8,32.63,45.3,13.46,40.52,169,23.54,0,0,0,0,0,0

3,00:30-00:45,0,51.46,0,95.05,39,0,0,8.29,6.78,44.06,0,432.7,0,0,0,0,0,0,37.47,0,0,26.62,0,50.34,3.1,0,0,0,0,0,0,0,0,0,18.44,53.24,40.82,351.33,18.81,43.26,0,45.21,125.79,62.89,0,120.43,329.88,0,5.34,0.82,0,0,0,69.27,11.75,141.75,12.56,0,19.65,57.82,0,0,5.48,0,0,18.8,32.63,45.3,13.46,40.52,169,23.54,0,0,0,0,0,0

4,00:45-01:00,0,51.46,0,95.05,39,0,0,8.29,6.78,44.06,0,432.7,0,0,0,0,0,0,37.47,0,0,26.62,0,50.34,3.1,0,0,0,0,0,0,0,0,0,18.44,53.24,40.82,293.65,18.81,43.26,0,45.21,125.79,62.89,0,120.43,329.88,0,5.34,0.82,0,0,0,69.27,11.75,141.75,12.56,79.97,19.65,57.82,0,0,5.48,0,0,18.8,32.63,45.3,13.46,40.52,169,23.54,0,0,0,0,0,0

5,01:00-01:15,0,51.46,0,95.05,39,0,0,8.29,6.78,44.06,0,432.64,0,0,0,0,0,0,37.47,0,0,26.62,0,40.33,3.1,0,0,0,0,0,0,0,0,0,18.44,53.24,40.82,245.58,18.81,43.26,0,45.21,125.79,62.89,0,120.43,329.88,0,5.34,0.82,0,0,0,69.27,11.75,141.75,12.56,79.97,19.65,57.82,0,0,5.48,0,0,18.8,32.63,45.3,13.46,40.52,169,23.54,0,0,0,0,0,0

