Time,Block,NR/2024/18877/C,NR/2024/18806/A/10507,NR/2024/18759/A/10565,NR/2024/18807/A/10601,Total
,,NVVNL,IEXL,ITCLH,DIAPL,Total

,,NA,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,NSLSUGARALAND,ITCWIND,GBHHPL,
,,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),MES (Delhi),ITCLH,DIAPL,
,,West-North,South-East-North,South-West-North,North-North,
1,00:00-00:15,0,9.660000,0.480000,0.000000,10.14

2,00:15-00:30,0,9.660000,0.480000,0.000000,10.14

3,00:30-00:45,0,9.660000,0.480000,0.000000,10.14

4,00:45-01:00,0,9.660000,0.480000,0.000000,10.14

5,01:00-01:15,0,9.660000,0.480000,0.000000,10.14

6,01:15-01:30,0,9.660000,0.480000,0.000000,10.14

7,01:30-01:45,0,9.660000,0.480000,0.000000,10.14

8,01:45-02:00,0,9.660000,0.480000,0.000000,10.14

9,02:00-02:15,0,9.660000,0.480000,0.000000,10.14

10,02:15-02:30,0,9.660000,0.480000,0.000000,10.14

11,02:30-02:45,0,9.660000,0.480000,0.000000,10.14

12,02:45-03:00,0,9.660000,0.480000,0.000000,10.14

13,03:00-03:15,0,9.660000,0.430000,0.000000,10.09

14,03:15-03:30,0,9.660000,0.430000,0.000000,10.09

15,03:30-03:45,0,9.660000,0.430000,0.000000,10.09

16,03:45-04:00,0,9.660000,0.430000,0.000000,10.09

17,04:00-04:15,0,9.660000,0.430000,0.000000,10.09

18,04:15-04:30,0,9.660000,0.430000,0.000000,10.09

19,04:30-04:45,0,9.660000,0.430000,0.000000,10.09

20,04:45-05:00,0,9.660000,0.430000,0.000000,10.09

21,05:00-05:15,0,9.660000,0.480000,0.000000,10.14

22,05:15-05:30,0,9.660000,0.480000,0.000000,10.14

23,05:30-05:45,0,9.660000,0.480000,0.000000,10.14

24,05:45-06:00,0,9.660000,0.480000,0.000000,10.14

25,06:00-06:15,0,9.660000,0.480000,0.000000,10.14

26,06:15-06:30,0,9.660000,0.480000,0.000000,10.14

27,06:30-06:45,0,9.660000,0.480000,0.000000,10.14

