Column1,Block,NR/2025/26861/A/83728,NR/2025/26085/A/83314,NR/2025/27782/A/83730,NR/2025/28774/A/83272,NR/2025/29954/C,NR/2025/29954/C/Alternate/1,NR/2025/29955/C,NR/2025/29987/C,NR/2025/29988/C,NR/2025/29989/C,NR/2025/27100/A/83355,NR/2025/27281/A/83834,NR/2025/27242/A/83378,NR/2025/27157/A/83354,NR/2025/26562/A/83672,NR/2025/29816/A/83665,NR/2025/28719/A/83364,NR/2025/27500/A/83277,NR/2025/26889/A/83755,NR/2025/29947/C,NR/2025/26571/A/83675,NR/2025/27167/A/83394,NR/2025/29824/C,NR/2025/27088/A/83762,NR/2025/26975/A/83740,NR/2025/27499/A/83754,NR/2025/29837/C,NR/2025/26785/A/83278,NR/2025/29905/C,NR/2025/26860/A/83636,NR/2025/29906/C,NR/2025/27506/A/83276,NR/2025/27727/A/83731,NR/2025/29909/C,NR/2025/26952/A/83238,NR/2025/27168/A/83397,NR/2025/26777/A/83347,NR/2025/29904/C,NR/2025/26445/A/83765,NR/2025/27176/A/83739,NR/2025/27728/A/83732,NR/2025/27726/A/83733,NR/2025/27187/A/83737,NR/2025/26566/A/83674,NR/2025/27185/A/83738,NR/2025/27725/A/83734,NR/2025/26572/A/83677,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/26/5163,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/2025/27356/A/83708,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,NR/2025/29957/C,NR/2025/29979/C,NR/2025/26565/A/83673,NR/2025/29981/C,NR/2025/29983/C,NR/2025/29984/C,NR/2025/29451/A/83705,NR/2025/29918/C,NR/2025/30002/C,NR/2025/29974/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,Total
,,PowerPulse,ITCLH,APPCPL,IEXL,NVVNL,NVVNL,NVVNL,APPCPL,APPCPL,APPCPL,IVPL_Trader,MANIKARAN,GMRETL,KEIPL,PowerPulse,DIAPL,DIAPL,IEXL,HPXL,INSTINCT,PowerPulse,PTC,MANIKARAN,NVVNL,APPCPL,HPXL,IEXL,IEXL,PowerPulse,BRPL,PowerPulse,IEXL,APPCPL,BRPL,PXIL,PTC,INSTINCT,PowerPulse,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,APPCPL,PowerPulse,NVVNL,PowerPulse,PUNJAB,APPCPL,HPXL,BAWANA_GAS,MANIKARAN,BRPL,PTC,DELHI,KEIPL,NVVNL,APPCPL,PowerPulse,APPCPL,APPCPL,APPCPL,BRPL,PXIL,DIAPL,APPCPL,INSTINCT,MANIKARAN,APPCPL,PTC,SIMHAPURI,APPCPL,APPCPL,NDMC,SECI_Trader,
,,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,CSEB_State,HIMACHAL_STATE,CSEB_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,MSEB_State,NA,NA,GoHP_Chamera1_STATE,CSEB_State,NA,Manipur_State,JK_and_LADAKH_UT,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,GoHP_Rampur_STATE,NA,NA,NA,MSEB_State,NA,NA,KERALA_State,NA,KERALA_State,NA,NA,NA,NA,DELHI_UT,GOA_State,KARNATAKA_STATE,DELHI_UT,MP_State,NA,ODISHA_STATE,HIMACHAL_STATE,CSEB_State,NA,KERALA_State,NA,MSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,Manipur_State,NA,MSEB_State,GOA_State,TELANGANA_State,NA,CSEB_State,NA,NA,NA,
,,COASTGEN,ITCWIND,TRN_ENERGY,TPSL_BKN2,Kameng,Kameng,SORANG_HEP,JPL2,TRN_ENERGY,RKM_POWER,TPC_MSEB,CSEB_Beneficiary,GBHHPL,CSEB_Beneficiary,APL_Raipur_TPP,GBHHPL,GBHHPL,A_A_Energy_MH_Bio,GRETAENERGY,JPL2,APL_Raigarh_TPP,GoHP_Chamera1,CSEB_Beneficiary,ILFS,Manipur_Ben,O2Z,MBMP,MBMP,APL_Raigarh_TPP,JPL2,APL_Raipur_TPP,NHCPL_HP,JPL2,JPL2,MBMP,GoHP_Rampur,JPL2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,AEML,RKM_POWER,RKM_POWER,KSEB,MAHAN_ENERGEN,KSEB,SKS_Raigarh,APL_Raigarh_TPP,JHABUA_IPP,COASTGEN,BAWANA_GAS,GOA_Beneficiary,KPTCL,BAWANA_GAS,BLAPOWER_MP,TS1PL_BKN,NBVL_OTCL,CHANJUII,CSPDCL,ILFS,KSEB,MAHAN_ENERGEN,AEML,SKS_Raigarh,RKM_POWER,DADRT2,MBMP,GBHHPL,Manipur_Ben,SIMHAPURI,AEML,GOA_Beneficiary,NAVABHARAT,SIMHAPURI,CSPDCL,DBPL,JIPL,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,ITCLH,NDMC,MES_Delhi,TPDDL,TPDDL,TPDDL,NDMC,NDMC,NDMC,BYPL,BYPL,BRPL,BYPL,TPDDL,DIAPL,DIAPL,MES_Delhi,BYPL,BRPL,TPDDL,BRPL,BYPL,BRPL,BYPL,BYPL,NDMC,NDMC,TPDDL,BRPL,TPDDL,MES_Delhi,NDMC,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BYPL,NDMC,NDMC,BYPL,TPDDL,BYPL,NDMC,TPDDL,BRPL,BRPL,PUNJAB,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,BYPL,NDMC,NDMC,BRPL,BRPL,DIAPL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,
,,South-West-North,South-West-North,West-North,North-North,North East-East-North,North East-East-West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-East-North,North-North,West-North,North-North,East-West-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,South-West-North,West-North,West-North,South-West-North,South-East-North,West-North,West-North,East-North,North-North,
1,00:00-00:15,164.29,0.68,7.73,0,103.06,61.47,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,30,19.33,0,23.64,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2473.359999999999

2,00:15-00:30,164.29,0.68,7.73,0,103.29,61.24,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,30,19.33,0,23.64,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2473.359999999999

