Block,Time,RIHAND2,KOLDAM,RIHAND1,TEHRI,AURY_LF,ANTA_CRF,DADRI_LF,NJPC,UNCHAHAR4,TANAKPUR,BSIUL,DADRT2,SINGRAULI_HYDRO,RAPPB,AURY_CRF,TANDA2,RAPPC,PARBATI3,RIHAND3,CHAMERA2,DADRI_RF,ANTA_GF,CHAMERA1,ANTA_LF,URI,ANTA_RF,DHAULIGNGA,CHAMERA3,UNCHAHAR1,SINGRAULI,KISHANGANGA,SALAL,UNCHAHAR3,DADRI_GF,AURY_GF,JHAJJAR,DADRI_CRF,URI2,UNCHAHAR2,AURY_RF,NAPP,RAMPUR,DULHASTI,KOTESHWR,SEWA2,BRBCL,KHSTPP-I,TALA,FSTPP I & II,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,54.500040,0.000000,88.430400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,444.074400,0.845837,0.000000,0.000000,0.000000,52.571777,0.000000,118.867399,0.000000,0.000000,0.000000,0.000000,0.000000,2.122330,0.000000,0.000000,0.000000,14.017468,133.904772,0.000000,2.233829,17.869189,0.000000,0.000000,229.726800,0.000000,8.016639,28.468533,0.000000,20.839200,0.000000,0.000000,9.003560,0.000000,19.177693,30.161399,0.000000,10.673742,402.521724,122.832517,0,0,0,0,0

2,00:15-00:30,54.500040,0.000000,88.430400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,396.014400,0.845837,0.000000,0.000000,0.000000,52.571777,0.000000,118.867399,0.000000,0.000000,0.000000,0.000000,0.000000,2.122330,0.000000,0.000000,0.000000,14.017468,133.904772,0.000000,2.233829,17.869189,0.000000,0.000000,229.726800,0.000000,8.016639,28.468533,0.000000,20.839200,0.000000,0.000000,9.003560,0.000000,16.556879,30.161399,0.000000,10.673742,402.521724,122.832517,0,0,0,0,0

3,00:30-00:45,54.500040,0.000000,88.430400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.845837,0.000000,0.000000,0.000000,52.571777,0.000000,118.867399,0.000000,0.000000,0.000000,0.000000,0.000000,2.122330,0.000000,0.000000,0.000000,9.612000,133.904772,0.000000,2.233829,11.534400,0.000000,0.000000,226.843200,0.000000,8.016639,28.468533,0.000000,20.839200,0.000000,0.000000,9.003560,0.000000,19.223982,30.161399,0.000000,10.673742,402.521724,122.832517,0,0,0,0,0

4,00:45-01:00,54.500040,0.000000,88.430400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.845837,0.000000,0.000000,0.000000,52.571777,0.000000,118.867399,0.000000,0.000000,0.000000,0.000000,0.000000,2.122330,0.000000,0.000000,0.000000,9.612000,133.904772,0.000000,2.233829,11.534400,0.000000,0.000000,226.843200,0.000000,8.016639,28.468533,0.000000,20.839200,0.000000,0.000000,9.003560,0.000000,18.786911,30.161399,0.000000,10.673742,402.521724,122.832517,0,0,0,0,0

5,01:00-01:15,54.500040,0.000000,88.430400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.954400,0.845837,0.000000,0.000000,0.000000,52.571777,0.000000,118.867399,0.000000,0.000000,0.000000,0.000000,0.000000,2.122330,0.000000,0.000000,0.000000,9.612000,133.904772,0.000000,2.233829,11.534400,0.000000,0.000000,226.843200,0.000000,4.525522,28.468533,0.000000,20.839200,0.000000,0.000000,9.003560,0.000000,16.794676,30.161399,0.000000,10.673742,402.521724,93.996517,0,0,0,0,0

