Block,Time,L_NR_2012_02,L_NR_2012_04,L_NR_2012_01,L_NR_2018_61,LT-59,L_NR_2020_02,L_NR_2019_19,LT_MEJA_Delhi,LT-36,L_NR_2019_11,LT-05,LT-35,L_NR_2012_07,SH-07,SH-06,LT-31,L_NR_2022_10,L_NR_2020_05,L_NR_2020_06,L_NR_2021_12,L_NR_2021_14,L_NR_2022_09,L_NR_2021_16,L_NR_2021_13,L_NR_2019_05,L_NR_2020_07,L_NR_2022_08,L_NR_2021_15,L_NR_2019_07,L_NR_2019_06,L_NR_2021_17
1,00:00-00:15,130.280000,270.820000,100.860000,3.97,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,36.310000,36.310000,0.000000,49.68,73.33,24.44,0,0,49.68,0,0,0,24.45,10.33,0,0,0,0

2,00:15-00:30,130.280000,270.820000,100.860000,3.73,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,36.310000,36.310000,0.000000,50.27,74.22,24.74,0,0,50.27,0,0,0,24.74,10.56,0,0,0,0

3,00:30-00:45,130.280000,270.820000,100.860000,3.51,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,30.810000,30.810000,0.000000,50.6,63.76,21.25,0,0,50.6,0,0,0,21.26,10.92,0,0,0,0

4,00:45-01:00,130.280000,270.820000,100.860000,3.31,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,30.810000,30.810000,0.000000,51.06,64.54,21.51,0,0,51.06,0,0,0,21.51,11.19,0,0,0,0

5,01:00-01:15,130.280000,270.820000,100.860000,3.11,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,57.68,76.58,25.53,0,0,57.68,0,0,0,25.53,11.33,0,0,0,0

6,01:15-01:30,130.280000,270.820000,100.860000,2.91,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,57.97,77.04,25.68,0,0,57.97,0,0,0,25.68,11.44,0,0,0,0

7,01:30-01:45,130.280000,270.820000,100.860000,2.73,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,58.19,78.49,26.16,0,0,58.19,0,0,0,26.17,11.86,0,0,0,0

8,01:45-02:00,130.280000,270.820000,100.860000,2.45,4.730000,3.610000,0.000000,11.150000,0.000000,4.440000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,58.32,78.31,26.1,0,0,58.32,0,0,0,26.1,13.56,0,0,0,0

9,02:00-02:15,130.280000,270.820000,100.860000,2.42,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,58.3,78.09,26.03,0,0,58.3,0,0,0,26.03,13.62,0,0,0,0

10,02:15-02:30,130.280000,270.820000,100.860000,2.43,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,75.990000,24.790000,24.790000,0.000000,58.08,78.74,26.25,0,0,58.08,0,0,0,26.23,13.36,0,0,0,0

11,02:30-02:45,130.280000,270.820000,100.860000,2.44,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,75.990000,25.910000,25.910000,0.000000,58.36,78.99,26.33,0,0,58.36,0,0,0,26.34,15.66,0,0,0,0

12,02:45-03:00,130.280000,270.820000,100.860000,2.52,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,57.060000,25.910000,25.910000,0.000000,58.42,90.13,30.04,0,0,58.42,0,0,0,30.05,15.42,0,0,0,0

13,03:00-03:15,130.280000,270.820000,100.860000,2.48,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,58.24,89.94,29.98,0,0,58.24,0,0,0,29.99,15.12,0,0,0,0

14,03:15-03:30,130.280000,270.820000,100.860000,4.38,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,57.52,89.89,29.96,0,0,57.52,0,0,0,29.97,15.01,0,0,0,0

15,03:30-03:45,130.280000,270.820000,100.860000,4.36,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,60.26,89.43,29.81,0,0,60.26,0,0,0,29.81,14.82,0,0,0,0

16,03:45-04:00,130.280000,270.820000,100.860000,4.33,4.940000,3.430000,0.000000,11.150000,0.000000,4.360000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,59.82,87.44,29.15,0,0,59.82,0,0,0,29.14,14.31,0,0,0,0

17,04:00-04:15,130.280000,270.820000,100.860000,4.38,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,58.79,86.04,28.68,0,0,58.79,0,0,0,28.67,14.1,0,0,0,0

18,04:15-04:30,130.280000,270.820000,100.860000,4.43,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,58.29,84.32,28.11,0,0,58.29,0,0,0,28.11,11.42,0,0,0,0

19,04:30-04:45,90.700000,270.820000,100.860000,4.43,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,49.11,82.43,27.48,0,0,49.11,0,0,0,27.47,11.22,0,0,0,0

20,04:45-05:00,90.700000,270.820000,100.860000,4.37,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,48.55,74.3,24.77,0,0,48.55,0,0,0,24.76,10.83,0,0,0,0

21,05:00-05:15,90.700000,270.820000,100.860000,4.18,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,47.67,73.96,24.65,0,0,47.67,0,0,0,24.65,10.26,0,0,0,0

22,05:15-05:30,90.700000,270.820000,100.860000,3.96,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,47.14,73.24,24.41,0,0,47.14,0,0,0,24.42,9.67,0,0,0,0

23,05:30-05:45,90.700000,270.820000,100.860000,3.75,4.940000,3.240000,0.000000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,46.78,72.79,24.26,0,0,46.78,0,0,0,24.27,9.23,0,0,0,0

24,05:45-06:00,90.700000,270.820000,100.860000,3.54,4.940000,3.240000,0.320000,11.150000,0.000000,0.000000,115.610000,0.000000,57.060000,24.460000,24.460000,0.000000,46.29,72.1,24.03,0,0,46.29,0,0,0,24.03,8.44,0,0,0,0

25,06:00-06:15,90.700000,270.820000,100.860000,3.52,4.940000,3.150000,3.990000,11.150000,0.040000,0.000000,115.610000,0.040000,57.060000,24.460000,24.460000,0.040000,44.78,57.97,19.33,0,0.03,44.78,0.33,0,0,19.32,8.11,0,0.76,5.48,0.17

26,06:15-06:30,90.700000,270.820000,100.860000,3.44,4.940000,3.150000,9.640000,11.150000,0.110000,0.000000,115.610000,0.110000,57.060000,24.460000,24.460000,0.110000,47.49,57.67,19.23,1.29,0.03,47.49,1.9,0.26,2.48,19.22,10.28,0.38,3.62,11.46,0.95

27,06:30-06:45,67.730000,270.820000,100.860000,3.38,4.940000,3.150000,15.420000,11.150000,0.650000,0.000000,107.100000,0.640000,41.450000,25.910000,25.910000,0.640000,46.53,57.41,19.14,5.88,1.32,46.53,4.83,1.17,8.89,19.13,9.84,1.35,8.79,20.56,2.42

28,06:45-07:00,67.730000,270.820000,100.860000,3.06,4.940000,3.150000,21.830000,11.150000,1.140000,0.000000,98.610000,1.120000,41.450000,25.910000,25.910000,1.120000,45.3,55.76,18.59,13.41,3.89,45.3,9.05,2.68,20.48,18.58,9.37,2.85,18.35,30.48,4.52

29,07:00-07:15,90.700000,270.820000,100.860000,2.57,4.940000,3.150000,29.010000,11.150000,2.140000,0.000000,90.110000,2.080000,41.450000,25.910000,25.910000,2.080000,44.11,53.91,17.97,22.92,7.61,44.11,23.33,4.58,31,17.97,8.99,5.41,31,31,11.67

30,07:15-07:30,67.730000,270.820000,100.860000,2.06,4.940000,3.150000,36.530000,11.150000,3.130000,0.000000,70.270000,3.050000,41.450000,25.910000,25.910000,3.050000,43,52.04,17.35,35.63,12.68,43,33.33,7.13,31,17.34,8.19,8.83,31,31,16.67

31,07:30-07:45,90.700000,270.820000,100.860000,1.86,4.940000,3.150000,45.750000,11.150000,4.210000,0.000000,70.270000,4.110000,41.450000,25.910000,25.910000,4.110000,41.96,51.74,17.25,50.88,18.96,41.96,42.67,10.18,31,17.25,7.58,12.58,31,31,21.33

32,07:45:08:00,90.700000,270.820000,100.860000,1.73,4.940000,3.150000,55.470000,11.150000,5.500000,0.000000,70.270000,5.370000,41.450000,25.910000,25.910000,5.370000,41.12,51.24,17.08,70.02,26.09,41.12,53.34,14,31,17.09,6.75,16.5,31,31,26.66

33,08:00-08:15,90.700000,270.820000,100.860000,2.07,4.940000,3.150000,64.110000,11.150000,6.690000,0.000000,70.270000,6.520000,41.450000,25.910000,25.910000,6.520000,34.17,50.51,16.84,89.86,34,34.17,64.67,17.97,31.33,16.83,6.19,26.78,31.33,31.34,32.33

34,08:15-08:30,90.700000,270.820000,100.860000,2.37,4.940000,3.150000,71.760000,11.150000,7.580000,0.000000,70.270000,7.400000,41.450000,25.910000,25.910000,7.400000,33.79,49.42,16.47,112.62,42.63,33.79,68.67,22.52,31.33,16.48,6.08,32.01,31.33,31.34,34.33

35,08:30-08:45,90.700000,270.820000,100.860000,2.69,4.940000,3.150000,80.630000,7.300000,8.780000,0.000000,70.270000,8.570000,41.450000,25.910000,25.910000,8.570000,33.23,48.7,16.24,135.03,48.94,33.23,74.67,27.01,31.33,16.23,6.06,36.8,31.33,31.34,37.33

36,08:45:09:00,90.700000,270.820000,100.860000,2.91,4.940000,3.150000,90.310000,7.300000,10.210000,0.000000,70.270000,9.970000,41.450000,25.910000,25.910000,9.970000,31.9,49.09,16.36,156.23,56.51,31.9,85.34,31.24,31.33,16.37,5.99,40.86,31.33,31.34,42.66

37,09:00:09:15,90.700000,270.820000,100.860000,3.35,4.940000,3.050000,98.700000,7.300000,11.210000,0.000000,70.270000,10.930000,30.810000,25.920000,25.920000,10.930000,30.7,47.84,15.95,176.46,62.63,30.7,88,35.29,31.33,15.94,5.85,43.76,31.33,31.34,44

38,09:15-09:30,62.920000,270.820000,100.860000,3.48,4.940000,3.050000,105.990000,7.300000,11.940000,0.000000,70.270000,11.650000,30.810000,25.920000,25.920000,11.650000,30.23,47.69,15.9,195.86,69.11,30.23,92,39.17,31.33,15.89,5.75,45.96,31.33,31.34,46

39,09:30-09:45,62.920000,270.820000,100.860000,6.18,4.940000,3.050000,111.590000,7.300000,13.060000,0.000000,70.270000,12.750000,30.810000,25.920000,25.920000,12.750000,28.44,40.16,13.39,218.54,74.87,28.44,96,43.71,31.33,13.38,5.68,49.4,31.33,31.34,48

40,09:45-10:00,62.920000,270.820000,100.860000,6.07,4.940000,3.050000,115.620000,7.300000,13.930000,0.000000,70.270000,13.590000,30.810000,25.920000,25.920000,13.590000,28.6,39.17,13.06,229.38,79.88,28.6,100,45.87,31.33,13.06,5.85,50,31.33,31.34,50

41,10:00-10:15,62.920000,270.820000,100.860000,6.14,4.940000,3.050000,120.180000,7.300000,14.980000,0.000000,66.110000,14.610000,30.810000,25.920000,25.920000,14.610000,27.81,39.12,13.04,233.54,84.73,27.81,100,46.71,31.33,13.04,6.23,50,31.33,31.34,50

42,10:15-10:30,62.920000,270.820000,100.860000,6,4.940000,3.050000,125.660000,7.300000,15.840000,0.000000,66.110000,15.460000,30.810000,25.920000,25.920000,15.460000,26.94,38.62,12.88,233.54,89.26,26.94,97.34,46.71,31.33,12.87,6.54,50,31.33,31.34,48.66

43,10:30-10:45,62.920000,270.820000,100.860000,6.03,4.940000,3.330000,131.020000,7.300000,16.440000,0.000000,66.110000,16.040000,30.810000,25.920000,25.920000,16.040000,26.23,32.21,10.74,233.54,92.35,26.23,94.67,46.71,31.33,10.72,5.54,50,31.33,31.34,47.33

44,10:45-11:00,90.700000,270.820000,100.860000,6.17,4.940000,3.330000,135.250000,7.300000,16.660000,0.000000,66.110000,16.260000,30.810000,25.920000,25.920000,16.260000,25.75,32.23,10.74,233.54,93.87,25.75,92.67,46.71,31.33,10.75,5.45,50,31.33,31.34,46.33

45,11:00-11:15,90.700000,270.820000,100.860000,6.12,4.940000,3.330000,137.970000,7.300000,17.220000,0.000000,66.110000,16.810000,30.810000,25.920000,25.920000,16.810000,25.01,31.68,10.56,233.54,94.95,25.01,92,46.71,31.33,10.56,5.34,50,31.33,31.34,46

46,11:15-11:30,90.700000,270.820000,100.860000,6.2,4.940000,3.330000,138.670000,7.300000,17.560000,0.000000,66.110000,17.130000,30.810000,25.920000,25.920000,17.130000,24.45,32.1,10.7,233.54,95.51,24.45,90.67,46.71,31.33,10.69,5.28,50,31.33,31.34,45.33

47,11:30-11:45,90.700000,270.820000,100.860000,6.08,4.940000,3.330000,138.120000,7.300000,18.080000,0.000000,70.270000,17.630000,30.810000,25.920000,25.920000,17.630000,24.56,32.38,10.79,233.54,95.58,24.56,90,46.71,31.33,10.81,5.22,50,31.33,31.34,45

48,11:45-12:00,90.700000,270.820000,100.860000,6.11,4.940000,3.330000,137.370000,7.300000,18.310000,0.000000,70.270000,17.850000,30.810000,25.920000,25.920000,17.850000,24.66,32.33,10.78,233.54,95.56,24.66,89.34,46.71,31.33,10.78,5.16,50,31.33,31.34,44.66

49,12:00-12:15,90.700000,270.820000,100.860000,6.13,4.940000,3.240000,137.940000,7.300000,18.570000,0.000000,70.270000,18.110000,46.420000,25.930000,25.930000,18.110000,35.78,33.01,11,233.54,95.55,35.78,89.34,46.71,31.33,11.01,5.08,50,31.33,31.34,44.66

50,12:15-12:30,90.700000,270.820000,100.860000,6.12,4.940000,3.240000,137.780000,7.300000,18.670000,0.000000,70.270000,18.210000,46.420000,25.930000,25.930000,18.210000,36.09,33.42,11.14,233.54,95.58,36.09,88.67,46.71,31.33,11.15,5.91,50,31.33,31.34,44.33

51,12:30-12:45,90.700000,270.820000,71.980000,6.65,4.940000,3.240000,137.310000,6.360000,18.720000,0.000000,70.270000,18.260000,41.210000,25.930000,25.930000,18.260000,37.65,41.86,13.95,233.54,95.56,37.65,88.67,46.71,31.33,13.96,6.19,50,31.33,31.34,44.33

52,12:45-13:00,90.700000,270.820000,57.770000,7.65,4.940000,3.240000,136.560000,6.360000,18.740000,0.000000,70.270000,18.280000,41.210000,25.930000,25.930000,18.280000,37.78,43.38,14.46,233.54,95.53,37.78,88.67,46.71,31.33,14.45,6.46,50,31.33,31.34,44.33

53,13:00-13:15,66.620000,270.820000,54.890000,9.05,4.940000,3.430000,136.110000,6.360000,18.830000,0.000000,70.270000,18.360000,30.450000,25.930000,25.930000,18.360000,37.98,46.51,15.5,233.54,95.43,37.98,88.67,46.71,31.33,15.5,6.75,50,31.33,31.34,44.33

54,13:15-13:30,62.920000,270.820000,54.890000,11.04,4.940000,3.430000,135.670000,6.360000,18.620000,0.000000,70.270000,18.160000,30.450000,25.930000,25.930000,18.160000,38.32,49.12,16.37,233.54,95.38,38.32,89.34,46.71,31.33,16.38,6.95,50,31.33,31.34,44.66

55,13:30-13:45,62.920000,270.820000,54.890000,14.51,4.940000,3.430000,133.550000,6.360000,18.380000,0.000000,70.270000,17.930000,30.450000,25.930000,25.930000,17.930000,38.91,52.34,17.45,233.54,95.42,38.91,90,46.71,31.33,17.44,7.1,50,31.33,31.34,45

56,13:45-14:00,86.990000,270.820000,69.430000,17.23,4.940000,3.430000,130.960000,6.360000,18.030000,0.000000,70.270000,17.590000,45.960000,25.930000,25.930000,17.590000,39.21,51.21,17.07,233.54,95.18,39.21,90.67,46.71,31.33,17.07,7.32,50,31.33,31.34,45.33

57,14:00-14:15,90.700000,270.820000,89.260000,18.14,4.940000,3.610000,127.230000,6.360000,17.610000,0.000000,94.450000,17.190000,40.450000,26.010000,26.010000,17.190000,46.75,51.67,17.22,229.38,94.23,46.75,91.34,45.87,31.33,17.22,9.04,50,31.33,31.34,45.66

58,14:15-14:30,90.700000,270.820000,100.040000,21.35,4.940000,3.610000,122.260000,6.360000,17.130000,0.000000,115.610000,16.710000,40.450000,26.010000,26.010000,16.710000,47.44,52.84,17.61,229.38,93.65,47.44,92,45.87,31.33,17.62,9.16,50,31.33,31.34,46

