Block,Time Block,JHAJJAR,CHAMERA2,KGSU1AND2,BRBCL,DADRT2,DHAULIGNGA,FSTPP I & II,CHAMERA1,DULHASTI,BSIUL,CHAMERA3,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,TANDA2,SASAN,TALST2,SINGRAULI_HYDRO,TANAKPUR,SIMHST1,TEHRI,SIMHST2,TALA,SALAL,SEWA2,SINGRAULI,URI2,ANTA_LF,UNCHAHAR3,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,AURY_CRF,VALLURNTECL,ANTA_CRF,UNCHAHAR1,ANTA_RF,UNCHAHAR4,KHSTPP-II,KHSTPP-I,KGSU3AND4,NLCEXP,KKNPPU2,KUDGI,KOLDAM,NJPC,KISHANGANGA,MAPS,NAPP,KOTESHWR,KKNP,RAPPB,NLCIIST1,RIHAND2,NLCIIST2,NLCTS2EXP,RIHAND1,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,NTPL,RSTPSU7,PARBATI3,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,273.43,0,0,17.94,374.26,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,6.01,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,38.13,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

2,00:15-00:30,251.2,0,0,19.19,364.67,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,6.01,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,38.13,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

3,00:30-00:45,251.2,0,0,16.79,345.48,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,6.01,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,1.59,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

4,00:45-01:00,251.2,0,0,14.27,314.78,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,1.1,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,1.38,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

5,01:00-01:15,251.2,0,0,15.44,293.68,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,1.1,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,1.38,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

6,01:15-01:30,251.2,0,0,15.13,273.53,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,267.82,0,0,1.1,0,0,0,0,1.34,0,128.07,18.06,0,21.81,0,0,17.52,1.38,0,0,0,16.99,0,0,81.75,37.39,0,0,0,0,0,0,0,0,41.5,8.51,0,0,0,113.93,0,0,44.13,0,0,0,49.91,0,0,0,119.26,0,0,0,0,0

