Block,Time Block,BSIUL,BRBCL,CHAMERA1,NTPL,RAMPUR,PARBATI3,RAPPC,RAPPB,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_CRF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,AURY_RF,NNTPP,NLCTS2EXP,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,URI,NLCIIST1,NJPC,NAPP,NLCEXP,NLCIIST2,UNCHAHAR2,KOTESHWR,KKNPPU2,KUDGI,KOLDAM,MAPS,CHAMERA3,CHAMERA2,DADRT2,KISHANGANGA,KHSTPP-II,KKNP,KGSU3AND4,KHSTPP-I,FSTPP I & II,DHAULIGNGA,DULHASTI,KGSU1AND2,JHAJJAR,RSTPSU1TO6,SASAN,RIHAND2,RIHAND1,SEWA2,RSTPSU7,SALAL,SIMHST1,SIMHST2,RIHAND3,TALST2,SINGRAULI,TANDA2,TALA,TANAKPUR,SINGRAULI_HYDRO,TelanganaSTPP,TEHRI,UNCHAHAR1,DADRI_GF,DADRI_RF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,16.62,25.48,0,0,41.9,0,0,22.43,8.53,0,0,0,0,0,0,304.71,0,81.22,0,0,36.89,12.49,0,15.85,0,250.28,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,118,0,0,8.01,0,0,0,14.28,0,0,0,0,0,0,0,0

2,00:15-00:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,25.48,0,0,41.9,0,0,22.43,8.53,0,0,0,0,0,0,293.69,0,75.42,0,0,31.6,12.49,0,15.85,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,118.29,0,0,8.01,0,0,0,11.55,0,0,0,0,0,0,0,0

3,00:30-00:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,25.48,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,293.69,0,61.65,0,0,24.54,9.63,0,15.85,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,8.01,0,0,0,11.55,0,0,0,0,0,0,0,0

4,00:45-01:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,3.18,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,291.77,0,61.65,0,0,24.54,9.63,0,15.85,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,2.46,0,0,0,11.55,0,0,0,0,0,0,0,0

5,01:00-01:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,1.6,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,274.48,0,61.65,0,0,28.36,11.17,0,15.85,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,2.46,0,0,0,11.55,0,0,0,0,0,0,0,0

6,01:15-01:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,1.6,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,254.29,0,61.65,0,0,28.36,11.17,0,15.85,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,2.46,0,0,0,11.55,0,0,0,0,0,0,0,0

7,01:30-01:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,13.95,1.6,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,247.57,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,2.46,0,0,0,11.55,0,0,0,0,0,0,0,0

8,01:45-02:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.6,0,0,41.9,0,0,20.38,8.53,0,0,0,0,0,0,239.89,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,2.46,0,0,0,11.55,0,0,0,0,0,0,0,0

9,02:00-02:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,226,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

10,02:15-02:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,218.31,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

11,02:30-02:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,212.54,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

12,02:45-03:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,207.73,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,119.01,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

13,03:00-03:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,206.77,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

14,03:15-03:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,210.61,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

15,03:30-03:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,206.77,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,6.03,0,0,0,11.55,0,0,0,0,0,0,0,0

16,03:45-04:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,215.42,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,6.03,0,0,0,11.55,0,0,0,0,0,0,0,0

17,04:00-04:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,235.62,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,6.03,0,0,0,11.55,0,0,0,0,0,0,0,0

18,04:15-04:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,253.89,0,61.65,0,0,28.36,11.17,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

19,04:30-04:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,268.31,0,80.34,0,0,36.88,15.02,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

20,04:45-05:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,13.95,1.28,0,0,41.9,0,0,12.1,8.53,0,0,0,0,0,0,266.39,0,80.34,0,0,36.88,15.02,0,0,0,230.81,0,389.49,114.21,88.48,0,0,1.35,0,0,119.56,0,101.73,0,0,0.49,0,0,0,11.55,0,0,0,0,0,0,0,0

21,05:00-05:15,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,19.28,1.28,0,0,41.9,0,0,15.28,8.53,0,0,0,0,0,0,298.13,0,80.34,0,0,36.88,15.02,0,0,0,230.96,0,389.49,114.21,88.48,0,0,8.93,0,0,119.56,0,119.01,0,0,0.49,0,0,0,14.91,0,0,0,0,0,0,0,0

22,05:15-05:30,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,19.28,1.28,0,0,41.9,0,0,15.28,8.53,0,0,0,0,0,0,360.09,0,80.34,0,0,36.88,15.02,0,0,0,230.96,0,389.49,114.21,88.48,0,0,40.23,0,0,119.56,0,119.01,0,0,0.49,0,0,0,14.91,0,0,0,0,0,0,0,0

23,05:30-05:45,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,19.28,1.28,0,18.21,41.9,0,0,15.28,8.53,0,0,0,0,0,0,360.09,0,95.08,0,0,43.49,15.02,0,15.85,0,230.96,0,389.49,114.21,88.48,0,0,40.23,0,0,119.56,0,119.01,0,0,0.49,0,0,0,14.91,0,0,0,0,0,0,0,0

24,05:45-06:00,0,19.23,0,0,0,0,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,22.78,1.28,0,36.43,41.9,0,0,18.09,8.53,0,0,0,0,0,0,355.83,0,95.08,0,0,43.49,17.5,0,15.85,0,230.96,0,389.49,114.21,88.48,0,0,40.23,0,0,119.56,0,119.01,0,0,0.49,0,0,14.85,17.64,0,0,0,0,0,0,0,0

