Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/9072,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,0,200,47.56,142.69,22.5,7,16.67,7.5,0,0,7.5,0,16.67,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.48,28.76,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

2,00:15-00:30,0,0,0,200,47.56,142.69,22.5,7,17,7.5,0,0,7.5,0,17,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.48,28.76,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

3,00:30-00:45,0,0,0,200,47.56,142.69,22.5,7,17.33,7.5,0,0,7.5,0,17.33,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.48,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

4,00:45-01:00,0,0,0,200,47.56,142.69,22.5,7,17.33,7.5,0,0,7.5,0,17.33,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.48,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

5,01:00-01:15,0,0,0,200,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

6,01:15-01:30,0,0,0,200,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

7,01:30-01:45,0,0,0,200,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

8,01:45-02:00,0,0,0,200,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,29.26,2.41,121.65,3.97,0,87.09,0,273,26.33,8.78,0,0,26.33,8.78,0

9,02:00-02:15,0,0,0,0,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,29.26,2.41,121.65,3.97,23.36,87.09,23.36,273,26.33,8.78,0,0,26.33,8.78,0

10,02:15-02:30,0,0,0,0,47.56,142.69,22.5,7,16,7.5,0,0,7.5,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,28.76,2.41,121.65,3.97,23.36,87.09,23.36,273,26.33,8.78,0,0,26.33,8.78,0

11,02:30-02:45,0,0,0,0,47.56,142.69,21,7,16,7,0,0,7,0,16,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,28.76,2.41,106.04,3.97,23.36,87.09,23.36,273,26.33,8.78,0,0,26.33,8.78,0

12,02:45-03:00,0,0,0,0,47.56,142.69,21,7,16.33,7,0,0,7,0,16.33,0,7.4,0,0,0,0,100.59,26.33,2.53,0,70.39,2.33,28.76,2.41,106.04,3.97,23.36,87.09,23.36,273,26.33,8.78,0,0,26.33,8.78,0

13,03:00-03:15,0,0,0,0,47.56,142.69,21,7,16.33,7,0,0,7,0,16.33,0,7.4,0,0,0,0,100.59,26.33,2.46,0,70.39,2.33,28.76,2.41,106.04,3.87,23.36,68.1,23.36,273,26.33,8.78,0,0,26.33,8.78,0

14,03:15-03:30,0,0,0,0,47.56,142.69,21,7,15.67,7,0,0,7,0,15.67,0,7.4,0,0,0,0,100.59,26.33,2.46,0,70.39,2.33,28.76,2.41,106.04,3.87,23.36,68.1,23.36,273,26.33,8.78,0,0,26.33,8.78,0

15,03:30-03:45,0,0,0,0,47.56,142.69,21,7,15,7,0,0,7,0,15,0,7.4,0,0,0,0,89.79,26.33,2.46,0,70.39,2.33,28.76,2.41,106.04,3.87,23.36,68.1,23.36,273,26.33,8.78,0,0,26.33,8.78,0

16,03:45-04:00,0,0,0,0,47.56,142.69,21,7,13.33,7,0,0,7,0,13.33,0,7.4,0,0,0,0,89.79,26.33,2.46,0,70.39,2.33,28.76,2.41,106.04,3.87,23.36,68.1,23.36,251.03,26.33,8.78,0,0,26.33,8.78,0

